scope,n,activation,lo,hi,delta_mag_median_m,model,arm,tau
straight_yaw,11597,0.0013796671552987843,0.00043740705100166216,0.0025466158903352004,0.06180281537586283,cinque,G3 student A (c) s0,1.2963345646858215
pre_onset,1458,0.0006858710562414266,0.0,0.0021994134897360706,0.08023879677997714,cinque,G3 student A (c) s0,1.2963345646858215
all,19663,0.0011188526674464731,0.00046231788281363075,0.001920531964879781,0.05113966857953921,cinque,G3 student A (c) s0,1.2963345646858215
Pedestrians,1831,0.0010922992900054614,0.0,0.002771657055929204,0.04107982224510568,cinque,G3 student A (c) s0,1.2963345646858215
Cyclists,2830,0.00530035335689046,0.0011123264456287317,0.01045063888266196,0.06004771421956186,cinque,G3 student A (c) s0,1.2963345646858215
Cut_ins,885,0.0,0.0,0.0,0.05506600580027995,cinque,G3 student A (c) s0,1.2963345646858215
FOD,3561,0.0,0.0,0.0,0.05331625178859658,cinque,G3 student A (c) s0,1.2963345646858215
Intersections,4772,0.00041911148365465214,0.0,0.0010743446497636442,0.05509635298437326,cinque,G3 student A (c) s0,1.2963345646858215
straight_yaw,11597,0.0010347503664740881,0.0003441415297551405,0.0019105570460107243,0.1757019932508749,cinque,G3 student A (c) s1,1.2997297048568726
pre_onset,1458,0.0013717421124828531,0.0,0.0035739814152966403,0.21559787129591973,cinque,G3 student A (c) s1,1.2997297048568726
all,19663,0.0009154249097289326,0.00041587015004467703,0.001491431022814741,0.19730401594629388,cinque,G3 student A (c) s1,1.2997297048568726
Pedestrians,1831,0.0010922992900054614,0.0,0.002771657055929204,0.19665626211269338,cinque,G3 student A (c) s1,1.2997297048568726
Cyclists,2830,0.004240282685512367,0.001367053998632946,0.007720591320616867,0.1996165380569213,cinque,G3 student A (c) s1,1.2997297048568726
Cut_ins,885,0.0,0.0,0.0,0.17415422740350492,cinque,G3 student A (c) s1,1.2997297048568726
FOD,3561,0.0,0.0,0.0,0.19519569797163894,cinque,G3 student A (c) s1,1.2997297048568726
Intersections,4772,0.00020955574182732607,0.0,0.00065775049331287,0.19911760247764337,cinque,G3 student A (c) s1,1.2997297048568726
straight_yaw,11597,0.0010347503664740881,0.0003441415297551405,0.0019105570460107243,0.06813120730769877,cinque,G3 student A (c) s2,1.2978373765945435
pre_onset,1458,0.0013717421124828531,0.0,0.0035739814152966403,0.08514124458710849,cinque,G3 student A (c) s2,1.2978373765945435
all,19663,0.0009154249097289326,0.00041587015004467703,0.001491431022814741,0.058980543013385955,cinque,G3 student A (c) s2,1.2978373765945435
Pedestrians,1831,0.0010922992900054614,0.0,0.002771657055929204,0.049595272420211875,cinque,G3 student A (c) s2,1.2978373765945435
Cyclists,2830,0.004240282685512367,0.001367053998632946,0.007720591320616867,0.06465144085831473,cinque,G3 student A (c) s2,1.2978373765945435
Cut_ins,885,0.0,0.0,0.0,0.05439112176334861,cinque,G3 student A (c) s2,1.2978373765945435
FOD,3561,0.0,0.0,0.0,0.0624548835132128,cinque,G3 student A (c) s2,1.2978373765945435
Intersections,4772,0.00020955574182732607,0.0,0.00065775049331287,0.06489905131364251,cinque,G3 student A (c) s2,1.2978373765945435
straight_yaw,11597,0.026127446753470725,0.020975296463868,0.0317021223109358,0.5877916833620616,cinque,G3 student B (c) s0,2.0358771681785583
pre_onset,1458,0.07613168724279835,0.049442036760273166,0.10698050278111826,1.1245465362998504,cinque,G3 student B (c) s0,2.0358771681785583
all,19663,0.060316330163250775,0.05087833717489174,0.07040941157300688,0.7727199402315388,cinque,G3 student B (c) s0,2.0358771681785583
Pedestrians,1831,0.06280720917531403,0.035586335081898735,0.0955285335788643,0.7840834756237814,cinque,G3 student B (c) s0,2.0358771681785583
Cyclists,2830,0.03992932862190813,0.027599155826499064,0.0534407190922326,0.623929268664974,cinque,G3 student B (c) s0,2.0358771681785583
