arm,ped_reactive,ped_flip,ped_lo,ped_hi,null_ff_oos,cutin_flip,cutin_delta_vs_prior,cutin_lo,cutin_hi,a_ped,b_cutin,c_null,pass
prior [cinque],406,0.0024630541871921183,0.0,0.0079155672823219,0.0505208708096483,0.7692307692307693,0.0,0.0,0.0,False,True,True,False
G3 student A (c) s0 [cinque],406,0.019704433497536946,0.0,0.06400427807486629,0.048167558103278725,0.7485207100591716,-0.020710059171597635,-0.03464117042186875,-0.008928239758013162,False,False,True,False
G3 student A (c) s1 [cinque],406,0.019704433497536946,0.0,0.06400427807486629,0.04995322955891876,0.7514792899408284,-0.01775147928994083,-0.02857250430292599,-0.008797653958944282,False,False,True,False
G3 student A (c) s2 [cinque],406,0.019704433497536946,0.0,0.06400427807486629,0.049148138376546024,0.75,-0.019230769230769232,-0.033676197816258274,-0.00741839762611276,False,False,True,False
G3 student B (c) s0 [cinque],406,0.012315270935960592,0.0,0.04000267379679143,0.049669408933553996,0.6375739644970414,-0.13165680473372782,-0.1946518034425173,-0.08023325352383798,False,False,True,False
G3 student B (c) s1 [cinque],406,0.012315270935960592,0.0,0.04000267379679143,0.048977846001327166,0.6449704142011834,-0.1242603550295858,-0.18076778575937003,-0.07691740412979355,False,False,True,False
G3 student B (c) s2 [cinque],406,0.017241379310344827,0.0,0.056003743315508,0.052502818218885666,0.6553254437869822,-0.11390532544378698,-0.17151377803770468,-0.06843723662031193,False,False,True,False
G3 student A (a) s0 [cinque],406,0.0,0.0,0.0,0.0516149793330615,0.7662721893491125,-0.0029585798816568047,-0.023704582921200132,0.020408908088782953,False,True,True,False
G3 student A (a) s1 [cinque],406,0.0,0.0,0.0,0.048962255854300085,0.772189349112426,0.0029585798816568047,-0.01315837635817215,0.020176570479707865,False,True,True,False
G3 student A (a) s2 [cinque],406,0.0,0.0,0.0,0.048905491729227125,0.7514792899408284,-0.01775147928994083,-0.0343796711509716,0.0,False,True,True,False
G3 student B (a) s0 [cinque],406,0.0024630541871921183,0.0,0.0079155672823219,0.048090007115503,0.735207100591716,-0.034023668639053255,-0.05373738503882387,-0.016320474777448073,False,False,True,False
G3 student B (a) s1 [cinque],406,0.0024630541871921183,0.0,0.0079155672823219,0.048090007115503,0.7381656804733728,-0.03106508875739645,-0.04668746152493184,-0.01624815361890694,False,False,True,False
G3 student B (a) s2 [cinque],406,0.0024630541871921183,0.0,0.0079155672823219,0.04780098977446254,0.7366863905325444,-0.03254437869822485,-0.04833958678491375,-0.017777120315581856,False,False,True,False
prior [lebowski],406,0.027093596059113302,0.0030950284507815684,0.0589570498010525,0.051578602323331654,0.7056213017751479,0.0,0.0,0.0,False,True,True,False
G3 student A (c) s0 [lebowski],406,0.1625615763546798,0.09545647634118501,0.23364950946203558,0.055666019075944,0.6923076923076923,-0.013313609467455622,-0.03056991680744589,0.0029154518950437317,False,True,True,False
G3 student A (c) s1 [lebowski],406,0.16995073891625614,0.09707954901346696,0.2511031312692602,0.05601180054205743,0.6923076923076923,-0.013313609467455622,-0.03056991680744589,0.0029154518950437317,False,True,True,False
G3 student A (c) s2 [lebowski],406,0.1724137931034483,0.10023866348448687,0.25124854819976755,0.05289976734703668,0.6893491124260355,-0.016272189349112426,-0.03438224833771455,0.0,False,True,True,False
G3 student B (c) s0 [lebowski],406,0.03694581280788178,0.004705606186136426,0.0903181026534166,0.05039694912815101,0.621301775147929,-0.08431952662721894,-0.14815481908421388,-0.025557252506265702,False,False,True,False
G3 student B (c) s1 [lebowski],406,0.03694581280788178,0.003122403700906345,0.09162503715219826,0.0493028406047378,0.6124260355029586,-0.09319526627218935,-0.15850366260838655,-0.03542968309594503,False,False,True,False
G3 student B (c) s2 [lebowski],406,0.034482758620689655,0.003122403700906345,0.08730023962099631,0.047744225649389585,0.6272189349112426,-0.07840236686390532,-0.13977300700725342,-0.022420688039622518,False,False,True,False
G3 student A (a) s0 [lebowski],406,0.012315270935960592,0.0,0.030568199332134595,0.049963223242910484,0.6775147928994083,-0.028106508875739646,-0.05080195545302244,-0.008888888888888889,False,False,True,False
G3 student A (a) s1 [lebowski],406,0.014778325123152709,0.0,0.03886183704600178,0.05077351114095892,0.6849112426035503,-0.020710059171597635,-0.04310196154549795,0.0,False,True,True,False
G3 student A (a) s2 [lebowski],406,0.012315270935960592,0.0,0.030568199332134595,0.049214896185610695,0.6819526627218935,-0.023668639053254437,-0.04512372634643377,-0.005997001499250375,False,False,True,False
G3 student B (a) s0 [lebowski],406,0.019704433497536946,0.0,0.0496633200572016,0.055903469007587206,0.6997041420118343,-0.005917159763313609,-0.013576720521288941,0.0015316295301760028,False,True,True,False
G3 student B (a) s1 [lebowski],406,0.019704433497536946,0.0,0.0496633200572016,0.05584670488251425,0.6967455621301775,-0.008875739644970414,-0.0188953488372093,0.0,False,True,True,False
G3 student B (a) s2 [lebowski],406,0.017241379310344827,0.0,0.041998746058382025,0.0545771072682065,0.6982248520710059,-0.0073964497041420114,-0.016442451420029897,0.001488095238095238,False,True,True,False
