direction,arm,n_hi,n_lo,dade_pre_onset,dade_straight,did,did_lo,did_hi,halfwidth
0,A ridge_late uniform,791,23612,-0.027399082,-0.12536708,0.09796799719333649,0.040656105821959845,0.15829224568336495,0.05881806993070255
0,B ego:lin,791,23612,0.056644123,-0.054833077,0.11147719621658325,-0.0030820329794415155,0.2322054314555034,0.11764373221747246
0,B ego:sq,791,23612,0.3955213,0.36140174,0.03411957621574402,-0.16153532157336398,0.24680273029044655,0.20416902593190528
0,B ego:a1,791,23612,0.003165315,-0.10993103,0.11309634149074554,0.03092780793179612,0.20196573420786723,0.08551896313803556
0,B ego:a4,791,23612,0.032553043,-0.08110203,0.11365507543087006,0.013428319038365756,0.2234601674534521,0.10501592420754317
0,B ego:top25,791,23612,0.4204755,0.32426023,0.09621527791023254,-0.12174093873104481,0.3276253521663291,0.22468314544868695
0,B ctrv:lin,791,23612,0.06572333,0.04086937,0.024853959679603577,-0.1126730710474054,0.1686258553581407,0.14064946320277305
0,B ctrv:top25,791,23612,0.16611476,0.20142332,-0.03530855476856232,-0.19800730145942078,0.12796812673900343,0.1629877140992121
0,B cv:lin,791,23612,0.061866257,0.049113438,0.012752819806337357,-0.11825056268108967,0.15325910535331722,0.13575483401720345
0,B cv:top25,791,23612,0.14537427,0.21248312,-0.06710885465145111,-0.22650484442014523,0.10200886820545274,0.164256856312799
0,C pre_onset fit,791,23612,-0.036077034,0.24337701,-0.2794540524482727,-0.4150070745994035,-0.15300697989173356,0.13100004735383497
0,D mlp uniform,791,23612,0.24764845,0.04859174,0.1990567147731781,0.01617368979718175,0.3785900009448974,0.18120815557385783
0,D mlp ego:a1,791,23612,0.4066314,0.23123784,0.17539356648921967,-0.06337006834302261,0.42348431857621593,0.24342719345961927
1,A ridge_late uniform,719,22968,-0.042689443,-0.07149283,0.02880338579416275,-0.03558911289216322,0.0911888775959924,0.0633889952440778
1,B ego:lin,719,22968,-0.016428187,0.04363824,-0.060066428035497665,-0.1955321009939574,0.08079153812390745,0.13816181955893242
1,B ego:sq,719,22968,0.30360427,0.51158303,-0.207978755235672,-0.4332811235831082,0.007160542561748248,0.22022083307242823
1,B ego:a1,719,22968,-0.046090763,-0.032354143,-0.013736620545387268,-0.122467985484695,0.10090081927324851,0.11168440237897176
1,B ego:a4,719,22968,-0.03123581,0.010447605,-0.041683413088321686,-0.16579737363732408,0.08926367685251556,0.1275305252449198
1,B ego:top25,719,22968,0.22381333,0.26463878,-0.040825456380844116,-0.2372376984568481,0.16669561858084347,0.2019666585188458
1,B ctrv:lin,719,22968,-0.045026645,0.020190008,-0.06521665304899216,-0.19743501629487312,0.06969056029822883,0.13356278829655097
1,B ctrv:top25,719,22968,0.010908324,0.1361227,-0.1252143830060959,-0.2806750616189691,0.03745891487049358,0.15906698824473134
1,B cv:lin,719,22968,-0.03863085,0.038771257,-0.07740210741758347,-0.21286105728886354,0.06333324324912391,0.13809715026899372
1,B cv:top25,719,22968,0.027318291,0.1602755,-0.13295722007751465,-0.2981258951457291,0.04121912468508801,0.16967250991540855
1,C pre_onset fit,719,22968,-0.08014797,0.10088969,-0.18103766441345215,-0.26134434601288536,-0.09565490877423029,0.08284471861932755
1,D mlp uniform,719,22968,0.029466467,0.06591635,-0.03644988685846329,-0.19634097495592204,0.1461594866376603,0.17125023079679116
1,D mlp ego:a1,719,22968,0.26545575,0.24146056,0.023995190858840942,-0.1829969867623549,0.2265412895176368,0.20476913813999587
