direction,arm,subset,n,ade_base,ade_arm,dade,lo,hi,halfwidth
0,A ridge_late uniform,all,52919,1.8827033,1.8050988,-0.07760457,-0.10056063253838993,-0.0580929938609846,0.021233819338702664
0,A ridge_late uniform,pre_onset,791,2.6355965,2.6081972,-0.027399082,-0.0724955723116084,0.01699286994911661,0.044744221130362506
0,A ridge_late uniform,straight_yaw,23612,1.789302,1.6639351,-0.12536708,-0.16167832039444613,-0.09068752384801926,0.035495398273213435
0,A ridge_late uniform,turn_yaw,5881,2.529912,2.4984813,-0.031430915,-0.05444127231498595,-0.007049424935853335,0.023695923689566308
0,B ego:lin,all,52919,1.8827033,1.9019241,0.019220812,-0.023977492567418233,0.05970704384671626,0.04184226820706725
0,B ego:lin,pre_onset,791,2.6355965,2.6922405,0.056644123,-0.05176937606307244,0.16104548342104372,0.10640742974205808
0,B ego:lin,straight_yaw,23612,1.789302,1.7344689,-0.054833077,-0.11788785765399792,0.006258211450768788,0.062073034552383353
0,B ego:lin,turn_yaw,5881,2.529912,2.5669675,0.037055366,-0.01663065997870163,0.09282056919718618,0.0547256145879439
0,B ego:sq,all,52919,1.8827033,2.3283305,0.44562736,0.3704687902035711,0.5203711635765486,0.07495118668648873
0,B ego:sq,pre_onset,791,2.6355965,3.0311177,0.3955213,0.2054359546893693,0.580058451235784,0.1873112482732074
0,B ego:sq,straight_yaw,23612,1.789302,2.1507037,0.36140174,0.2617786394707475,0.45690213274674296,0.09756174663799774
0,B ego:sq,turn_yaw,5881,2.529912,2.9119911,0.38207912,0.2713988042721985,0.4950386873136263,0.11181994152071392
0,B ego:a1,all,52919,1.8827033,1.8350451,-0.047658294,-0.07992089558548962,-0.01878487223221611,0.030568011676636756
0,B ego:a1,pre_onset,791,2.6355965,2.6387618,0.003165315,-0.0734394217305993,0.07686133215009024,0.07515037694034477
0,B ego:a1,straight_yaw,23612,1.789302,1.679371,-0.10993103,-0.16106184322041928,-0.06322968364021654,0.04891607979010137
0,B ego:a1,turn_yaw,5881,2.529912,2.5176642,-0.012247917,-0.04924277644239375,0.028074925577205142,0.03865885100979945
0,B ego:a4,all,52919,1.8827033,1.8712761,-0.011427159,-0.0500191440980461,0.024289580761886673,0.037154362429966385
0,B ego:a4,pre_onset,791,2.6355965,2.6681497,0.032553043,-0.06377922493714522,0.1229952213124609,0.09338722312480306
0,B ego:a4,straight_yaw,23612,1.789302,1.7081999,-0.08110203,-0.13884493610762938,-0.025996942763990012,0.05642399667181969
0,B ego:a4,turn_yaw,5881,2.529912,2.5439422,0.01403008,-0.03210331507867771,0.06433314161243897,0.04821822834555834
0,B ego:top25,all,52919,1.8827033,2.2963858,0.4136826,0.3377704555449113,0.4944035596448927,0.07831655204999069
0,B ego:top25,pre_onset,791,2.6355965,3.0560718,0.4204755,0.20348323150116399,0.6193390000121446,0.2079278842554903
0,B ego:top25,straight_yaw,23612,1.789302,2.1135623,0.32426023,0.22041635714005406,0.43177831984717274,0.10568098135355934
0,B ego:top25,turn_yaw,5881,2.529912,2.8744686,0.34455648,0.23313834263786967,0.4743012996091956,0.12058147848566296
