direction,series,bins,bin,n,s_lo,s_hi,rfs,floored,ade_rater
0,ridge ego,5,0,48,0.08384613692760468,0.7907044887542725,8.680503105145851,0.0625,1.7769885394077791
0,ridge ego,5,1,47,0.7978695034980774,1.2862073183059692,7.721156952440153,0.10638297872340426,1.6149168820045203
0,ridge ego,5,2,47,1.2928463220596313,1.901496171951294,7.417147841061043,0.1702127659574468,3.010245966964548
0,ridge ego,5,3,47,1.928615927696228,3.5712215900421143,5.8640970462403565,0.44680851063829785,3.6981808377821914
0,ridge ego,5,4,48,3.697819232940674,14.512019157409668,6.4466038524336495,0.3958333333333333,4.939910159612092
0,A ridge_late uniform,5,0,48,0.08384613692760468,0.7907044887542725,8.546867971659315,0.08333333333333333,1.7678295807992475
0,A ridge_late uniform,5,1,47,0.7978695034980774,1.2862073183059692,7.616179817232985,0.19148936170212766,1.561995386382384
0,A ridge_late uniform,5,2,47,1.2928463220596313,1.901496171951294,7.459390413897334,0.1702127659574468,2.9241486618727763
0,A ridge_late uniform,5,3,47,1.928615927696228,3.5712215900421143,5.9322485241080996,0.425531914893617,3.589254395290976
0,A ridge_late uniform,5,4,48,3.697819232940674,14.512019157409668,6.546714696376139,0.3958333333333333,4.869046421057707
0,logged_future,5,0,48,0.08384613692760468,0.7907044887542725,8.865285693112616,0.041666666666666664,1.6533664464950562
0,logged_future,5,1,47,0.7978695034980774,1.2862073183059692,8.748649274411383,0.0425531914893617,1.2157591581344604
0,logged_future,5,2,47,1.2928463220596313,1.901496171951294,8.546704664761227,0.0425531914893617,2.4694416522979736
0,logged_future,5,3,47,1.928615927696228,3.5712215900421143,8.599580315935064,0.06382978723404255,2.107252836227417
0,logged_future,5,4,48,3.697819232940674,14.512019157409668,6.752438535979285,0.1875,5.002115726470947
1,ridge ego,5,0,49,0.07416527718305588,0.6152428388595581,8.520013114316598,0.061224489795918366,1.9489581808328649
1,ridge ego,5,1,48,0.6217249631881714,1.153954029083252,7.992284891135699,0.125,1.8494695830692554
1,ridge ego,5,2,48,1.1643394231796265,2.011190891265869,7.0089413675411905,0.25,2.608684820882584
1,ridge ego,5,3,48,2.025432586669922,3.699610471725464,5.796236423622342,0.3958333333333333,3.683524461474311
1,ridge ego,5,4,49,3.7414565086364746,13.666191101074219,5.946814129282972,0.46938775510204084,5.406021530877375
1,A ridge_late uniform,5,0,49,0.07416527718305588,0.6152428388595581,8.527751520508598,0.061224489795918366,1.9603260514386276
1,A ridge_late uniform,5,1,48,0.6217249631881714,1.153954029083252,7.974239151293301,0.10416666666666667,1.8743933338707892
1,A ridge_late uniform,5,2,48,1.1643394231796265,2.011190891265869,7.122633385971167,0.25,2.5337403400773892
1,A ridge_late uniform,5,3,48,2.025432586669922,3.699610471725464,5.85148636021106,0.4166666666666667,3.6228425560904682
1,A ridge_late uniform,5,4,49,3.7414565086364746,13.666191101074219,5.869878374025125,0.46938775510204084,5.2972065364980185
1,logged_future,5,0,49,0.07416527718305588,0.6152428388595581,8.800896151704322,0.02040816326530612,1.888861060142517
1,logged_future,5,1,48,0.6217249631881714,1.153954029083252,8.645262057041679,0.020833333333333332,1.6153160333633423
1,logged_future,5,2,48,1.1643394231796265,2.011190891265869,8.44168194761022,0.020833333333333332,2.160459518432617
1,logged_future,5,3,48,2.025432586669922,3.699610471725464,7.617409771514242,0.16666666666666666,2.870788335800171
1,logged_future,5,4,49,3.7414565086364746,13.666191101074219,6.778139884907887,0.32653061224489793,5.910414695739746
-1,logged_future,10,0,48,0.07416527718305588,0.4620053172111511,8.80763584886174,0.041666666666666664,1.7594515085220337
-1,logged_future,10,1,48,0.46301525831222534,0.7180895209312439,8.875231332449038,0.020833333333333332,1.766593337059021
-1,logged_future,10,2,48,0.7213034629821777,0.9792235493659973,8.70953013733586,0.041666666666666664,1.308667540550232
-1,logged_future,10,3,48,0.9960487484931946,1.2551558017730713,8.741507344883095,0.020833333333333332,1.571480393409729
-1,logged_future,10,4,47,1.2606920003890991,1.5185264348983765,8.855807937654173,0.0,1.778702974319458
-1,logged_future,10,5,48,1.5236098766326904,1.9632524251937866,8.09719357807859,0.0625,2.7942092418670654
-1,logged_future,10,6,48,1.9719864130020142,2.671599864959717,8.626099069019206,0.041666666666666664,2.040585517883301
-1,logged_future,10,7,48,2.742025852203369,3.699610471725464,7.536121237778311,0.1875,2.935246706008911
-1,logged_future,10,8,48,3.711805820465088,5.309062957763672,7.599787323454038,0.10416666666666667,3.1999428272247314
-1,logged_future,10,9,48,5.510459899902344,14.512019157409668,5.916715939946347,0.4166666666666667,7.817760467529297
