subset,n,s_mean,s_q10,s_q25,s_q50,s_q75,s_q90,s_q99,cv_lon,cv_lat,lat_share,base_rate,share_of_top_decile,recall_of_subset
all,106360,2.8101654,0.20733077675104145,0.7434975802898407,1.953663170337677,4.128747582435608,6.64415283203125,11.7103042316437,2.3321965,0.8244147,0.29336873,1.0,1.0,0.10000940203083866
pre_onset,1510,4.251171,1.6533441781997682,2.446872115135193,3.8370859622955322,5.594589114189148,7.565181207656861,10.940343828201305,2.8002722,2.6735265,0.62889177,0.014197066566378338,0.021622637961831344,0.152317880794702
straight_yaw,46580,2.669626,0.37380404472351075,0.7836835533380508,1.7845072746276855,3.8008562326431274,6.222235536575316,11.70275729179381,2.5981767,0.24441816,0.09155521,0.4379465964648364,0.3688069944533233,0.08422069557750107
turn_yaw,11060,5.3677235,1.6725507855415347,2.7165879607200623,4.794585227966309,7.47660493850708,9.938620758056642,13.908144130706786,2.4809275,4.092304,0.76239103,0.10398646107559233,0.33007426906082543,0.3174502712477396
