route,segment,frames,updates,linear_rate_count,linear_raw_rate_p95,linear_raw_rate_rms,linear_update_count,linear_update_delta_rms,linear_update_delta_p95,hermite_rate_count,hermite_raw_rate_p95,hermite_raw_rate_rms,hermite_update_count,hermite_update_delta_rms,hermite_update_delta_p95,hermite_nonforward_count
26966,1,70,18,70,0.80010558695692,0.3763785457434299,18,0.021277137511386907,0.03954829734216693,70,0.9805922471289349,0.3705450176568662,18,0.022496933005312657,0.039425988068254814,0
24240,1,117,30,117,0.2183799830629378,0.09998371333631458,30,0.008781169522964915,0.015340859725225194,117,0.25173521060058457,0.10337318717199656,30,0.009505067018144932,0.017219085367197354,0
17563,1,70,18,70,2.196655075585987,0.9284599070715683,18,0.06243486234681185,0.11800506748780921,70,2.349624638982223,0.9493298408193996,18,0.06420497337393083,0.12069947782622657,0
17563,2,71,17,71,2.6782893564966743,1.1010614395248823,17,0.07925007709740618,0.13352535116998465,71,2.8012514522559444,1.125581271740461,17,0.08051626912954704,0.14026615865887562,0
