tap,vs,n_frames,routes,auc,auc_vs,delta,lo,hi
L18_mean,L18_last,7639,72,0.6018302740597393,0.5900043888780747,0.011825885181664608,-0.00455282162743752,0.03158755269576269
op-cinque temporal,L18_last,7639,72,0.5544768912656871,0.5900043888780747,-0.035527497612387604,-0.07370491422462183,-0.0014731574629177706
op-cinque vision,L18_last,7639,72,0.5326616172948015,0.5900043888780747,-0.05734277158327317,-0.08834959275539879,-0.02633402910708094
op-cinque hidden,L18_last,7639,72,0.5426244356437632,0.5900043888780747,-0.047379953234311545,-0.08064351397386252,-0.01759256021545528
op-lebowski temporal,L18_last,7639,72,0.5472579057170419,0.5900043888780747,-0.0427464831610328,-0.07823648575017694,-0.012266226945515237
op-lebowski vision,L18_last,7639,72,0.5379402152584383,0.5900043888780747,-0.052064173619636445,-0.08264215031995019,-0.0247952491787392
op-lebowski hidden,L18_last,7639,72,0.5352206651500581,0.5900043888780747,-0.05478372372801665,-0.08598570561874694,-0.026165116327704383
