probe,tap,scope,n_frames,routes,auc_plus_vs_minus,lo,hi,mean_score_plus,mean_score_minus
hazard,L18_last,pooled,7639,72,0.5900043888780747,0.556628407871144,0.6269646399375549,0.12348633386139546,0.060670887012795736
hazard,L18_last,DynamicObjectCrossing,609,15,0.6113739986680364,0.5868119060897145,0.6397289111660257,0.1813069788610395,0.03718222883289709
hazard,L18_last,HighwayCutIn,1319,9,0.7166760261898043,0.6664279330474603,0.8061714418032891,0.17386524828195693,0.031171218318737235
hazard,L18_last,OppositeVehicleRunningRedLight,58,3,0.6028537455410227,0.4841570663265306,1.0,0.03819513569396804,0.005567478130866095
hazard,L18_last,ParkingCrossingPedestrian,310,6,0.49465140478668057,0.41447150119956905,0.5787170530098833,0.14188348875388562,0.07457289644432509
hazard,L18_last,ParkingCutIn,817,8,0.5751870068270788,0.5325033292267082,0.6240674226443126,0.15376896542397092,0.07280912125164189
hazard,L18_last,PedestrianCrossing,836,7,0.7852985279641035,0.7486214549401234,0.85550614418676,0.09888992324706915,0.005790485211885166
hazard,L18_last,StaticCutIn,1031,10,0.5231866456060006,0.4979913215493836,0.5455374291630327,0.23856807658221857,0.2269189795762595
hazard,L18_last,VehicleTurningRoutePedestrian,2659,14,0.5105720692006442,0.49767806291350747,0.5267992764197811,0.038775398582463205,0.02932915167240163
hazard,L18_mean,pooled,7639,72,0.6018302740597393,0.5699528350767584,0.6407519627341748,0.1682206848192478,0.0694002930558421
hazard,L18_mean,DynamicObjectCrossing,609,15,0.6379458640372518,0.6109668292634219,0.6764851520630727,0.18574468919530934,0.023929879362039993
hazard,L18_mean,HighwayCutIn,1319,9,0.7623685092377631,0.7117435660469847,0.8365625733899762,0.4054574779739852,0.12373767371503992
hazard,L18_mean,OppositeVehicleRunningRedLight,58,3,0.6087990487514864,0.4687485204081633,1.0,0.03069490702397349,0.0006630901139189894
hazard,L18_mean,ParkingCrossingPedestrian,310,6,0.552570239334027,0.4671348173278037,0.6103324577221418,0.19772540624868387,0.14110232645732815
hazard,L18_mean,ParkingCutIn,817,8,0.5594938643183633,0.5240440182425028,0.6085801366335253,0.09411847116713766,0.056697893310142286
hazard,L18_mean,PedestrianCrossing,836,7,0.8632214235022093,0.8459505466834811,0.9099342949870016,0.1654806509175312,0.003915819283424344
hazard,L18_mean,StaticCutIn,1031,10,0.5465120545344561,0.5184647584819264,0.5849403632682082,0.28031132137589204,0.21819474432758795
hazard,L18_mean,VehicleTurningRoutePedestrian,2659,14,0.5448705645504046,0.5315145184438547,0.5819772253250514,0.0262535216897214,0.012798339566192782
hazard,op-cinque temporal,pooled,7639,72,0.5544768912656871,0.5315096267687381,0.5919596397221112,0.21651743287100095,0.11028887376327834
hazard,op-cinque temporal,DynamicObjectCrossing,609,15,0.545989144766111,0.5191237655225114,0.5759434456721545,0.2520857112318873,0.19758217126927244
hazard,op-cinque temporal,HighwayCutIn,1319,9,0.7647199816526523,0.7206370030657845,0.7956029189320362,0.6238180964889796,0.24488294291349166
hazard,op-cinque temporal,OppositeVehicleRunningRedLight,58,3,0.5208085612366231,0.4279835390946502,1.0,0.11417897728046277,0.08170086417632812
hazard,op-cinque temporal,ParkingCrossingPedestrian,310,6,0.484630593132154,0.4206837534341127,0.5386167534722222,0.1326584291628709,0.1253018059268848
hazard,op-cinque temporal,ParkingCutIn,817,8,0.5569814633649394,0.5382667820744164,0.571367207658671,0.24779308703660044,0.09319929254853333
hazard,op-cinque temporal,PedestrianCrossing,836,7,0.5391217005105194,0.5213408734408796,0.6133200965809386,0.037871279783991005,0.031171513878616913
hazard,op-cinque temporal,StaticCutIn,1031,10,0.5858211166731422,0.5687836535689232,0.599589525309384,0.3420238552762506,0.20342063902732244
hazard,op-cinque temporal,VehicleTurningRoutePedestrian,2659,14,0.5025107205781496,0.4989842557807743,0.5081374784825927,0.016231655423656427,0.016418377683488007
hazard,op-cinque vision,pooled,7639,72,0.5326616172948015,0.5206437480940227,0.5513991140618081,0.2204697602689455,0.15313069347768735
hazard,op-cinque vision,DynamicObjectCrossing,609,15,0.5660858873870594,0.5376960890430309,0.6096512860055822,0.2723658322637644,0.20475257448592088
hazard,op-cinque vision,HighwayCutIn,1319,9,0.6341980306490373,0.5843974312619586,0.7046442947138022,0.5575092809749804,0.3992518508068254
hazard,op-cinque vision,OppositeVehicleRunningRedLight,58,3,0.5341854934601665,0.3055555555555556,0.6159122085048011,0.06234516327496185,0.04477369924053823
hazard,op-cinque vision,ParkingCrossingPedestrian,310,6,0.4879604578563995,0.41716245400854224,0.552520751953125,0.15262827623395306,0.13445321667629376
hazard,op-cinque vision,ParkingCutIn,817,8,0.592324367892205,0.5468262900583839,0.6205574940440023,0.23578175088452816,0.09203986909685395
hazard,op-cinque vision,PedestrianCrossing,836,7,0.5468281403814016,0.5218340558786877,0.6043497196534214,0.051203610761130045,0.02652626895403992
hazard,op-cinque vision,StaticCutIn,1031,10,0.5830110417973943,0.5599894464496639,0.6085689395683197,0.37693654526876547,0.2612553952909931
hazard,op-cinque vision,VehicleTurningRoutePedestrian,2659,14,0.5018519065932457,0.48924956432783123,0.5153409732507805,0.040598229746637196,0.040411297567356785
hazard,op-cinque hidden,pooled,7639,72,0.5426244356437632,0.5286688021242886,0.5646708763954937,0.08370031454895342,0.01841819838351868
hazard,op-cinque hidden,DynamicObjectCrossing,609,15,0.5694494999743853,0.5445339686808081,0.6008015273783233,0.0916447940558795,0.027353136544639136
hazard,op-cinque hidden,HighwayCutIn,1319,9,0.6920387340559996,0.6207331849407658,0.7609658133028874,0.1636752907836265,0.03188960297618621
hazard,op-cinque hidden,OppositeVehicleRunningRedLight,58,3,0.5407253269916766,0.3333333333333333,0.654320987654321,0.0007399821166817956,0.0005426292058441975
hazard,op-cinque hidden,ParkingCrossingPedestrian,310,6,0.5028303850156087,0.44060712729008794,0.5605742187499999,0.01576148322999984,0.007015870368962667
hazard,op-cinque hidden,ParkingCutIn,817,8,0.6076234964171694,0.5810472150051418,0.6322418984031547,0.15052698418655838,0.002826900724188775
hazard,op-cinque hidden,PedestrianCrossing,836,7,0.5267622078249123,0.510384345100362,0.557058392135852,0.018389325402588245,0.006491882437529059
hazard,op-cinque hidden,StaticCutIn,1031,10,0.5999589825026507,0.5741326146890957,0.6254086225674911,0.18996814181418553,0.042224473548378647
hazard,op-cinque hidden,VehicleTurningRoutePedestrian,2659,14,0.5080672889804522,0.4959969356252633,0.5219350746534535,0.010736051005771498,0.010718147733844314
hazard,op-lebowski temporal,pooled,7639,72,0.5472579057170419,0.5302288462254335,0.5739480755912204,0.19128885133400303,0.08900191518008571
hazard,op-lebowski temporal,DynamicObjectCrossing,609,15,0.5530561015527892,0.5327463707944471,0.5740153211139817,0.1814905416557504,0.1214994457529816
hazard,op-lebowski temporal,HighwayCutIn,1319,9,0.7443298246138406,0.700984044510983,0.7803985823633283,0.5749243101441297,0.22642323015588087
hazard,op-lebowski temporal,OppositeVehicleRunningRedLight,58,3,0.5496432818073721,0.3333333333333333,0.6304515306122445,0.20940790129912032,0.16836248880629462
hazard,op-lebowski temporal,ParkingCrossingPedestrian,310,6,0.5263475546305931,0.5033402060006472,0.5888887074160867,0.08433472493232849,0.06690714197063377
hazard,op-lebowski temporal,ParkingCutIn,817,8,0.5926434742744824,0.5707773359549099,0.6165451384807512,0.23416256642427966,0.07089221097584854
hazard,op-lebowski temporal,PedestrianCrossing,836,7,0.5422337515166777,0.5227679214969453,0.5977900588208804,0.022428537190352593,0.013201047038118252
hazard,op-lebowski temporal,StaticCutIn,1031,10,0.5854147047727998,0.5622610191676084,0.6045439462411173,0.28859827818135575,0.15653914760202564
hazard,op-lebowski temporal,VehicleTurningRoutePedestrian,2659,14,0.5000200840673801,0.49764701243992215,0.5028927232862991,0.01749052603342231,0.017445323727347493
hazard,op-lebowski vision,pooled,7639,72,0.5379402152584383,0.5246117987800425,0.5572633391726552,0.17254837511503568,0.0904087817785144
hazard,op-lebowski vision,DynamicObjectCrossing,609,15,0.5796225743567345,0.5480218800704292,0.6119671073597048,0.27456579410403353,0.17901026970387263
hazard,op-lebowski vision,HighwayCutIn,1319,9,0.677274062356841,0.623165488776058,0.7266373667412362,0.49454904969151814,0.28035967281873353
hazard,op-lebowski vision,OppositeVehicleRunningRedLight,58,3,0.547859690844233,0.5161078238001315,0.5594535334795075,0.02431419830394728,0.019088373599111978
hazard,op-lebowski vision,ParkingCrossingPedestrian,310,6,0.5501040582726326,0.5012369199428549,0.649102631370886,0.060593380744068136,0.04190480629323144
hazard,op-lebowski vision,ParkingCutIn,817,8,0.6027949524261823,0.5770164315870634,0.6379375750150807,0.19800643328064677,0.03997361067069278
