direction,arm,scope,decile,n,s_ego_lo,s_ego_hi,ade_base,ade_arm,dade,rel_gain,rel_lo,rel_hi
0,A ridge_late pooled (qwen4b L18),all,1,10347,0.034560397267341614,0.41322240233421326,0.43514505,0.6556515,0.22050647,50.6742462611409,45.24433545392803,56.50434325739195
0,A ridge_late pooled (qwen4b L18),all,2,10347,0.41323208808898926,0.6075529456138611,0.6184402,0.7987178,0.1802775,29.150351711040358,24.962024217191715,33.497898528232064
0,A ridge_late pooled (qwen4b L18),all,3,10347,0.60756516456604,0.8441789746284485,0.84112734,0.92652535,0.08539809,10.152813873520518,8.183328741366276,12.281145003446763
0,A ridge_late pooled (qwen4b L18),all,4,10346,0.8442004919052124,1.113551378250122,1.085146,1.09612,0.010973991,1.0112916969044028,-0.5902459401732516,2.735994059230282
0,A ridge_late pooled (qwen4b L18),all,5,10347,1.11356520652771,1.4181740283966064,1.3514857,1.3089674,-0.042518348,-3.1460448736200597,-4.7138005698412275,-1.653568815915075
0,A ridge_late pooled (qwen4b L18),all,6,10347,1.418190360069275,1.6699788570404053,1.6261067,1.5272661,-0.09884066,-6.07836244532201,-7.522012780331407,-4.593510373838476
0,A ridge_late pooled (qwen4b L18),all,7,10346,1.6700427532196045,2.1009459495544434,1.9450722,1.7895646,-0.15550739,-7.994941668676908,-9.6020040817964,-6.440476183503955
0,A ridge_late pooled (qwen4b L18),all,8,10347,2.101001024246216,2.6921277046203613,2.4051027,2.1796045,-0.22549823,-9.375825259830455,-11.274902082428486,-7.569522039755328
0,A ridge_late pooled (qwen4b L18),all,9,10347,2.6921706199645996,3.762479305267334,3.1948504,2.8592558,-0.33559456,-10.504233937559318,-11.95855502069203,-9.021963761912621
0,A ridge_late pooled (qwen4b L18),all,10,10347,3.762547254562378,31.29021644592285,5.7302556,5.416594,-0.31366196,-5.473786588858302,-6.13585723759177,-4.821760112470536
0,d vjepa2 (train fit),all,1,10347,0.034560397267341614,0.41322240233421326,0.43514505,0.87216014,0.43701512,100.42975691123478,92.13272377411869,109.03265629500075
0,d vjepa2 (train fit),all,2,10347,0.41323208808898926,0.6075529456138611,0.6184402,1.0074434,0.38900325,62.90070409673367,56.63489926054445,69.91361427086285
