direction,arm,scope,peak_decile,peak_rel_gain,decile10_rel_gain,gap,shape_change
0,A ridge_late pooled (qwen4b L18),all,8,-8.255092058083918,-3.1016677468153997,5.153424311268518,False
0,A ridge_late pooled (qwen4b L18),straight_yaw,9,-13.109340286385656,-4.505839548128896,8.60350073825676,False
0,"d vjepa2 (front, 4 frames)",all,8,-7.70115578139227,-4.949763385600733,2.7513923957915374,False
0,"d vjepa2 (front, 4 frames)",straight_yaw,7,-10.412674094614896,-5.051054805546547,5.361619289068349,False
0,d1 vjepa2 3 cameras,all,8,-10.926622398051519,-7.169407912814823,3.7572144852366955,False
0,d1 vjepa2 3 cameras,straight_yaw,9,-14.779125617470811,-8.526040844317166,6.253084773153645,False
0,d2 vjepa2 clip 8,all,8,-7.4395646417427885,-4.849229340347148,2.5903353013956405,False
0,d2 vjepa2 clip 8,straight_yaw,7,-10.401412686065404,-5.141782114688191,5.259630571377214,False
0,d3 vjepa2 clip 16,all,8,-7.42032044663252,-4.5096982445097895,2.91062220212273,False
0,d3 vjepa2 clip 16,straight_yaw,7,-10.276772391637207,-4.65538799060091,5.621384401036297,False
0,d4 vjepa2 ViT-g,all,8,-9.018337622373199,-6.101116872981945,2.9172207493912543,False
0,d4 vjepa2 ViT-g,straight_yaw,8,-12.10933608296109,-6.736355222524033,5.372980860437057,False
0,d5 late fusion vjepa2 + qwen,all,8,-8.445714085598542,-4.422587259692163,4.023126825906379,False
0,d5 late fusion vjepa2 + qwen,straight_yaw,8,-11.328131232266017,-4.902574925001725,6.425556307264292,False
1,A ridge_late pooled (qwen4b L18),all,6,-6.3735782225198125,-2.2444854668866534,4.12909275563316,False
1,A ridge_late pooled (qwen4b L18),straight_yaw,8,-10.128882089152532,-2.5232289695469547,7.605653119605577,False
1,"d vjepa2 (front, 4 frames)",all,9,-8.695580708664275,-7.357754690634775,1.3378260180295003,True
1,"d vjepa2 (front, 4 frames)",straight_yaw,8,-9.188329472853965,-5.600932259706778,3.587397213147187,False
1,d1 vjepa2 3 cameras,all,9,-11.076446260589027,-8.408751265597704,2.6676949949913222,False
1,d1 vjepa2 3 cameras,straight_yaw,9,-12.305403439705596,-6.617583245113982,5.687820194591614,False
1,d2 vjepa2 clip 8,all,9,-8.657580453659222,-7.510141478179262,1.1474389754799592,True
1,d2 vjepa2 clip 8,straight_yaw,8,-9.775594785540868,-5.666064439574553,4.109530345966315,False
1,d3 vjepa2 clip 16,all,9,-9.151247949140723,-7.163650333902459,1.987597615238264,True
1,d3 vjepa2 clip 16,straight_yaw,9,-10.538051311987749,-6.090145358798599,4.447905953189149,False
1,d4 vjepa2 ViT-g,all,9,-9.95007742365895,-8.790448834557248,1.1596285891017022,True
1,d4 vjepa2 ViT-g,straight_yaw,8,-10.643970986908071,-7.440887147137317,3.2030838397707546,False
1,d5 late fusion vjepa2 + qwen,all,9,-10.243108147121072,-7.242032998190945,3.001075148930127,False
1,d5 late fusion vjepa2 + qwen,straight_yaw,8,-12.546491810973242,-6.268734100400097,6.277757710573145,False
