arm,meets_both_directions
A ridge_late pooled (qwen4b L18),False
a qwen32b L32_last,False
a qwen32b L32_mean,False
a qwen32b L50_last,False
a qwen32b L50_mean,False
d vjepa2 last_mean,False
d vjepa2 mean,False
