direction,arm,judge,scope,subset,n,value,delta,lo,hi,halfwidth
0,A ridge_late pooled (qwen4b L18),ADE vs log,s_ego deciles 1-9,pre_onset,625,1.8720495700836182,-0.02133142203092575,-0.06135490322826138,0.018326131930732712,0.039840517579497046
0,A ridge_late pooled (qwen4b L18),ADE vs log,all deciles (side column),pre_onset,752,2.3281266689300537,-0.015095296315848827,-0.05341747412722779,0.02434450598084864,0.038880990054038216
0,A ridge_late pooled (qwen4b L18),ADE vs log,s_ego deciles 1-9,straight_yaw,5410,1.358440637588501,-0.07390310615301132,-0.10538024153554734,-0.04568621642890816,0.02984701255331959
0,A ridge_late pooled (qwen4b L18),ADE vs log,all deciles (side column),straight_yaw,5855,1.6896251440048218,-0.08051469922065735,-0.11100908568092158,-0.050167443801067295,0.03042082093992714
0,A ridge_late pooled (qwen4b L18),ADE vs log,s_ego deciles 1-9,all,9018,1.5254764556884766,-0.05047547444701195,-0.0713503434445101,-0.032963551086353564,0.01919339617907827
0,A ridge_late pooled (qwen4b L18),ADE vs log,all deciles (side column),all,10021,1.9364136457443237,-0.05631065368652344,-0.077142440314404,-0.038746609223291026,0.019197915545556485
0,A ridge_late pooled (qwen4b L18),DiD,s_ego deciles 1-9,pre_onset - straight_yaw,625,,0.05257168412208557,0.005359550639513942,0.10334949333458136,0.04899497134753371
0,A ridge_late pooled (qwen4b L18),RFS,rater frames (subset),all,237,7.146564779888192,0.0012834303333893729,-0.06766334685822803,0.06992279559684013,0.06879307122753409
0,A ridge_late pooled (qwen4b L18),RFS,decile 10 only,all,39,6.303095358045343,0.013370694314756926,-0.09006408385072033,0.15713735302109108,0.1236007184359057
0,A ridge_late pooled (qwen4b L18),ADE vs rater_best,decile 10 only,all,39,5.297606468200684,-0.05037054792046547,-0.14960949478241115,0.04950229202707608,0.0995558934047436
0,a qwen32b L32_mean,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.899516224861145,0.006135255564004183,-0.04006264288767625,0.05259548540546996,0.046329064146573104
0,a qwen32b L32_mean,ADE vs log,all deciles (side column),pre_onset,752,2.3533990383148193,0.01017715223133564,-0.03518634554185067,0.05958151347855872,0.047383929510204696
0,a qwen32b L32_mean,ADE vs log,s_ego deciles 1-9,straight_yaw,5410,1.3402982950210571,-0.09204555302858353,-0.13194533522813204,-0.05484310403691335,0.038551115595609343
0,a qwen32b L32_mean,ADE vs log,all deciles (side column),straight_yaw,5855,1.669068455696106,-0.101071298122406,-0.14174472619853862,-0.062447451686894,0.03964863725582231
0,a qwen32b L32_mean,ADE vs log,s_ego deciles 1-9,all,9018,1.517346978187561,-0.05860498547554016,-0.0856503217364529,-0.035574627866069033,0.025037846935191933
0,a qwen32b L32_mean,ADE vs log,all deciles (side column),all,10021,1.9264458417892456,-0.06627852469682693,-0.09332473105256008,-0.04284677330972994,0.025238978871415067
0,a qwen32b L32_mean,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,625,,0.09818080812692642,0.04147192895606467,0.16554799878168844,0.06203803491281189
0,a qwen32b L32_mean,RFS,rater frames (subset),all,237,7.088177917200478,-0.05710343235432393,-0.1477450107694949,0.03133800640121022,0.08954150858535256
0,a qwen32b L32_mean,RFS,decile 10 only,all,39,6.342585399185802,0.052860735455216086,-0.09456345784222583,0.22253264671239498,0.1585480522773104
0,a qwen32b L32_mean,ADE vs rater_best,decile 10 only,all,39,5.319371700286865,-0.028605766594409943,-0.14265165134118155,0.08667398255604965,0.1146628169486156
0,a qwen32b L32_last,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.8572371006011963,-0.036143794655799866,-0.0869450245173712,0.011416373908346922,0.04918069921285906
0,a qwen32b L32_last,ADE vs log,all deciles (side column),pre_onset,752,2.315324544906616,-0.027897287160158157,-0.07446254652165307,0.01880240497081232,0.04663247574623269
0,a qwen32b L32_last,ADE vs log,s_ego deciles 1-9,straight_yaw,5410,1.3603522777557373,-0.07199162989854813,-0.10843953106700184,-0.036574212017271755,0.035932659524865046
0,a qwen32b L32_last,ADE vs log,all deciles (side column),straight_yaw,5855,1.6809732913970947,-0.08916643261909485,-0.12557758968263852,-0.05307590323586989,0.036250843223384316
0,a qwen32b L32_last,ADE vs log,s_ego deciles 1-9,all,9018,1.5334627628326416,-0.042489193379879,-0.06766957812239849,-0.019544823986080827,0.02406237706815883
0,a qwen32b L32_last,ADE vs log,all deciles (side column),all,10021,1.9358184337615967,-0.056905895471572876,-0.08225468942780609,-0.034873483398813146,0.02369060301449647
0,a qwen32b L32_last,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,625,,0.03584783524274826,-0.02587045858810415,0.10112045802152891,0.06349545830481654
0,a qwen32b L32_last,RFS,rater frames (subset),all,237,7.1262094903203055,-0.019071859234495774,-0.10840257103262675,0.082311938313802,0.09535725467321438
0,a qwen32b L32_last,RFS,decile 10 only,all,39,6.42781191727808,0.13808725354749402,-0.05453234987379674,0.35837190667384783,0.20645212827382228
0,a qwen32b L32_last,ADE vs rater_best,decile 10 only,all,39,5.277050495147705,-0.07092589884996414,-0.24078504553972147,0.10094215675042226,0.17086360114507188
0,a qwen32b L50_mean,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.8830612897872925,-0.010319757275283337,-0.05706019554946641,0.03576843545010109,0.046414315499783754
0,a qwen32b L50_mean,ADE vs log,all deciles (side column),pre_onset,752,2.332350969314575,-0.010870729573071003,-0.05470110653481098,0.03529218428810493,0.04499664541145795
0,a qwen32b L50_mean,ADE vs log,s_ego deciles 1-9,straight_yaw,5410,1.3333334922790527,-0.09901030361652374,-0.13304343539752467,-0.06357443272838965,0.03473450133456751
0,a qwen32b L50_mean,ADE vs log,all deciles (side column),straight_yaw,5855,1.6610612869262695,-0.10907862335443497,-0.14450827246722014,-0.07150942315885506,0.036499424654182544
0,a qwen32b L50_mean,ADE vs log,s_ego deciles 1-9,all,9018,1.512346625328064,-0.06360537558794022,-0.08816580874667465,-0.04190025515229545,0.0231327767971896
0,a qwen32b L50_mean,ADE vs log,all deciles (side column),all,10021,1.9204884767532349,-0.07223600149154663,-0.09727275614858115,-0.0510749208449548,0.023098917651813173
0,a qwen32b L50_mean,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,625,,0.08869054913520813,0.03264522762276804,0.14592612084578166,0.056640446611506814
0,a qwen32b L50_mean,RFS,rater frames (subset),all,237,7.105338266446048,-0.03994308310875352,-0.13050532397382086,0.053143624177685624,0.09182447407575324
0,a qwen32b L50_mean,RFS,decile 10 only,all,39,6.299862568872788,0.010137905142202296,-0.12553676578034043,0.1841278634571091,0.15483231461872476
0,a qwen32b L50_mean,ADE vs rater_best,decile 10 only,all,39,5.292783260345459,-0.055194150656461716,-0.16576092067437295,0.05759459535280863,0.11167775801359078
0,a qwen32b L50_last,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.8641679286956787,-0.029212823137640953,-0.061050179144379484,-6.298096068126967e-05,0.030493599091849108
0,a qwen32b L50_last,ADE vs log,all deciles (side column),pre_onset,752,2.3227038383483887,-0.020517846569418907,-0.051442274232860005,0.010215591250371588,0.030828932741615796
0,a qwen32b L50_last,ADE vs log,s_ego deciles 1-9,straight_yaw,5410,1.3838140964508057,-0.048529673367738724,-0.06567518383710268,-0.030770148696277127,0.017452517570412773
0,a qwen32b L50_last,ADE vs log,all deciles (side column),straight_yaw,5855,1.7163811922073364,-0.05375869199633598,-0.07053359596060636,-0.03658090379088571,0.016976346084860327
0,a qwen32b L50_last,ADE vs log,s_ego deciles 1-9,all,9018,1.5434116125106812,-0.03254037722945213,-0.04488101820133054,-0.020902780049953048,0.011989119075688745
0,a qwen32b L50_last,ADE vs log,all deciles (side column),all,10021,1.9564950466156006,-0.03622926399111748,-0.04870210542974368,-0.025137486801993274,0.011782309313875203
0,a qwen32b L50_last,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,625,,0.01931685023009777,-0.017239238382151495,0.05300203530317991,0.0351206368426657
