direction,arm,lam,sel_ade,d
0,ridge ego,1e-06,2.051403284072876,
0,A ridge_late pooled (qwen4b L18),10.0,1.9692289233207703,2560.0
0,"d vjepa2 (front, 4 frames)",10.0,1.9751932621002197,1024.0
0,d5 late fusion vjepa2 + qwen,31.622776601683796,1.9650182723999023,3584.0
0,d1 vjepa2 3 cameras,10.0,1.9708815217018127,3072.0
0,d2 vjepa2 clip 8,10.0,1.9760506749153137,1024.0
0,d3 vjepa2 clip 16,10.0,1.9741158783435822,1024.0
0,d4 vjepa2 ViT-g,10.0,1.9789220690727234,1408.0
1,ridge ego,1e-06,2.0504117608070374,
1,A ridge_late pooled (qwen4b L18),10.0,1.9467156827449799,2560.0
1,"d vjepa2 (front, 4 frames)",3.162277660168379,1.9437520205974579,1024.0
1,d5 late fusion vjepa2 + qwen,10.0,1.9260196089744568,3584.0
1,d1 vjepa2 3 cameras,10.0,1.943646788597107,3072.0
1,d2 vjepa2 clip 8,3.162277660168379,1.9471363127231598,1024.0
1,d3 vjepa2 clip 16,3.162277660168379,1.9452050030231476,1024.0
1,d4 vjepa2 ViT-g,3.162277660168379,1.9426500797271729,1408.0
