lookahead_m,p_turn_intent_given_turn,turn_intent_share,waymo_target
10,0.5870667793744717,0.22639402610091422,0.6179040673917143
15,0.6458157227387996,0.2953451043338684,0.6179040673917143
20,0.6513102282333052,0.31230371972922044,0.6179040673917143
30,0.6610312764158918,0.3512457254518808,0.6179040673917143
40,0.6614539306846999,0.35340917021425083,0.6179040673917143
60,0.6614539306846999,0.3543164212436318,0.6179040673917143
