direction,domain,subset,arm,n,groups,ade,delta_vs_ego,lo,hi,ade_reweighted_to_carla,carla_mass_unmatched,ratio_vs_waymo_matched
0,Waymo eval half,all,CTRV,10021,238,3.1869149208068848,1.1941906213760376,1.0380835503548373,1.3385902841269193,4.140790668993483,0.00033333333333340764,
0,Waymo eval half,all,ridge ego,10021,238,1.9927242994308472,0.0,0.0,0.0,2.292230548243318,0.00033333333333340764,
0,Waymo eval half,all,ridge_late L18_last,10021,238,1.9561641216278076,-0.0365602970123291,-0.05281782082867275,-0.02108226977620354,2.2341018088383056,0.00033333333333340764,
0,Waymo eval half,all,ridge_late L18_last (per-domain std),10021,238,1.9561641216278076,-0.0365602970123291,-0.05281782082867275,-0.02108226977620354,2.2341018088383056,0.00033333333333340764,
0,Waymo eval half,all,cls ego K1024,10021,238,3.2690868377685547,1.276362657546997,1.1319510188783624,1.4327896168776042,3.2184845339898147,0.00033333333333340764,
0,Waymo eval half,all,cls_late L18_last K1024,10021,238,3.442277193069458,1.4495524168014526,1.267879386709034,1.6547908772707967,3.2303255493142444,0.00033333333333340764,
0,Waymo eval half,all,ridge_late L18_mean,10021,238,1.933941125869751,-0.05878341570496559,-0.08017967252114623,-0.04051073767297437,2.2319867172094927,0.00033333333333340764,
0,Waymo eval half,all,ridge_late L18_mean (per-domain std),10021,238,1.933941125869751,-0.05878341570496559,-0.08017967252114623,-0.04051073767297437,2.2319867172094927,0.00033333333333340764,
0,Waymo eval half,all,ego clipped | ridge ego,10021,238,2.0116400718688965,0.0,0.0,0.0,2.3342244794822684,0.00033333333333340764,
0,Waymo eval half,all,ego clipped | ridge_late L18_last,10021,238,1.9886659383773804,-0.022974133491516113,-0.033437102298811895,-0.012926097608588136,2.2920148787636805,0.00033333333333340764,
0,Waymo eval half,all,ego clipped | ridge_late L18_last (per-domain std),10021,238,1.9886659383773804,-0.022974133491516113,-0.033437102298811895,-0.012926097608588136,2.2920148787636805,0.00033333333333340764,
0,Waymo eval half,all,ego clipped | ridge_late L18_mean,10021,238,1.9725492000579834,-0.039090849459171295,-0.0552583504439017,-0.02587708179493675,2.2921329855958636,0.00033333333333340764,
0,Waymo eval half,all,ego clipped | ridge_late L18_mean (per-domain std),10021,238,1.9725492000579834,-0.039090849459171295,-0.0552583504439017,-0.02587708179493675,2.2921329855958636,0.00033333333333340764,
0,Waymo eval half,pre-onset (3 kinds),CTRV,1273,181,4.798648357391357,1.657947301864624,1.4453573588344069,1.9032855161891236,5.1339820030757375,1.1102230246251565e-16,
0,Waymo eval half,pre-onset (3 kinds),ridge ego,1273,181,3.1407010555267334,0.0,0.0,0.0,3.243954850378491,1.1102230246251565e-16,
0,Waymo eval half,pre-onset (3 kinds),ridge_late L18_last,1273,181,3.001671552658081,-0.13902953267097473,-0.17731679903801464,-0.1003817311601211,3.032657375108629,1.1102230246251565e-16,
0,Waymo eval half,pre-onset (3 kinds),ridge_late L18_last (per-domain std),1273,181,3.001671552658081,-0.13902953267097473,-0.17731679903801464,-0.1003817311601211,3.032657375108629,1.1102230246251565e-16,
0,Waymo eval half,pre-onset (3 kinds),cls ego K1024,1273,181,3.735596179962158,0.5948948264122009,0.36277492091954394,0.8585520573073396,3.7187173956916455,1.1102230246251565e-16,
0,Waymo eval half,pre-onset (3 kinds),cls_late L18_last K1024,1273,181,3.7623348236083984,0.6216334104537964,0.39461707826631076,0.8669496167821076,3.628447727702913,1.1102230246251565e-16,
0,Waymo eval half,pre-onset (3 kinds),ridge_late L18_mean,1273,181,2.989291191101074,-0.1514100581407547,-0.19135204899798453,-0.11475020111130715,3.0333622455596925,1.1102230246251565e-16,
0,Waymo eval half,pre-onset (3 kinds),ridge_late L18_mean (per-domain std),1273,181,2.989291191101074,-0.1514100581407547,-0.19135204899798453,-0.11475020111130715,3.0333622455596925,1.1102230246251565e-16,
0,Waymo eval half,pre-onset (3 kinds),ego clipped | ridge ego,1273,181,3.1714606285095215,0.0,0.0,0.0,3.269557422683353,1.1102230246251565e-16,
0,Waymo eval half,pre-onset (3 kinds),ego clipped | ridge_late L18_last,1273,181,3.0813817977905273,-0.09007895737886429,-0.115106245135604,-0.06229681810705025,3.1215088063194645,1.1102230246251565e-16,
0,Waymo eval half,pre-onset (3 kinds),ego clipped | ridge_late L18_last (per-domain std),1273,181,3.0813817977905273,-0.09007895737886429,-0.115106245135604,-0.06229681810705025,3.1215088063194645,1.1102230246251565e-16,
