group,metric,n_waymo,n_carla,carla_routes,waymo,carla,carla_ci,waymo_matched,ratio_matched,excess_pp_matched,carla_mass_unmatched
all,oracle minADE (m),19663,3000,150,0.5493665337562561,0.947798490524292,"(0.8532546011170618, 1.0543971934427103)",0.6170491059647675,1.536017930116586,,0.00033333333333340764
all,oracle minFDE (m),19663,3000,150,0.5628879070281982,0.6219629049301147,"(0.5574676251925256, 0.6951314573586329)",0.5998252108022347,1.0369069084279936,,0.00033333333333340764
all,uncoverable share,19663,3000,150,0.0916950617911814,0.2886666666666667,"(0.24432800320887818, 0.33572089947089945)",0.13563321833468484,,15.303344833198185,0.00033333333333340764
pre-onset (3 kinds),oracle minADE (m),2457,1050,129,0.7677156329154968,1.4020607471466064,"(1.2711509350729169, 1.5592162330856525)",0.7518751256238848,1.8647521368434896,,1.1102230246251565e-16
pre-onset (3 kinds),oracle minFDE (m),2457,1050,129,0.660545289516449,0.8118621110916138,"(0.7427959847349282, 0.8816752212563609)",0.6577213460206986,1.234355728308785,,1.1102230246251565e-16
pre-onset (3 kinds),uncoverable share,2457,1050,129,0.16646316646316647,0.5352380952380953,"(0.476694403600956, 0.5954226611626625)",0.1894994549030063,,34.5738640335089,1.1102230246251565e-16
pre_onset_lateral,oracle minADE (m),1458,600,87,0.8744874596595764,1.6473520994186401,"(1.4633966701015846, 1.8501502510417716)",0.9308215947945913,1.769782854879048,,0.0
pre_onset_lateral,oracle minFDE (m),1458,600,87,0.9000793099403381,1.0296573638916016,"(0.9552070156437958, 1.11472471852642)",0.8964161182443302,1.1486377173898101,,0.0
pre_onset_lateral,uncoverable share,1458,600,87,0.24828532235939643,0.7366666666666667,"(0.6731057804870016, 0.794482088618903)",0.28375340481676253,,45.29132618499042,0.0
pre_onset_start,oracle minADE (m),195,225,62,0.5265723466873169,1.1714200973510742,"(1.0674718738009816, 1.2868995007374804)",0.5265724062919617,2.2246135258017534,,0.0
pre_onset_start,oracle minFDE (m),195,225,62,0.42876172065734863,0.7427076697349548,"(0.6399141326431069, 0.8315248123624762)",0.428761750459671,1.7322153129067732,,0.0
pre_onset_start,uncoverable share,195,225,62,0.1076923076923077,0.4711111111111111,"(0.376015406162465, 0.5659678026736962)",0.1076923076923077,,36.34188034188034,0.0
pre_onset_brake,oracle minADE (m),804,225,82,0.6325785517692566,0.9785910248756409,"(0.8870823695454457, 1.0983600460065932)",0.49998726050059006,1.9572319180610123,,1.1102230246251565e-16
pre_onset_brake,oracle minFDE (m),804,225,82,0.28238236904144287,0.3002290427684784,"(0.2317031411402513, 0.38631617220523934)",0.25016154898537535,1.200140645059845,,1.1102230246251565e-16
pre_onset_brake,uncoverable share,804,225,82,0.03233830845771144,0.06222222222222222,"(0.02462702322308234, 0.10620186004588658)",0.019962735677021396,,4.225948654520082,1.1102230246251565e-16
in_turn,oracle minADE (m),4238,750,114,0.8307750821113586,1.1682617664337158,"(1.064072716974903, 1.2649635497476128)",0.9206202432851449,1.2689942187941532,,0.0013333333333334085
in_turn,oracle minFDE (m),4238,750,114,0.9827913641929626,0.9355564117431641,"(0.8652722831886321, 1.0113423288023302)",1.0166108936111187,0.9202699062371447,,0.0013333333333334085
in_turn,uncoverable share,4238,750,114,0.2883435582822086,0.324,"(0.26248120009553255, 0.38648672246169335)",0.26575272338267236,,5.824727661732765,0.0013333333333334085
stop_queue,oracle minADE (m),612,300,64,0.08805196732282639,0.03507388383150101,"(0.024551149258460782, 0.04829107040429149)",0.08805195987224579,0.3983316655573545,,0.0
stop_queue,oracle minFDE (m),612,300,64,0.15148739516735077,0.07199963927268982,"(0.059148268735890464, 0.08889875163975197)",0.15148739516735077,0.4752846875025514,,0.0
stop_queue,uncoverable share,612,300,64,0.0,0.0,"(0.0, 0.0)",0.0,,0.0,0.0
straight,oracle minADE (m),10928,750,114,0.4216819703578949,0.4804108142852783,"(0.4125037104823754, 0.5678551943347436)",0.37143704974651337,1.293384207668928,,0.0
straight,oracle minFDE (m),10928,750,114,0.40189021825790405,0.26592957973480225,"(0.2199095669837228, 0.3313904622604735)",0.31459052952130634,0.8453197244667582,,0.0
straight,uncoverable share,10928,750,114,0.007229136163982431,0.04,"(0.021822941631945727, 0.06677824741173644)",0.003340422968447079,,3.665957703155292,0.0
other,oracle minADE (m),1428,150,77,0.5133503079414368,0.8280338048934937,"(0.7226341117950047, 0.9519319987288655)",0.4434896626075109,1.867087047813119,,0.0
other,oracle minFDE (m),1428,150,77,0.5570502877235413,0.6047947406768799,"(0.5039027343931158, 0.7057937430056582)",0.4362514591217041,1.386344338869377,,0.0
other,uncoverable share,1428,150,77,0.06512605042016807,0.20666666666666667,"(0.13995744680851066, 0.29033401967513156)",0.04156991398404228,,16.509675268262438,0.0
