route_id,wave,ok,attempt,stop,sim_s,cam_sets,missed,route_completion,collisions,red_light,wall_s
2534,1,True,1,stuck,37.550000000000004,190.0,0.0,31.16,0.0,0.0,194.0
3307,1,True,1,stuck,37.65,191.0,0.0,31.61,0.0,0.0,208.7
3410,1,True,1,stuck,38.650000000000006,196.0,0.0,36.89,0.0,0.0,268.0
25845,1,True,1,stuck,37.4,190.0,0.0,38.14,0.0,0.0,122.7
2204,1,True,1,route_end,22.450000000000003,115.0,0.0,100.0,0.0,0.0,143.5
27532,1,True,1,route_end,22.1,113.0,0.0,100.0,0.0,0.0,83.8
24795,1,True,1,stuck,39.35,199.0,0.0,34.65,1.0,0.0,111.5
2513,1,True,1,stuck,39.300000000000004,199.0,0.0,37.91,1.0,0.0,278.1
25424,1,True,1,stuck,39.85,202.0,0.0,47.26,1.0,0.0,127.6
2606,1,True,1,stuck,39.5,200.0,0.0,37.91,1.0,0.0,212.9
24841,1,True,1,route_end,22.6,116.0,0.0,100.0,0.0,0.0,66.0
24340,1,True,1,route_end,16.6,86.0,0.0,100.0,0.0,0.0,62.0
3086,1,True,1,route_end,15.65,81.0,0.0,100.0,0.0,0.0,137.3
3093,1,True,1,route_end,16.45,85.0,0.0,100.0,0.0,0.0,209.9
17752,1,True,1,route_end,20.3,104.0,0.0,100.0,1.0,0.0,173.0
24211,1,True,1,route_end,19.700000000000003,101.0,0.0,100.0,1.0,0.0,74.8
3749,1,True,1,stuck,64.3,324.0,0.0,61.42,0.0,0.0,272.5
27506,1,True,1,route_end,25.25,129.0,0.0,100.0,1.0,0.0,140.3
26456,1,True,1,stuck,60.85,307.0,0.0,94.67,0.0,0.0,154.6
24330,1,False,,,,,,,,,
1792,1,True,1,route_end,65.2,329.0,0.0,100.0,0.0,0.0,327.4
25381,1,True,1,stuck,72.10000000000001,363.0,0.0,82.23,0.0,0.0,278.8
24258,1,True,1,stuck,79.15,398.0,0.0,89.33,0.0,0.0,198.3
25854,1,True,1,route_end,78.4,395.0,0.0,100.0,0.0,0.0,205.1
3074,1,True,1,stuck,41.1,208.0,0.0,59.44,0.0,0.0,202.9
3813,1,True,1,stuck,44.300000000000004,224.0,0.0,65.04,0.0,0.0,253.7
23659,1,True,1,route_end,20.1,103.0,0.0,100.0,1.0,0.0,141.7
23658,1,True,1,route_end,28.75,146.0,0.0,100.0,1.0,0.0,167.0
23910,1,True,1,route_end,12.05,63.0,0.0,100.0,0.0,0.0,111.5
23901,1,True,1,stuck,44.75,226.0,0.0,14.91,0.0,0.0,240.2
23700,1,True,1,route_end,17.5,90.0,0.0,100.0,0.0,0.0,166.2
24078,1,True,1,route_end,17.5,90.0,0.0,100.0,0.0,0.0,156.6
2790,1,True,1,route_end,15.25,79.0,0.0,100.0,0.0,0.0,212.8
3572,1,True,1,route_end,45.5,230.0,0.0,100.0,0.0,0.0,235.7
2283,1,True,1,route_end,27.05,138.0,0.0,100.0,1.0,0.0,215.8
2273,1,True,1,route_end,13.55,70.0,0.0,100.0,0.0,0.0,105.0
26394,1,True,1,route_end,16.0,83.0,0.0,100.0,0.0,0.0,63.5
