tap,direction,probe,lam,n_waymo_eval,n_carla,carla_class_counts,auc_waymo,auc_carla,auc_carla_per_domain_std,transfer,transfer_per_domain_std
L18_last,0,moving (v0 > 2 vs < 0.5 m/s),0.01,9140,2831,"[620, 2211]",0.9950411385539705,0.9319436541632016,0.9333289563910652,0.8725409274569009,0.8753392852497706
L18_last,0,3 s manoeuvre (straight / left / right),0.1,9757,2647,"[1334, 751, 562]",0.834483884120698,0.6931937200142094,0.7353624122611858,0.577587528684927,0.7036584524241404
L18_last,1,moving (v0 > 2 vs < 0.5 m/s),0.1,8779,2831,"[620, 2211]",0.998356650041137,0.941812199997082,0.9425529974759633,0.8865381849737781,0.8880246655471189
L18_last,1,3 s manoeuvre (straight / left / right),0.1,9275,2647,"[1334, 751, 562]",0.8497090700547356,0.7310843318120618,0.7292911911425689,0.6607902156380817,0.6556626944410702
L18_mean,0,moving (v0 > 2 vs < 0.5 m/s),0.001,9140,2831,"[620, 2211]",0.995978275611198,0.9203469456237873,0.928029938285114,0.8475108009635913,0.8630013839974127
L18_mean,0,3 s manoeuvre (straight / left / right),0.001,9757,2647,"[1334, 751, 562]",0.801550338159466,0.6592396957672492,0.6843246309714344,0.5280700288355835,0.6112565885234051
L18_mean,1,moving (v0 > 2 vs < 0.5 m/s),0.001,8779,2831,"[620, 2211]",0.998571936993681,0.9467344363227849,0.9503381187902132,0.8960280416433605,0.9032560506828545
L18_mean,1,3 s manoeuvre (straight / left / right),0.1,9275,2647,"[1334, 751, 562]",0.8392907752361679,0.7298992162472263,0.7257295382442305,0.6775875827664394,0.665298188809019
