direction,tap,family,arm,compare,subset,n,value,delta,lo,hi,halfwidth
0,L18_last,diff,diff qwenvid L18_last,head top-1 - ridge_late,pre_onset dec1-9,625,2.8421003818511963,1.0018351078033447,0.7387897392182866,1.2638781765142755,0.26254421864799443
0,L18_last,diff,diff qwenvid L18_last,vision increment: head family - ridge,pre_onset dec1-9,625,0.3504820168018341,0.40359917283058167,0.18760344557414466,0.610874999262131,0.21163577684399315
0,L18_last,diff,diff qwenvid L18_last,head top-1 - ridge_late,straight dec1-9,5410,2.323530912399292,0.9243736267089844,0.6814967615345996,1.2113235320928653,0.26491338527913283
0,L18_last,diff,diff qwenvid L18_last,vision increment: head family - ridge,straight dec1-9,5410,0.688542366027832,0.7217279076576233,0.4842454375451221,0.9956809859475014,0.2557177742011897
0,L18_last,diff,diff qwenvid L18_last,RFS head top-1 - ridge_late,rater frames,237,7.278806530379983,0.11795949098880018,-0.16310514046870475,0.3944996829840355,0.2788024117263701
0,L18_last,diff,diff qwenvid L18_grid 4x4,head top-1 - ridge_late,pre_onset dec1-9,625,3.7288835048675537,1.8886183500289917,1.3571338814277203,2.6081653796421027,0.6255157491071912
0,L18_last,diff,diff qwenvid L18_grid 4x4,vision increment: head family - ridge,pre_onset dec1-9,625,1.2372652292251587,1.2903823852539062,0.7985538085254226,1.935297638165147,0.5683719148198623
0,L18_last,diff,diff qwenvid L18_grid 4x4,head top-1 - ridge_late,straight dec1-9,5410,2.750361680984497,1.3512042760849,1.04084119608677,1.7171186290615439,0.3381387164873869
0,L18_last,diff,diff qwenvid L18_grid 4x4,vision increment: head family - ridge,straight dec1-9,5410,1.1153730154037476,1.148558497428894,0.838767779455744,1.5047692471541754,0.3330007338492157
0,L18_last,diff,diff qwenvid L18_grid 4x4,RFS head top-1 - ridge_late,rater frames,237,7.15116194285225,-0.00968509653893366,-0.30044855206590537,0.3115346127960882,0.3059915824309968
0,L18_mean,diff,diff qwenvid L18_mean,head top-1 - ridge_late,pre_onset dec1-9,625,2.7398319244384766,0.8875062465667725,0.6316248743164506,1.1277270516171558,0.24805108865035258
0,L18_mean,diff,diff qwenvid L18_mean,vision increment: head family - ridge,pre_onset dec1-9,625,0.24821381270885468,0.28927040100097656,0.008343239408156046,0.5307101650704811,0.2611834628311625
0,L18_mean,diff,diff qwenvid L18_mean,head top-1 - ridge_late,straight dec1-9,5410,2.395442485809326,1.0313079357147217,0.7810760294443913,1.3147827316618421,0.26685335110872543
0,L18_mean,diff,diff qwenvid L18_mean,vision increment: head family - ridge,straight dec1-9,5410,0.7604536414146423,0.8286622762680054,0.5790427447008031,1.1187236973228694,0.26984047631103314
0,L18_mean,diff,diff qwenvid L18_mean,RFS head top-1 - ridge_late,rater frames,237,7.270259361765938,0.13965978025807588,-0.17839358428031069,0.45187690912433964,0.3151352467023252
0,L18_mean,diff,diff qwenvid L18_grid 4x4,head top-1 - ridge_late,pre_onset dec1-9,625,3.7288835048675537,1.8765578269958496,1.3466442678555757,2.5850744554694898,0.619215093806957
0,L18_mean,diff,diff qwenvid L18_grid 4x4,vision increment: head family - ridge,pre_onset dec1-9,625,1.2372652292251587,1.2783217430114746,0.7926856857096258,1.9295375009954856,0.5684259076429299
0,L18_mean,diff,diff qwenvid L18_grid 4x4,head top-1 - ridge_late,straight dec1-9,5410,2.750361680984497,1.3862272500991821,1.071518410136214,1.7553730173061906,0.34192730358498824
0,L18_mean,diff,diff qwenvid L18_grid 4x4,vision increment: head family - ridge,straight dec1-9,5410,1.1153730154037476,1.1835815906524658,0.8664702631953956,1.54971803734975,0.3416238870771773
0,L18_mean,diff,diff qwenvid L18_grid 4x4,RFS head top-1 - ridge_late,rater frames,237,7.15116194285225,0.02056236134438691,-0.2816105979157372,0.3469684246014262,0.31428951125858173
1,L18_last,diff,diff qwenvid L18_last,head top-1 - ridge_late,pre_onset dec1-9,640,2.883826732635498,1.0664305686950684,0.7754993796161753,1.3727879092228037,0.2986442648033142
1,L18_last,diff,diff qwenvid L18_last,vision increment: head family - ridge,pre_onset dec1-9,640,0.41099414229393005,0.45640745759010315,0.19784103967419836,0.7311433015119388,0.26665113091887027
