route_id,preset,seed,attempt,selected_attempt,official_status,process_status,completion_pct,full_cte_rms_m,precollision_cte_rms_m,precollision_state,full_cte_samples,precollision_cte_samples,driving_completed,capped,report_source,telemetry_source
25381,pursuit,0,1,True,Completed,finished,100,0.07908262192160696,0.07908262192160696,available,390,390,True,False,/data/runs/b2d/controller/formal-v4/pursuit-seed0/controller-report.json,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/25381/1/control.jsonl
25424,pursuit,0,1,True,Failed - TickRuntime,finished,47.26,0.04202837188577477,0.046871213947630684,available,4000,159,False,True,/data/runs/b2d/controller/formal-v4/pursuit-seed0/controller-report.json,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/25424/1/control.jsonl
26405,pursuit,0,1,True,Completed,finished,100,0.05622278776307862,0.05622278776307862,available,383,383,True,False,/data/runs/b2d/controller/formal-v4/pursuit-seed0/controller-report.json,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/26405/1/control.jsonl
27494,pursuit,0,1,True,Completed,finished,100,0.4496389663158912,0.2699098786323864,available,474,167,True,False,/data/runs/b2d/controller/formal-v4/pursuit-seed0/controller-report.json,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/27494/1/control.jsonl
28198,pursuit,0,1,True,Completed,finished,100,0.20601293872407614,0.20601293872407614,available,255,255,True,False,/data/runs/b2d/controller/formal-v4/pursuit-seed0/controller-report.json,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/28198/1/control.jsonl
3255,pursuit,0,1,True,Completed,finished,100,0.10180624815991379,0.07150911288852585,available,693,172,True,False,/data/runs/b2d/controller/formal-v4/pursuit-seed0/controller-report.json,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/3255/1/control.jsonl
3514,pursuit,0,1,True,Completed,finished,100,1.4585730486190385,3.0860559175396953,available,718,39,True,False,/data/runs/b2d/controller/formal-v4/pursuit-seed0/controller-report.json,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/3514/1/control.jsonl
17569,pursuit,1,1,True,Completed,finished,100,0.24968258373585314,0.18101405222262074,available,330,257,True,False,/data/runs/b2d/controller/formal-v4/pursuit-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/pursuit-seed1/attempts/17569/1/control.jsonl
2091,pursuit,1,1,True,Failed - TickRuntime,finished,79.01,1.294893384197853,0.047286637400353375,available,4000,113,False,True,/data/runs/b2d/controller/formal-v4/pursuit-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/pursuit-seed1/attempts/2091/1/control.jsonl
25378,pursuit,1,1,True,Completed,finished,100,0.08811243891774335,0.08811243891774335,available,286,286,True,False,/data/runs/b2d/controller/formal-v4/pursuit-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/pursuit-seed1/attempts/25378/1/control.jsonl
