arm,direction,fit_lam,fit_sel_ade,ade_all,n_all,ade_pre_onset,n_pre_onset,ade_straight_yaw,n_straight_yaw,ade_turn_yaw,n_turn_yaw,rfs,n_rater,rfs_cluster,rfs_lo,rfs_hi,floored,fit_n_fit,fit_sel_pre_ade,fit_epochs,fit_sel_iter_mean,fit_sel_iter_max,fit_sel_not_converged,fit_iter_mean,fit_iter_max,fit_not_converged
ridge ego,-1,3.162277660168379e-06,1.6785930693149567,1.8344768,106360,2.3760018,1510,1.7215542,46580,2.4546628,11060,7.055803829125608,479,7.059278503433897,6.855682659986796,7.267053616614139,0.27139874739039666,,,,,,,,,
A ridge_late uniform,-1,0.31622776601683794,1.5940496325492859,1.7663497,106360,2.3598077,1510,1.5943817,46580,2.399448,11060,6.968319823122093,479,6.939179146650946,6.764222017080495,7.175310463918756,0.2776617954070981,415663.0,2.653519769562334,,,,,,,
B ego:a1,-1,0.31622776601683794,2.072327136993408,1.8064973,106360,2.4018164,1510,1.6224838,46580,2.4195096,11060,6.781365185397653,479,6.791015882173701,6.57569259983453,6.9800117805177155,0.2818371607515658,415663.0,2.6776538582421527,,,,,,,
C pre_onset fit,-1,10.0,2.587040424346924,1.9868346,106360,2.3599253,1510,1.8636694,46580,2.555943,11060,6.248675913620291,479,6.253865916481735,6.063417938764966,6.442544141124658,0.35490605427974947,6786.0,2.587058114822797,,,,,,,
D mlp uniform,-1,,1.620985507965088,1.8318692,106360,2.375955,1510,1.6723378,46580,2.4128888,11060,6.650873520578461,479,6.602630172265272,6.454339566961967,6.856085005105204,0.32150313152400833,,,1.0,,,,,,
D mlp ego:a1,-1,,2.125593900680542,1.9604359,106360,2.4438455,1510,1.8272756,46580,2.508316,11060,6.369681541952571,479,6.327681732928937,6.171285461968603,6.585470135168355,0.3569937369519833,,,1.0,,,,,,
cls ego,-1,1e-07,1.8515771627426147,1.9743963,106360,2.7067053,1510,1.9982768,46580,2.622832,11060,7.342672500465909,479,7.31136234178462,7.132614832226639,7.5573907429754215,0.21294363256784968,,,,372.1111111111111,600.0,3.0,600.0,600.0,1.0
cls_late vision+ego,-1,0.09999999999999999,1.665156364440918,1.9558586,106360,2.4782531,1510,2.0102632,46580,2.597448,11060,7.29186318033832,479,7.30145994727521,7.088935277361874,7.502176053346257,0.20668058455114824,,,,403.1111111111111,600.0,3.0,138.0,138.0,0.0
