direction,arm,scope,decile,n,s_ego_lo,s_ego_hi,ade_base,ade_arm,dade,lo,hi,rel_gain,rel_lo,rel_hi
-1,A ridge_late uniform,all,0,10636,0.034560397267341614,0.4120655953884125,0.28147504,0.5232402,0.24176519,0.22191077496954373,0.2640532151166033,0.8589223,0.7883852759005793,0.9381052672215194
-1,A ridge_late uniform,all,1,10636,0.41214123368263245,0.6054397821426392,0.50764596,0.67440337,0.16675732,0.14204246697801376,0.19151651713634815,0.32849136,0.27980615798579483,0.3772639407835463
-1,A ridge_late uniform,all,2,10636,0.6054489612579346,0.8410833477973938,0.72188437,0.7993397,0.07745533,0.06120034031648667,0.09377549990371818,0.10729603,0.0847785917974509,0.12990376827688224
-1,A ridge_late uniform,all,3,10636,0.8410869836807251,1.1088240146636963,0.97247076,0.97008467,-0.00238616,-0.019573993610225247,0.01533401257302281,-0.0024537088,-0.02012810503759703,0.015768096274252585
-1,A ridge_late uniform,all,4,10636,1.1088696718215942,1.4118523597717285,1.2581412,1.2048727,-0.05326856,-0.07364515757382625,-0.03272856085863014,-0.042339098,-0.05853489251807429,-0.02601342512181734
-1,A ridge_late uniform,all,5,10636,1.4118601083755493,1.6607215404510498,1.5305729,1.4376854,-0.0928875,-0.11456134149350768,-0.0701779190283111,-0.06068806,-0.07484866754764176,-0.04585075263659563
-1,A ridge_late uniform,all,6,10636,1.6607431173324585,2.0917136669158936,1.871018,1.7110623,-0.15995568,-0.1909438347216818,-0.1297624772799047,-0.085491255,-0.1020534433151266,-0.06935394190033746
-1,A ridge_late uniform,all,7,10636,2.0917458534240723,2.67958402633667,2.3494549,2.1310997,-0.21835525,-0.263264972295484,-0.17572144795621691,-0.09293869,-0.11205364042670772,-0.07479243354275933
-1,A ridge_late uniform,all,8,10636,2.6796140670776367,3.742910861968994,3.1553292,2.8237536,-0.33157557,-0.379267579545584,-0.29088807657129506,-0.1050843,-0.12019905125792242,-0.09218945333530465
-1,A ridge_late uniform,all,9,10636,3.742924213409424,31.29021644592285,5.6967764,5.3879566,-0.3088197,-0.3452038851144874,-0.27149218998678903,-0.054209556,-0.06059635510985911,-0.04765716106739836
-1,B ego:a1,all,0,10636,0.034560397267341614,0.4120655953884125,0.28147504,0.6998547,0.41837972,0.389204595048333,0.4495517931564623,1.4863831,1.3827321908594392,1.5971284608775769
-1,B ego:a1,all,1,10636,0.41214123368263245,0.6054397821426392,0.50764596,0.8416873,0.33404136,0.29955526497787566,0.3702477221516016,0.6580203,0.5900869618861935,0.7293423920486203
-1,B ego:a1,all,2,10636,0.6054489612579346,0.8410833477973938,0.72188437,0.9213043,0.19941987,0.17600730483431834,0.222933343042893,0.27624905,0.24381647835213846,0.3088214018114386
-1,B ego:a1,all,3,10636,0.8410869836807251,1.1088240146636963,0.97247076,1.0593679,0.08689712,0.06480557357836074,0.10991433255554015,0.08935705,0.06664012556566669,0.11302584821829949
-1,B ego:a1,all,4,10636,1.1088696718215942,1.4118523597717285,1.2581412,1.2661926,0.008051295,-0.016640537520788416,0.03217503563698649,0.006399357,-0.013226288154056633,0.025573470338334472
-1,B ego:a1,all,5,10636,1.4118601083755493,1.6607215404510498,1.5305729,1.4823023,-0.048270516,-0.07545747730341792,-0.017351612748905582,-0.031537548,-0.04930015273073006,-0.01133667847396722
-1,B ego:a1,all,6,10636,1.6607431173324585,2.0917136669158936,1.871018,1.7108604,-0.16015771,-0.1965891399702421,-0.1249145887525936,-0.085599236,-0.10507068050437803,-0.0667628987397079
-1,B ego:a1,all,7,10636,2.0917458534240723,2.67958402633667,2.3494549,2.097237,-0.252218,-0.30740119526798,-0.200331440801,-0.10735171,-0.13083936955592199,-0.08526720071398045
-1,B ego:a1,all,8,10636,2.6796140670776367,3.742910861968994,3.1553292,2.7268474,-0.42848152,-0.4887803119824027,-0.3745916315515068,-0.13579613,-0.15490627974114748,-0.11871713046392028
-1,B ego:a1,all,9,10636,3.742924213409424,31.29021644592285,5.6967764,5.2593184,-0.4374583,-0.48624530714998876,-0.3862915415011269,-0.0767905,-0.08535446607963645,-0.0678087948430068
-1,C pre_onset fit,all,0,10636,0.034560397267341614,0.4120655953884125,0.28147504,0.7224592,0.44098416,0.4144479835878495,0.46873391454141744,1.5666901,1.4724147033067219,1.6652770312320888
-1,C pre_onset fit,all,1,10636,0.41214123368263245,0.6054397821426392,0.50764596,0.81590235,0.30825627,0.2799501153527377,0.3326164221913212,0.60722685,0.5514672328005561,0.6552133679200343
-1,C pre_onset fit,all,2,10636,0.6054489612579346,0.8410833477973938,0.72188437,0.9624869,0.24060255,0.2161848774124259,0.2644988583433023,0.3332979,0.29947299933547433,0.3664005890558404
-1,C pre_onset fit,all,3,10636,0.8410869836807251,1.1088240146636963,0.97247076,1.1597713,0.18730044,0.16484321052353929,0.21348782452302084,0.19260265,0.16950968321657367,0.21953135582933286
-1,C pre_onset fit,all,4,10636,1.1088696718215942,1.4118523597717285,1.2581412,1.4050891,0.14694789,0.12198402453377516,0.17217783544912865,0.11679762,0.09695575378257268,0.13685096785767933
