scheme,arm,eff_n,lam,sel_ade,n_fit,sel_pre_ade
uniform,A ridge_late uniform,415663.0,0.31622776601683794,1.5940496325492859,415663,2.653519769562334
ego:a1,B ego:a1,357368.97374621005,0.31622776601683794,2.072327136993408,415663,2.6776538582421527
