direction,arm,subset,n,ade_base,ade_arm,dade,lo,hi,halfwidth
-1,A ridge_late uniform,all,106360,1.8344768,1.7663497,-0.06812705,-0.08530781602750541,-0.051555598293482385,0.016876108867011512
-1,A ridge_late uniform,pre_onset,1510,2.3760018,2.3598077,-0.016193992,-0.06214635911764214,0.030347175890194686,0.046246767503918415
-1,A ridge_late uniform,straight_yaw,46580,1.7215542,1.5943817,-0.12717256,-0.15792903096792416,-0.09907217041791233,0.029428430275005912
-1,A ridge_late uniform,turn_yaw,11060,2.4546628,2.399448,-0.055214603,-0.08079691852685342,-0.031798554304440736,0.02449918211120634
-1,B ego:a1,all,106360,1.8344768,1.8064973,-0.027979681,-0.051310641957502644,-0.005573545349220379,0.02286854830414113
-1,B ego:a1,pre_onset,1510,2.3760018,2.4018164,0.025814531,-0.04405355430418581,0.09385072844470575,0.06895214137444577
-1,B ego:a1,straight_yaw,46580,1.7215542,1.6224838,-0.09907032,-0.1368137731306214,-0.06561317243094188,0.03560030034983976
-1,B ego:a1,turn_yaw,11060,2.4546628,2.4195096,-0.03515311,-0.06823995508036548,-0.0029271778708251177,0.03265638860477018
-1,C pre_onset fit,all,106360,1.8344768,1.9868346,0.15235776,0.13549537755448515,0.16934142248239847,0.01692302246395666
-1,C pre_onset fit,pre_onset,1510,2.3760018,2.3599253,-0.016076447,-0.08878912429967142,0.049646981651557245,0.06921805297561434
-1,C pre_onset fit,straight_yaw,46580,1.7215542,1.8636694,0.14211532,0.11580393426524101,0.1695151980637507,0.02685563189925485
-1,C pre_onset fit,turn_yaw,11060,2.4546628,2.555943,0.10128037,0.0659643167302278,0.13843208246373082,0.036233882866751506
-1,D mlp uniform,all,106360,1.8344768,1.8318692,-0.0026075365,-0.024935988073185675,0.019326737079500767,0.02213136257634322
-1,D mlp uniform,pre_onset,1510,2.3760018,2.375955,-4.671741e-05,-0.06309572918367173,0.05690075864022219,0.05999824391194696
-1,D mlp uniform,straight_yaw,46580,1.7215542,1.6723378,-0.04921637,-0.08354999672281549,-0.017513021890956847,0.03301848741592932
-1,D mlp uniform,turn_yaw,11060,2.4546628,2.4128888,-0.041774105,-0.07658406286988492,-0.005109487916176843,0.03573728747685404
-1,D mlp ego:a1,all,106360,1.8344768,1.9604359,0.12595896,0.09866394070017358,0.15583625449315078,0.0285861568964886
-1,D mlp ego:a1,pre_onset,1510,2.3760018,2.4438455,0.06784382,-0.028526807057950198,0.15882152878554887,0.09367416792174953
-1,D mlp ego:a1,straight_yaw,46580,1.7215542,1.8272756,0.105721466,0.060859196565741173,0.1488511722669802,0.043995987850619506
-1,D mlp ego:a1,turn_yaw,11060,2.4546628,2.508316,0.053653263,0.007192579577042256,0.10435336840804349,0.04858039441550062
-1,cls ego,all,106360,1.8344768,1.9743963,0.13991937,0.07374024366017423,0.2191982363461905,0.07272899634300814
-1,cls ego,pre_onset,1510,2.3760018,2.7067053,0.3307036,-0.05250656382708162,0.9532331833751497,0.5028698736011157
-1,cls ego,straight_yaw,46580,1.7215542,1.9982768,0.2767227,0.19380163466883854,0.37097803680826663,0.08858820106971405
-1,cls ego,turn_yaw,11060,2.4546628,2.622832,0.16816941,0.016485827903375157,0.3362658186732097,0.15988999538491727
-1,cls_late vision+ego,all,106360,1.8344768,1.9558586,0.121381834,0.047230788685595805,0.20319889051250536,0.07798405091345478
-1,cls_late vision+ego,pre_onset,1510,2.3760018,2.4782531,0.102251165,-0.12359907001044125,0.3831892842813693,0.2533941771459053
-1,cls_late vision+ego,straight_yaw,46580,1.7215542,2.0102632,0.2887092,0.1976274136825598,0.3950250088196249,0.09869879756853255
-1,cls_late vision+ego,turn_yaw,11060,2.4546628,2.597448,0.1427856,-0.010458637382739992,0.30488496192109055,0.15767179965191527
