set,frames,images,dets,dets_lifted,rows_with_any,mean_in_corridor,rows_with_ped,kappa_nonzero
i3,7986,23958,62543,45550,0.6383671424993739,1.2319058179855347,0.014024542950162784,0.9936138241923366
navtest,12146,36438,203472,166220,0.6453153301498435,1.8841594457626343,0.07294582578626709,0.7873373950271695
navtrain,103288,309864,2149526,1737098,0.6645883355278445,2.040353298187256,0.10477499806366664,0.7542599333901324
wod_train,137533,412599,1846080,1436323,0.5923232969541855,1.9539092779159546,0.07861385994634015,0.7587778933056066
wod_val,20237,60711,288976,229546,0.664871275386668,2.499530553817749,0.07026733211444385,0.8402925334782824
