model,arm,seed,scope,n,tau,activation,delta_mag_median_m
cinque,A,0,all,12146,1.5485117435455322,0.01621933146714968,0.10886026918888092
cinque,A,0,straight,4365,1.5485117435455322,0.01420389461626575,0.15801988542079926
cinque,A,0,ped_cyc_corridor,897,1.5485117435455322,0.012263099219620958,0.08950655162334442
cinque,A,0,no ped_cyc,11249,1.5485117435455322,0.01653480309360832,0.11120305955410004
cinque,A,1,all,12146,1.563609778881073,0.013420055985509632,0.0979590117931366
cinque,A,1,straight,4365,1.563609778881073,0.012142038946162658,0.16669632494449615
cinque,A,1,ped_cyc_corridor,897,1.563609778881073,0.005574136008918618,0.07837319374084473
cinque,A,1,no ped_cyc,11249,1.563609778881073,0.014045692950484488,0.09938977658748627
cinque,A,2,all,12146,1.6529502868652344,0.013255392721883748,0.09890368580818176
cinque,A,2,straight,4365,1.6529502868652344,0.010767468499427262,0.14586615562438965
cinque,A,2,ped_cyc_corridor,897,1.6529502868652344,0.006688963210702341,0.0839245393872261
cinque,A,2,no ped_cyc,11249,1.6529502868652344,0.013779002578006934,0.10029859840869904
cinque,B,0,all,12146,1.3789513111114502,0.013255392721883748,0.19822128117084503
cinque,B,0,straight,4365,1.3789513111114502,0.011912943871706758,0.263944536447525
cinque,B,0,ped_cyc_corridor,897,1.3789513111114502,0.004459308807134894,0.17942097783088684
cinque,B,0,no ped_cyc,11249,1.3789513111114502,0.013956796159658636,0.1995038539171219
cinque,B,1,all,12146,1.4119889736175537,0.013090729458257863,0.20265072584152222
cinque,B,1,straight,4365,1.4119889736175537,0.010080183276059565,0.26152968406677246
cinque,B,1,ped_cyc_corridor,897,1.4119889736175537,0.006688963210702341,0.17555001378059387
cinque,B,1,no ped_cyc,11249,1.4119889736175537,0.013601208996355231,0.20458976924419403
cinque,B,2,all,12146,1.46044260263443,0.012185081508315494,0.18808288872241974
cinque,B,2,straight,4365,1.46044260263443,0.010309278350515464,0.2711164355278015
cinque,B,2,ped_cyc_corridor,897,1.46044260263443,0.004459308807134894,0.15150044858455658
cinque,B,2,no ped_cyc,11249,1.46044260263443,0.01280113787892257,0.19127491116523743
lebowski,A,0,all,12146,1.4076549708843231,0.016466326362588508,0.097054123878479
lebowski,A,0,straight,4365,1.4076549708843231,0.0290950744558992,0.14614231884479523
lebowski,A,0,ped_cyc_corridor,897,1.4076549708843231,0.011148272017837236,0.08635549247264862
lebowski,A,0,no ped_cyc,11249,1.4076549708843231,0.016890390256911726,0.09792189300060272
lebowski,A,1,all,12146,1.428723305463791,0.020006586530545035,0.08989037573337555
lebowski,A,1,straight,4365,1.428723305463791,0.03940435280641466,0.1336340457201004
lebowski,A,1,ped_cyc_corridor,897,1.428723305463791,0.013377926421404682,0.07829757034778595
lebowski,A,1,no ped_cyc,11249,1.428723305463791,0.020535158680771624,0.0905776172876358
lebowski,A,2,all,12146,1.4004497528076172,0.021982545694055656,0.10053019225597382
lebowski,A,2,straight,4365,1.4004497528076172,0.04146620847651775,0.14989830553531647
lebowski,A,2,ped_cyc_corridor,897,1.4004497528076172,0.017837235228539576,0.09235842525959015
lebowski,A,2,no ped_cyc,11249,1.4004497528076172,0.022313094497288646,0.10112646967172623
lebowski,B,0,all,12146,1.3638728857040403,0.03680223942038531,0.19973403215408325
lebowski,B,0,straight,4365,1.3638728857040403,0.06277205040091638,0.20443350076675415
lebowski,B,0,ped_cyc_corridor,897,1.3638728857040403,0.023411371237458192,0.19812031090259552
lebowski,B,0,no ped_cyc,11249,1.3638728857040403,0.03787003289181261,0.19984592497348785
lebowski,B,1,all,12146,1.4359509348869324,0.030133377243536968,0.235075443983078
lebowski,B,1,straight,4365,1.4359509348869324,0.04856815578465063,0.2377883493900299
lebowski,B,1,ped_cyc_corridor,897,1.4359509348869324,0.0189520624303233,0.23134179413318634
lebowski,B,1,no ped_cyc,11249,1.4359509348869324,0.031024979998222065,0.23531098663806915
lebowski,B,2,all,12146,1.4158508777618408,0.03548493331137823,0.2230227291584015
lebowski,B,2,straight,4365,1.4158508777618408,0.06162657502863689,0.24586603045463562
lebowski,B,2,ped_cyc_corridor,897,1.4158508777618408,0.021181716833890748,0.2086128294467926
lebowski,B,2,no ped_cyc,11249,1.4158508777618408,0.03662547782025069,0.22417311370372772
