scope,n,activation,lo,hi,delta_mag_median_m,model,arm,seed,stats,tau,null_ff_oos
straight_yaw,11597,0.037164783995861,0.030452158026946792,0.044874497315903684,0.26532530784606934,cinque,A,2,carla,1.6529502868652344,0.0485441201160866
pre_onset,1458,0.037037037037037035,0.01551917584659323,0.06258426367923157,0.2393815815448761,cinque,A,2,carla,1.6529502868652344,0.0485441201160866
all,19663,0.029039312414178915,0.024112865337821275,0.03426289180377649,0.20243790745735168,cinque,A,2,carla,1.6529502868652344,0.0485441201160866
Pedestrians,1831,0.016930638995084655,0.007560252788217281,0.028347522296093258,0.1693888008594513,cinque,A,2,carla,1.6529502868652344,0.0485441201160866
Cyclists,2830,0.024381625441696114,0.014040535782870312,0.03722444607921374,0.16216261684894562,cinque,A,2,carla,1.6529502868652344,0.0485441201160866
Cut_ins,885,0.011299435028248588,0.003194888178913738,0.0227021205241977,0.16844607889652252,cinque,A,2,carla,1.6529502868652344,0.0485441201160866
FOD,3561,0.02667789946644201,0.018221376121838457,0.03623816424659431,0.22114214301109314,cinque,A,2,carla,1.6529502868652344,0.0485441201160866
Intersections,4772,0.04316848281642917,0.030768989328311364,0.056804007535742905,0.2601388692855835,cinque,A,2,carla,1.6529502868652344,0.0485441201160866
straight_yaw,11597,0.023281883245666983,0.018110165370784442,0.02920358639145748,0.22157156467437744,cinque,A,2,wod-train,1.6529502868652344,0.0485441201160866
pre_onset,1458,0.029492455418381344,0.011323107500497942,0.05100377107364684,0.19655390083789825,cinque,A,2,wod-train,1.6529502868652344,0.0485441201160866
all,19663,0.018867924528301886,0.015108399760154635,0.0228304310994339,0.17188051342964172,cinque,A,2,wod-train,1.6529502868652344,0.0485441201160866
Pedestrians,1831,0.009830693610049153,0.0027100271002710027,0.019315736002408188,0.13771122694015503,cinque,A,2,wod-train,1.6529502868652344,0.0485441201160866
Cyclists,2830,0.01802120141342756,0.010048301313361555,0.027843513237422315,0.1432710587978363,cinque,A,2,wod-train,1.6529502868652344,0.0485441201160866
Cut_ins,885,0.006779661016949152,0.0,0.016069327698296575,0.15668562054634094,cinque,A,2,wod-train,1.6529502868652344,0.0485441201160866
FOD,3561,0.017130019657399607,0.010830249740918101,0.0244657363101633,0.1778709441423416,cinque,A,2,wod-train,1.6529502868652344,0.0485441201160866
Intersections,4772,0.026404023470243086,0.017342026042116786,0.03697335398628033,0.22050905227661133,cinque,A,2,wod-train,1.6529502868652344,0.0485441201160866
straight_yaw,11597,0.021557299301543504,0.016581451351091667,0.02728875470633874,0.2765255570411682,cinque,B,0,carla,1.3789513111114502,0.0502782241623294
pre_onset,1458,0.024691358024691357,0.011227088700772912,0.04232478349660915,0.2831403613090515,cinque,B,0,carla,1.3789513111114502,0.0502782241623294
all,19663,0.01790164267914357,0.01423542380423429,0.02193187361642035,0.254942387342453,cinque,B,0,carla,1.3789513111114502,0.0502782241623294
Pedestrians,1831,0.016930638995084655,0.007932559083484433,0.02811700779920028,0.23320534825325012,cinque,B,0,carla,1.3789513111114502,0.0502782241623294
Cyclists,2830,0.015547703180212015,0.008695501050309048,0.023673047121020873,0.2198706865310669,cinque,B,0,carla,1.3789513111114502,0.0502782241623294
Cut_ins,885,0.003389830508474576,0.0,0.007211538461538462,0.2191890925168991,cinque,B,0,carla,1.3789513111114502,0.0502782241623294
FOD,3561,0.011513619769727604,0.007342892705016546,0.016298217324182945,0.2677324712276459,cinque,B,0,carla,1.3789513111114502,0.0502782241623294
Intersections,4772,0.025356244761106456,0.015019570337976889,0.037594367092767485,0.28849756717681885,cinque,B,0,carla,1.3789513111114502,0.0502782241623294
straight_yaw,11597,0.023368112442873158,0.018249390902834034,0.02909935188459975,0.30503910779953003,cinque,B,0,wod-train,1.3789513111114502,0.0502782241623294
pre_onset,1458,0.02880658436213992,0.014593324717386566,0.04593268663199277,0.308915376663208,cinque,B,0,wod-train,1.3789513111114502,0.0502782241623294
all,19663,0.019935920256318976,0.016346970264263037,0.023890793713096516,0.28063639998435974,cinque,B,0,wod-train,1.3789513111114502,0.0502782241623294
Pedestrians,1831,0.019115237575095576,0.007526788381123059,0.034104888288588646,0.24334187805652618,cinque,B,0,wod-train,1.3789513111114502,0.0502782241623294
Cyclists,2830,0.0215547703180212,0.01230661040787623,0.0328380415581793,0.24481436610221863,cinque,B,0,wod-train,1.3789513111114502,0.0502782241623294
Cut_ins,885,0.004519774011299435,0.0,0.009978103905244477,0.2530670464038849,cinque,B,0,wod-train,1.3789513111114502,0.0502782241623294
FOD,3561,0.014040999719180006,0.009327303561334087,0.01931273968191473,0.2808855175971985,cinque,B,0,wod-train,1.3789513111114502,0.0502782241623294
Intersections,4772,0.025984911986588432,0.01646854041487476,0.03702132501247683,0.31067967414855957,cinque,B,0,wod-train,1.3789513111114502,0.0502782241623294
straight_yaw,11597,0.021815986893162026,0.016797183989963063,0.027775477316269805,0.27579933404922485,cinque,B,1,carla,1.4119889736175537,0.0512484110042453
pre_onset,1458,0.023319615912208505,0.011283497884344146,0.03770848440899202,0.31566882133483887,cinque,B,1,carla,1.4119889736175537,0.0512484110042453
all,19663,0.018562782891725575,0.014842100956364387,0.02262922928038853,0.2637627124786377,cinque,B,1,carla,1.4119889736175537,0.0512484110042453
Pedestrians,1831,0.015838339705079193,0.007242261193483635,0.02702702702702703,0.245160773396492,cinque,B,1,carla,1.4119889736175537,0.0512484110042453
Cyclists,2830,0.01519434628975265,0.008547008547008548,0.023333420411006618,0.2323032021522522,cinque,B,1,carla,1.4119889736175537,0.0512484110042453
Cut_ins,885,0.004519774011299435,0.0,0.010321100917431193,0.22491535544395447,cinque,B,1,carla,1.4119889736175537,0.0512484110042453
FOD,3561,0.015445099691098006,0.00925389108750753,0.02245092790541155,0.2726632058620453,cinque,B,1,carla,1.4119889736175537,0.0512484110042453
Intersections,4772,0.026823134953897737,0.016122347200130532,0.03962738422331063,0.29141128063201904,cinque,B,1,carla,1.4119889736175537,0.0512484110042453
straight_yaw,11597,0.023368112442873158,0.018254033938403972,0.029419355955195427,0.30665355920791626,cinque,B,1,wod-train,1.4119889736175537,0.0512484110042453
pre_onset,1458,0.025377229080932786,0.013582898650289528,0.0391279283599176,0.30925312638282776,cinque,B,1,wod-train,1.4119889736175537,0.0512484110042453
all,19663,0.019478207801454508,0.015955823623864235,0.023294732919113537,0.2862809896469116,cinque,B,1,wod-train,1.4119889736175537,0.0512484110042453
Pedestrians,1831,0.019115237575095576,0.008735812348249909,0.03205128205128205,0.2644786834716797,cinque,B,1,wod-train,1.4119889736175537,0.0512484110042453
Cyclists,2830,0.02120141342756184,0.013138612376552847,0.030497074103260066,0.262906014919281,cinque,B,1,wod-train,1.4119889736175537,0.0512484110042453
Cut_ins,885,0.004519774011299435,0.0,0.010078669924022914,0.2772041857242584,cinque,B,1,wod-train,1.4119889736175537,0.0512484110042453
FOD,3561,0.013198539736029205,0.008073747943843539,0.01901565995525727,0.2705342471599579,cinque,B,1,wod-train,1.4119889736175537,0.0512484110042453
Intersections,4772,0.027242246437552388,0.01756587202007528,0.03876651916776951,0.31469911336898804,cinque,B,1,wod-train,1.4119889736175537,0.0512484110042453
straight_yaw,11597,0.021643528498749676,0.016684766702864846,0.027602423293234025,0.28218013048171997,cinque,B,2,carla,1.46044260263443,0.0490138232636973
pre_onset,1458,0.029492455418381344,0.014256582853443233,0.04775101527799338,0.30965369939804077,cinque,B,2,carla,1.46044260263443,0.0490138232636973
all,19663,0.018817067588872503,0.015140982295366671,0.02289235015565442,0.26294466853141785,cinque,B,2,carla,1.46044260263443,0.0490138232636973
Pedestrians,1831,0.016930638995084655,0.00739156853309808,0.02942884267772911,0.2395513951778412,cinque,B,2,carla,1.46044260263443,0.0490138232636973
Cyclists,2830,0.01696113074204947,0.00992122889222839,0.025183762795996205,0.22486823797225952,cinque,B,2,carla,1.46044260263443,0.0490138232636973
Cut_ins,885,0.004519774011299435,0.0,0.010285714285714285,0.23408512771129608,cinque,B,2,carla,1.46044260263443,0.0490138232636973
FOD,3561,0.014321819713563605,0.008826753675178881,0.02046394692962511,0.2732922434806824,cinque,B,2,carla,1.46044260263443,0.0490138232636973
Intersections,4772,0.028080469404861693,0.017517800268890014,0.04075388879879284,0.2944949269294739,cinque,B,2,carla,1.46044260263443,0.0490138232636973
straight_yaw,11597,0.01974648616021385,0.015110276811543805,0.025172458848972727,0.3000955283641815,cinque,B,2,wod-train,1.46044260263443,0.0490138232636973
pre_onset,1458,0.03017832647462277,0.015463744318811663,0.04791309357265956,0.29765456914901733,cinque,B,2,wod-train,1.46044260263443,0.0490138232636973
all,19663,0.016884503890555867,0.013644625373820893,0.020429060972111567,0.27254122495651245,cinque,B,2,wod-train,1.46044260263443,0.0490138232636973
Pedestrians,1831,0.019115237575095576,0.007604285117799652,0.033986416134816726,0.25654393434524536,cinque,B,2,wod-train,1.46044260263443,0.0490138232636973
Cyclists,2830,0.019081272084805655,0.012119058043409157,0.02719608318830279,0.24401161074638367,cinque,B,2,wod-train,1.46044260263443,0.0490138232636973
Cut_ins,885,0.004519774011299435,0.0,0.01020408163265306,0.26432520151138306,cinque,B,2,wod-train,1.46044260263443,0.0490138232636973
FOD,3561,0.013760179724796406,0.008948545861297539,0.019640509926239575,0.2698357105255127,cinque,B,2,wod-train,1.46044260263443,0.0490138232636973
Intersections,4772,0.022212908633696564,0.013125987986594822,0.03310433982285207,0.2967185080051422,cinque,B,2,wod-train,1.46044260263443,0.0490138232636973
straight_yaw,11597,0.027852030697594204,0.02148483589353154,0.03490545082768541,0.3498036861419678,lebowski,A,0,carla,1.4076549708843231,0.0511348827540994
pre_onset,1458,0.009602194787379973,0.002064552028534436,0.0193135638904439,0.1909530907869339,lebowski,A,0,carla,1.4076549708843231,0.0511348827540994
all,19663,0.019223923104307584,0.015111165248793338,0.023683599007550148,0.27328214049339294,lebowski,A,0,carla,1.4076549708843231,0.0511348827540994
Pedestrians,1831,0.012561441835062807,0.0049995847176079735,0.021533689872922392,0.23498117923736572,lebowski,A,0,carla,1.4076549708843231,0.0511348827540994
Cyclists,2830,0.01625441696113074,0.006798096532970768,0.029729461867566802,0.20996609330177307,lebowski,A,0,carla,1.4076549708843231,0.0511348827540994
Cut_ins,885,0.013559322033898305,0.002205071664829107,0.03142552807861306,0.25208061933517456,lebowski,A,0,carla,1.4076549708843231,0.0511348827540994
FOD,3561,0.02667789946644201,0.014382579760089336,0.04169087952446801,0.27762287855148315,lebowski,A,0,carla,1.4076549708843231,0.0511348827540994
Intersections,4772,0.022212908633696564,0.014267983566390967,0.031165674134716312,0.30111411213874817,lebowski,A,0,carla,1.4076549708843231,0.0511348827540994
straight_yaw,11597,0.016642235060791585,0.012064664218320994,0.021650405437627737,0.21405640244483948,lebowski,A,0,wod-train,1.4076549708843231,0.0511348827540994
pre_onset,1458,0.0075445816186556925,0.0020242914979757085,0.015228702673631318,0.14506147801876068,lebowski,A,0,wod-train,1.4076549708843231,0.0511348827540994
all,19663,0.011239383613894116,0.008338856123152697,0.014324194999105496,0.1633930504322052,lebowski,A,0,wod-train,1.4076549708843231,0.0511348827540994
Pedestrians,1831,0.0070999453850355,0.002233358010289543,0.013158414948811134,0.14027921855449677,lebowski,A,0,wod-train,1.4076549708843231,0.0511348827540994
Cyclists,2830,0.012720848056537103,0.005443895959442184,0.021631205673758865,0.13595712184906006,lebowski,A,0,wod-train,1.4076549708843231,0.0511348827540994
Cut_ins,885,0.004519774011299435,0.0,0.011037527593818985,0.14741891622543335,lebowski,A,0,wod-train,1.4076549708843231,0.0511348827540994
FOD,3561,0.012636899747262006,0.005758696232466192,0.02151770614133417,0.16634254157543182,lebowski,A,0,wod-train,1.4076549708843231,0.0511348827540994
Intersections,4772,0.014668901927912825,0.008752172590790443,0.021686746987951807,0.18279454112052917,lebowski,A,0,wod-train,1.4076549708843231,0.0511348827540994
straight_yaw,11597,0.02836940588083125,0.021950118103566285,0.03550172912684055,0.3486880958080292,lebowski,A,1,carla,1.428723305463791,0.050789101287986
pre_onset,1458,0.008916323731138546,0.001921752811087391,0.018336752316989835,0.1870810091495514,lebowski,A,1,carla,1.428723305463791,0.050789101287986
all,19663,0.019478207801454508,0.015292334718153892,0.02399157443749865,0.27828431129455566,lebowski,A,1,carla,1.428723305463791,0.050789101287986
Pedestrians,1831,0.012561441835062807,0.005094077920327645,0.021533776071009984,0.2310967892408371,lebowski,A,1,carla,1.428723305463791,0.050789101287986
Cyclists,2830,0.01696113074204947,0.007266395137358805,0.03116091467201237,0.21464622020721436,lebowski,A,1,carla,1.428723305463791,0.050789101287986
Cut_ins,885,0.011299435028248588,0.002205071664829107,0.02436505270773046,0.24852685630321503,lebowski,A,1,carla,1.428723305463791,0.050789101287986
FOD,3561,0.02583543948329121,0.014031636441166881,0.04041538029750211,0.2834973931312561,lebowski,A,1,carla,1.428723305463791,0.050789101287986
Intersections,4772,0.02305113160100587,0.014955290455520017,0.032434767780562,0.30631524324417114,lebowski,A,1,carla,1.428723305463791,0.050789101287986
straight_yaw,11597,0.01698715184961628,0.012398443396582349,0.021942755785364185,0.21444156765937805,lebowski,A,1,wod-train,1.428723305463791,0.050789101287986
pre_onset,1458,0.006172839506172839,0.0013440634545809052,0.013473154768629855,0.14375446736812592,lebowski,A,1,wod-train,1.428723305463791,0.050789101287986
all,19663,0.011341097492752887,0.008493406237186547,0.014406288602897721,0.165292888879776,lebowski,A,1,wod-train,1.428723305463791,0.050789101287986
Pedestrians,1831,0.008192244675040962,0.0022495610651024206,0.01571532522620899,0.1409805715084076,lebowski,A,1,wod-train,1.428723305463791,0.050789101287986
Cyclists,2830,0.012367491166077738,0.005657458993844521,0.020622160083886752,0.1383015364408493,lebowski,A,1,wod-train,1.428723305463791,0.050789101287986
Cut_ins,885,0.004519774011299435,0.0,0.009934049248106543,0.14928990602493286,lebowski,A,1,wod-train,1.428723305463791,0.050789101287986
FOD,3561,0.011794439764111205,0.005200357801914971,0.020500966653834066,0.16495350003242493,lebowski,A,1,wod-train,1.428723305463791,0.050789101287986
Intersections,4772,0.01592623637887678,0.009559497500941795,0.02329133967796857,0.1861618310213089,lebowski,A,1,wod-train,1.428723305463791,0.050789101287986
straight_yaw,11597,0.02992153143054238,0.02328270054786844,0.037290148343584115,0.35343945026397705,lebowski,A,2,carla,1.4004497528076172,0.0491117613668161
pre_onset,1458,0.009602194787379973,0.0022205362891393183,0.01916269667609185,0.2093612551689148,lebowski,A,2,carla,1.4004497528076172,0.0491117613668161
all,19663,0.020444489650612827,0.016216712173765233,0.02503283246195459,0.2726369798183441,lebowski,A,2,carla,1.4004497528076172,0.0491117613668161
Pedestrians,1831,0.013653741125068269,0.005630472288936855,0.023072261122437786,0.23230735957622528,lebowski,A,2,carla,1.4004497528076172,0.0491117613668161
Cyclists,2830,0.01872791519434629,0.008577425776548507,0.03335751208428055,0.21866154670715332,lebowski,A,2,carla,1.4004497528076172,0.0491117613668161
Cut_ins,885,0.007909604519774011,0.0011248593925759281,0.016706443914081145,0.2382090985774994,lebowski,A,2,carla,1.4004497528076172,0.0491117613668161
FOD,3561,0.02808199943836001,0.015901023108653545,0.04307023193472324,0.28298649191856384,lebowski,A,2,carla,1.4004497528076172,0.0491117613668161
Intersections,4772,0.02451802179379715,0.01624175182993891,0.03409572443664007,0.2995695471763611,lebowski,A,2,carla,1.4004497528076172,0.0491117613668161
straight_yaw,11597,0.017935673018884195,0.013262792792548847,0.023072028998885764,0.22478199005126953,lebowski,A,2,wod-train,1.4004497528076172,0.0491117613668161
pre_onset,1458,0.0075445816186556925,0.001518316788343722,0.015561569688768605,0.16196292638778687,lebowski,A,2,wod-train,1.4004497528076172,0.0491117613668161
all,19663,0.012053094644764279,0.009110619325386902,0.01517397874669244,0.17123113572597504,lebowski,A,2,wod-train,1.4004497528076172,0.0491117613668161
Pedestrians,1831,0.008738394320043691,0.0027609055770292656,0.015883145891242303,0.14379644393920898,lebowski,A,2,wod-train,1.4004497528076172,0.0491117613668161
Cyclists,2830,0.012720848056537103,0.005890952433666127,0.021033977717499406,0.1461891531944275,lebowski,A,2,wod-train,1.4004497528076172,0.0491117613668161
Cut_ins,885,0.003389830508474576,0.0,0.008529012203807912,0.15722551941871643,lebowski,A,2,wod-train,1.4004497528076172,0.0491117613668161
FOD,3561,0.013198539736029205,0.0060745732975395605,0.022505533620118236,0.17559003829956055,lebowski,A,2,wod-train,1.4004497528076172,0.0491117613668161
Intersections,4772,0.01655490360435876,0.010146998824608195,0.023976886571109104,0.1866181194782257,lebowski,A,2,wod-train,1.4004497528076172,0.0491117613668161
straight_yaw,11597,0.01715961024402863,0.012948597113749065,0.02173035225709269,0.3268792927265167,lebowski,B,0,carla,1.3638728857040403,0.0505620447876941
pre_onset,1458,0.00411522633744856,0.0006531678641410843,0.009648518263266712,0.3201691508293152,lebowski,B,0,carla,1.3638728857040403,0.0505620447876941
all,19663,0.01235823628134059,0.009471274856351432,0.015457638396939736,0.29440978169441223,lebowski,B,0,carla,1.3638728857040403,0.0505620447876941
Pedestrians,1831,0.005461496450027308,0.0005763522851516162,0.013092040240173838,0.25219789147377014,lebowski,B,0,carla,1.3638728857040403,0.0505620447876941
Cyclists,2830,0.010954063604240283,0.004336748577982028,0.01943260542582768,0.24272820353507996,lebowski,B,0,carla,1.3638728857040403,0.0505620447876941
Cut_ins,885,0.007909604519774011,0.0011324708034620766,0.016667661097852015,0.2409174144268036,lebowski,B,0,carla,1.3638728857040403,0.0505620447876941
FOD,3561,0.016287559674248806,0.00848838329883199,0.025685945410521674,0.3119122385978699,lebowski,B,0,carla,1.3638728857040403,0.0505620447876941
Intersections,4772,0.014668901927912825,0.008999575809166773,0.021262611182923028,0.33348292112350464,lebowski,B,0,carla,1.3638728857040403,0.0505620447876941
straight_yaw,11597,0.02690350952832629,0.02136900815868313,0.03306928062483668,0.3068503737449646,lebowski,B,0,wod-train,1.3638728857040403,0.0505620447876941
pre_onset,1458,0.00823045267489712,0.002236763609246831,0.016260162601626018,0.30975550413131714,lebowski,B,0,wod-train,1.3638728857040403,0.0505620447876941
all,19663,0.01820678431571988,0.01461444026633783,0.02200010976668198,0.2673230767250061,lebowski,B,0,wod-train,1.3638728857040403,0.0505620447876941
Pedestrians,1831,0.009830693610049153,0.0036363085733164473,0.01738672286617492,0.22122924029827118,lebowski,B,0,wod-train,1.3638728857040403,0.0505620447876941
Cyclists,2830,0.0215547703180212,0.012099536518329745,0.03282226929798627,0.23305320739746094,lebowski,B,0,wod-train,1.3638728857040403,0.0505620447876941
Cut_ins,885,0.020338983050847456,0.006607747779183205,0.037037037037037035,0.24104058742523193,lebowski,B,0,wod-train,1.3638728857040403,0.0505620447876941
FOD,3561,0.014040999719180006,0.008026570716855799,0.020973470729679526,0.2792228162288666,lebowski,B,0,wod-train,1.3638728857040403,0.0505620447876941
Intersections,4772,0.02347024308466052,0.014642777482763355,0.03399960894631851,0.29398709535598755,lebowski,B,0,wod-train,1.3638728857040403,0.0505620447876941
straight_yaw,11597,0.01715961024402863,0.013273779170801081,0.021367142669692203,0.34177714586257935,lebowski,B,1,carla,1.4359509348869324,0.0503245948560509
pre_onset,1458,0.0027434842249657062,0.0,0.007962840079628402,0.3603062629699707,lebowski,B,1,carla,1.4359509348869324,0.0503245948560509
all,19663,0.01235823628134059,0.009628529253186368,0.01522537359642844,0.32804179191589355,lebowski,B,1,carla,1.4359509348869324,0.0503245948560509
Pedestrians,1831,0.0070999453850355,0.0018370253946342026,0.014172357919545771,0.3035190999507904,lebowski,B,1,carla,1.4359509348869324,0.0503245948560509
Cyclists,2830,0.012367491166077738,0.006013858602935707,0.020152029450764414,0.2754838466644287,lebowski,B,1,carla,1.4359509348869324,0.0503245948560509
Cut_ins,885,0.007909604519774011,0.0,0.01835902749401669,0.2556591033935547,lebowski,B,1,carla,1.4359509348869324,0.0503245948560509
FOD,3561,0.014040999719180006,0.007993378883621883,0.02102878301702304,0.34571415185928345,lebowski,B,1,carla,1.4359509348869324,0.0503245948560509
Intersections,4772,0.016345347862531435,0.0098855214425277,0.023739662888553767,0.3643363416194916,lebowski,B,1,carla,1.4359509348869324,0.0503245948560509
straight_yaw,11597,0.027679572303181858,0.021944097656453634,0.03396957344083233,0.31060731410980225,lebowski,B,1,wod-train,1.4359509348869324,0.0503245948560509
pre_onset,1458,0.0075445816186556925,0.0013726600593323183,0.016021804060458104,0.3406929075717926,lebowski,B,1,wod-train,1.4359509348869324,0.0503245948560509
all,19663,0.018461069012866805,0.014840522879868503,0.022280639305526838,0.2850213050842285,lebowski,B,1,wod-train,1.4359509348869324,0.0503245948560509
Pedestrians,1831,0.010922992900054615,0.004522265124731327,0.01866519607843137,0.24520830810070038,lebowski,B,1,wod-train,1.4359509348869324,0.0503245948560509
Cyclists,2830,0.02120141342756184,0.012286035594262027,0.031694196201602055,0.24696636199951172,lebowski,B,1,wod-train,1.4359509348869324,0.0503245948560509
Cut_ins,885,0.015819209039548022,0.0035627342932084524,0.03121516164994426,0.25526803731918335,lebowski,B,1,wod-train,1.4359509348869324,0.0503245948560509
FOD,3561,0.014321819713563605,0.008645513050270746,0.02078414328237684,0.29593005776405334,lebowski,B,1,wod-train,1.4359509348869324,0.0503245948560509
Intersections,4772,0.025356244761106456,0.015643983792480817,0.03695010576592445,0.30778735876083374,lebowski,B,1,wod-train,1.4359509348869324,0.0503245948560509
straight_yaw,11597,0.016728464257997757,0.012662499309709693,0.021173517073983905,0.3281230926513672,lebowski,B,2,carla,1.4158508777618408,0.0496278352081484
pre_onset,1458,0.00411522633744856,0.0,0.010156003774161933,0.33063721656799316,lebowski,B,2,carla,1.4158508777618408,0.0496278352081484
all,19663,0.011595382189899812,0.008838207909083007,0.014505251479122676,0.3083324432373047,lebowski,B,2,carla,1.4158508777618408,0.0496278352081484
Pedestrians,1831,0.004915346805024577,0.0005154639175257732,0.012532672647462667,0.27108997106552124,lebowski,B,2,carla,1.4158508777618408,0.0496278352081484
Cyclists,2830,0.011307420494699646,0.004535859511942546,0.019520749734790826,0.2657604217529297,lebowski,B,2,carla,1.4158508777618408,0.0496278352081484
Cut_ins,885,0.007909604519774011,0.0,0.01835902749401669,0.2623692452907562,lebowski,B,2,carla,1.4158508777618408,0.0496278352081484
FOD,3561,0.012075259758494805,0.006743467266085979,0.018229166666666668,0.32773610949516296,lebowski,B,2,carla,1.4158508777618408,0.0496278352081484
Intersections,4772,0.01655490360435876,0.0096979988596665,0.02447707675039745,0.3355874717235565,lebowski,B,2,carla,1.4158508777618408,0.0496278352081484
straight_yaw,11597,0.025696300767439856,0.020189851594072356,0.03169485412319626,0.3158392906188965,lebowski,B,2,wod-train,1.4158508777618408,0.0496278352081484
pre_onset,1458,0.00823045267489712,0.00264022048642859,0.016224263583981043,0.32886335253715515,lebowski,B,2,wod-train,1.4158508777618408,0.0496278352081484
all,19663,0.01769821492142603,0.014175295557699997,0.02137678488475183,0.2794927954673767,lebowski,B,2,wod-train,1.4158508777618408,0.0496278352081484
