scope,n,activation,lo,hi,delta_mag_median_m,model,arm,seed,stats,tau,null_ff_oos
straight_yaw,11597,0.041821160644994394,0.0350303033451239,0.049372190534499816,0.2842257618904114,cinque,A,0,carla,1.5485117435455322,0.0514910576515642
pre_onset,1458,0.03223593964334705,0.015429509197810465,0.05165289256198347,0.20920147001743317,cinque,A,0,carla,1.5485117435455322,0.0514910576515642
all,19663,0.03219244265880079,0.02724126136643021,0.037289287857108944,0.20671674609184265,cinque,A,0,carla,1.5485117435455322,0.0514910576515642
Pedestrians,1831,0.022938285090114693,0.012121138677125104,0.035489410417859184,0.17475733160972595,cinque,A,0,carla,1.5485117435455322,0.0514910576515642
Cyclists,2830,0.029328621908127208,0.0184658833766704,0.04227988152874826,0.16078293323516846,cinque,A,0,carla,1.5485117435455322,0.0514910576515642
Cut_ins,885,0.013559322033898305,0.006263048016701462,0.023114531032445887,0.1748974323272705,cinque,A,0,carla,1.5485117435455322,0.0514910576515642
FOD,3561,0.027520359449592812,0.019638993012575157,0.036400253357458355,0.23100319504737854,cinque,A,0,carla,1.5485117435455322,0.0514910576515642
Intersections,4772,0.04526404023470243,0.03363658861477819,0.05779214715154716,0.26373934745788574,cinque,A,0,carla,1.5485117435455322,0.0514910576515642
straight_yaw,11597,0.026989738725532467,0.021696747866899856,0.033084872321401046,0.22656698524951935,cinque,A,0,wod-train,1.5485117435455322,0.0514910576515642
pre_onset,1458,0.025377229080932786,0.01027390978803807,0.04285714285714286,0.1679219901561737,cinque,A,0,wod-train,1.5485117435455322,0.0514910576515642
all,19663,0.021410771499771143,0.017664701455338275,0.025382782647137177,0.17100152373313904,cinque,A,0,wod-train,1.5485117435455322,0.0514910576515642
Pedestrians,1831,0.013653741125068269,0.0038646943084749016,0.026929128104621138,0.13897749781608582,cinque,A,0,wod-train,1.5485117435455322,0.0514910576515642
Cyclists,2830,0.02120141342756184,0.012367394796016704,0.03171774768353528,0.1415885090827942,cinque,A,0,wod-train,1.5485117435455322,0.0514910576515642
Cut_ins,885,0.007909604519774011,0.0011012912965305342,0.017284284284284277,0.14938952028751373,cinque,A,0,wod-train,1.5485117435455322,0.0514910576515642
FOD,3561,0.018814939623701208,0.012467331652596723,0.026012504369656544,0.18029414117336273,cinque,A,0,wod-train,1.5485117435455322,0.0514910576515642
Intersections,4772,0.030176026823134954,0.020884660384511672,0.04046509753988816,0.22158463299274445,cinque,A,0,wod-train,1.5485117435455322,0.0514910576515642
straight_yaw,11597,0.041131327067345,0.034435187999702584,0.04867644015016071,0.27852603793144226,cinque,A,1,carla,1.563609778881073,0.0511452761854508
pre_onset,1458,0.03772290809327846,0.017686724174205765,0.0610305908474158,0.2057723104953766,cinque,A,1,carla,1.563609778881073,0.0511452761854508
all,19663,0.03193815796165387,0.026932636464666915,0.03700701015153916,0.19716785848140717,cinque,A,1,carla,1.563609778881073,0.0511452761854508
Pedestrians,1831,0.02075368651010377,0.0103367784474471,0.032701161967253436,0.16220389306545258,cinque,A,1,carla,1.563609778881073,0.0511452761854508
Cyclists,2830,0.02756183745583039,0.016578477397442917,0.04082370618735251,0.15522417426109314,cinque,A,1,carla,1.563609778881073,0.0511452761854508
Cut_ins,885,0.01694915254237288,0.007423117709437964,0.030712530712530713,0.16791287064552307,cinque,A,1,carla,1.563609778881073,0.0511452761854508
FOD,3561,0.029205279415894413,0.020707488605011364,0.03865572261962636,0.2225920706987381,cinque,A,1,carla,1.563609778881073,0.0511452761854508
Intersections,4772,0.04358759430008382,0.03212026860483952,0.05628186738254021,0.2556994557380676,cinque,A,1,carla,1.563609778881073,0.0511452761854508
straight_yaw,11597,0.024230404414934896,0.01942762690749347,0.029621851208391274,0.21787357330322266,cinque,A,1,wod-train,1.563609778881073,0.0511452761854508
pre_onset,1458,0.028120713305898493,0.010939433965749755,0.04878090688123376,0.17040708661079407,cinque,A,1,wod-train,1.563609778881073,0.0511452761854508
all,19663,0.019579921680313278,0.016058862817269783,0.023273355715675702,0.1617688685655594,cinque,A,1,wod-train,1.563609778881073,0.0511452761854508
Pedestrians,1831,0.014199890770071,0.004840987874786158,0.02648000866497493,0.126304492354393,cinque,A,1,wod-train,1.563609778881073,0.0511452761854508
Cyclists,2830,0.019081272084805655,0.01090771548227767,0.0287874536046836,0.12797953188419342,cinque,A,1,wod-train,1.563609778881073,0.0511452761854508
Cut_ins,885,0.007909604519774011,0.0020920502092050207,0.016949666153055976,0.1390042006969452,cinque,A,1,wod-train,1.563609778881073,0.0511452761854508
FOD,3561,0.015445099691098006,0.009743831405032514,0.021764655821031924,0.1745084971189499,cinque,A,1,wod-train,1.563609778881073,0.0511452761854508
Intersections,4772,0.027661357921207042,0.019307389386088232,0.03688956172701387,0.20693323016166687,cinque,A,1,wod-train,1.563609778881073,0.0511452761854508
