model,arm,seed,cell,wod_rfs_all,wod_rfs_all_lo,wod_rfs_all_hi,wod_rfs_ped,wod_rfs_ped_lo,wod_rfs_ped_hi,wod_act_straight,nav_pdms_all,nav_pdms_all_lo,nav_pdms_all_hi,nav_pdms_ped,nav_pdms_ped_lo,nav_pdms_ped_hi,nav_act_straight
cinque,A,0,harmful,-0.1113052100197062,-0.1972655738681169,-0.0315441217840935,-0.166711876550436,-0.5072758172501769,0.1235616191432222,0.0418211606449943,-1.2951006284425202,-1.5509442741514774,-1.044723450270321,-1.2971953812784254,-2.173115252115031,-0.486624344445977,0.0142038946162657
cinque,A,1,harmful,-0.107336499414752,-0.1944364898150468,-0.0269850554817951,-0.1720404642553708,-0.5157654144030729,0.1311694700572611,0.041131327067345,-1.1690429202501798,-1.4191302633736258,-0.9230437955851998,-1.5093314066963543,-2.402383979351387,-0.6489474324443186,0.0121420389461626
cinque,A,2,harmful,-0.0895900678868655,-0.1690557964464276,-0.0131313127929214,-0.0973672929700128,-0.4339444840167666,0.2086166838412971,0.037164783995861,-1.0969911197364346,-1.343321110516286,-0.8636829197697115,-1.3565744946357716,-2.22670280379728,-0.518056131833792,0.0107674684994272
cinque,B,0,harmful,-0.0291344115734092,-0.1104089383948082,0.051689014379014,-0.0250894885788864,-0.3252222200403994,0.2595663186885057,0.0215572993015435,-1.9275630362764544,-2.234282574397516,-1.62555459634022,-2.312870516480528,-3.263691376002157,-1.4061410384843172,0.0119129438717067
cinque,B,1,harmful,-0.0426259296103215,-0.129766432750275,0.0432937651708784,-0.0208541210094588,-0.3084069737787481,0.2680347260051818,0.021815986893162,-1.7687617850105974,-2.070821021701967,-1.4693284088928982,-2.286090928648313,-3.301015881488002,-1.3239468023821068,0.0100801832760595
cinque,B,2,harmful,-0.0479395217287431,-0.1251557195105885,0.0284724402783873,-0.013314474254422,-0.2776387475990957,0.2605133490331557,0.0216435284987496,-1.7881541001538044,-2.087083054396218,-1.500440612667827,-1.8654680486125856,-2.808483430868397,-0.97383594368951,0.0103092783505154
lebowski,A,0,harmful,-0.0530586938566069,-0.1151953474330251,0.007368771260027,0.0988941860170349,-0.0531056066025568,0.3228591190771849,0.0278520306975942,-1.9987809814794195,-2.2656700694716867,-1.738489258601812,-1.6954715534007836,-2.65563914167558,-0.7544699516912907,0.0290950744558992
lebowski,A,1,harmful,-0.0559649687852354,-0.1151853866411674,0.0014859140020145,0.0640677835810872,-0.0644147825220252,0.2371666297629655,0.0283694058808312,-2.1741679617383665,-2.447725602202956,-1.9070866016750871,-1.736329725593283,-2.7088674767867933,-0.780791558386633,0.0394043528064146
lebowski,A,2,harmful,-0.0447328468025757,-0.1065880720485982,0.0157948586104775,0.097826274914006,-0.0425437042587354,0.299718220899319,0.0299215314305423,-2.343905472846902,-2.6240391236477167,-2.0571426038191447,-2.242434846834625,-3.367836589908619,-1.170255426489108,0.0414662084765177
lebowski,B,0,harmful,0.0185870280649302,-0.0520083982687025,0.0867067859818798,0.1043556409471727,-0.0828646580086182,0.2953560917781755,0.0171596102440286,-2.7320983887368566,-3.081158627279766,-2.3897995932517704,-1.5900436148378272,-2.9522556846603774,-0.2691996663843128,0.0627720504009163
lebowski,B,1,harmful,-0.0020080403659373,-0.0832250015258703,0.0762713327582847,0.0657658568694165,-0.156702268624435,0.2780709454620845,0.0171596102440286,-2.286895122926813,-2.630299365579546,-1.9432905214366032,-0.8122938377180174,-2.2622736649558326,0.6069940671527133,0.0485681557846506
lebowski,B,2,harmful,0.0007696288329621,-0.0698676877033591,0.070254773783738,0.0818689454728758,-0.0921092275486068,0.2605934133298965,0.0167284642579977,-2.4954461690868577,-2.845346307200385,-2.1503686842833853,-1.3734722470662617,-2.767078113348794,0.0201304562446592,0.0616265750286368
