scope,judge,n,delta,lo,hi,model,arm,seed,stats
Cyclists,ADE pre_onset dec1-9,206,0.16317519545555115,-0.05016645055678418,0.45549137461482525,lebowski,A,0,carla
Cut_ins,RFS (rater),20,-0.14763165493584038,-0.3577142886771023,0.014005812974303256,lebowski,A,0,carla
Cut_ins,ADE dec1-9,724,0.17596378922462463,0.08686048605053573,0.2836107257610709,lebowski,A,0,carla
Cut_ins,ADE pre_onset dec1-9,16,0.1458258330821991,-0.19245718825947156,0.5738791016971364,lebowski,A,0,carla
FOD,RFS (rater),78,-0.20294251396675483,-0.41505045663218737,-0.012489047050206236,lebowski,A,0,carla
FOD,ADE dec1-9,3175,0.23754651844501495,0.16824078386921157,0.31844057457153074,lebowski,A,0,carla
FOD,ADE pre_onset dec1-9,252,0.05973181501030922,0.005982596076784017,0.1204614000758042,lebowski,A,0,carla
Intersections,RFS (rater),116,0.027747224912019405,-0.10485897750147123,0.14624665721598837,lebowski,A,0,carla
Intersections,ADE dec1-9,4299,0.2796405553817749,0.2241880551439126,0.3399064765031669,lebowski,A,0,carla
Intersections,ADE pre_onset dec1-9,301,0.06784770637750626,-0.029239342938624804,0.20118548034306116,lebowski,A,0,carla
all,RFS (rater),478,-0.030244864587507223,-0.08318545385391386,0.018462141573471133,lebowski,A,0,wod-train
all,ADE dec1-9,17389,0.13173668086528778,0.11371805204639526,0.14981375392327959,lebowski,A,0,wod-train
all,ADE pre_onset dec1-9,1245,0.09032659232616425,0.02848840747232364,0.1579251188563099,lebowski,A,0,wod-train
Pedestrians,RFS (rater),52,0.052261986335318505,-0.055616189573443386,0.19007122368430557,lebowski,A,0,wod-train
Pedestrians,ADE dec1-9,1637,0.0927974283695221,0.05405191121411688,0.13423287711325138,lebowski,A,0,wod-train
Pedestrians,ADE pre_onset dec1-9,83,-0.014262758195400238,-0.2918376987652951,0.20747030034790392,lebowski,A,0,wod-train
Cyclists,RFS (rater),71,0.018886783737435117,-0.048808076316634696,0.0917414257881454,lebowski,A,0,wod-train
