group,bin,n,opposite_n,opposite_rate,opposite_s_shape,opposite_c_near_zero,opposite_b_near_zero,opposite_b_plan_sign
all,all,1785,423,0.23697478991596638,130,65,179,362
speed,1-2,229,104,0.45414847161572053,31,8,41,99
speed,2-4,409,137,0.33496332518337407,63,22,52,112
speed,4-6,534,123,0.2303370786516854,24,19,56,100
speed,6-8,441,58,0.13151927437641722,11,15,29,51
speed,8+,172,1,0.005813953488372093,1,1,1,0
curvature,.03-.06,495,79,0.1595959595959596,33,9,21,55
curvature,.06-.12,848,185,0.21816037735849056,47,40,91,154
curvature,.12+,442,159,0.3597285067873303,50,16,67,153
dense,before 0-5,130,81,0.6230769230769231,0,9,39,81
dense,after 0-5,178,21,0.11797752808988764,0,3,1,21
dense,after 5-10,45,9,0.2,0,3,0,9
