source,subset,n,baseline_gap,b_mean_abs,c_mean_abs,c_plant_mean_abs,closed_gap,closed_fraction,b_closer_to_c_target,b_over_c_target,b_under_c_target,plan_mean_abs,b_closer_to_plan_target,b_under_plan_target
all,all_finite,1780,0.08385797022663247,0.22527085757196955,0.14141288734533708,0.16864626785846318,0.027233380513126078,0.3247560182952893,0.09662921348314607,0.4544943820224719,0.36741573033707864,0.3841734670777105,nan,nan
all,calibrated_feasible,1552,0.08782497571515545,0.22519964694295116,0.13737467122779573,0.15820451363981272,0.02082984241201703,0.23717447391701976,0.09213917525773196,0.4787371134020619,0.32603092783505155,0.3790968810138287,nan,nan
all,plan_feasible,1466,0.0904250105427493,0.2251447262661722,0.13471971572342292,0.15521919699250097,0.020499481269078104,0.22670145290596094,0.09754433833560709,0.49045020463847205,0.3042291950886767,0.3459837304917763,0.7517053206002728,0.7387448840381992
D3b,all_finite,187,0.16351633312048786,0.24916433066846852,0.08564799754798068,0.09584239015160738,0.01019439260362671,0.06234479705531874,0.0,0.6631016042780749,0.32620320855614976,0.486406568244448,0.9732620320855615,0.9518716577540107
D3b,calibrated_feasible,172,0.16566431135142815,0.2524987209674924,0.08683440961606426,0.0975170852536416,0.010682675637577348,0.06448386831437643,0.0,0.7093023255813954,0.27906976744186046,0.49459351041347743,0.9709302325581395,0.9709302325581395
D3b,plan_feasible,165,0.16417692312503904,0.2524680535450126,0.08829113041997357,0.09915633385374144,0.010865203433767867,0.06617984566255272,0.0,0.7090909090909091,0.2909090909090909,0.4801834475957776,0.9818181818181818,0.9696969696969697
W2,all_finite,1593,0.07450698851843976,0.2224660368129957,0.14795904829455594,0.17719261131808778,0.02923356302353184,0.392360013534795,0.10797237915881984,0.4300062774639046,0.37225360954174513,0.37215738290537875,nan,nan
W2,calibrated_feasible,1380,0.0781232614184606,0.22179715365873298,0.14367389224027238,0.1657684539893935,0.0220945617491211,0.2828166841470361,0.1036231884057971,0.45,0.3318840579710145,0.36469121005172594,nan,nan
W2,plan_feasible,1301,0.0810713859646726,0.22167943110782581,0.1406080451431532,0.16232939869726298,0.021721353554109764,0.26792873090358893,0.10991544965411222,0.46272098385857036,0.3059185242121445,0.3289637817429983,0.722521137586472,0.7094542659492697
