arm,source,speed_lo,speed_hi,n,runs,gain_command,gain_nom,gain_ack,ack_to_command,rmse_command
B,W2,2,4,314,28,0.8229370375406688,0.8229370375406688,0.9379367595112684,0.8777595188757512,0.02796891877543244
B,W2,4,6,423,33,0.8287768236038769,0.8287768236038769,0.9411419860638799,0.8811525459311698,0.02832929450427074
B,W2,6,8,366,33,0.7602546934572691,0.7602546934572691,0.8359692136531414,0.9117680744297019,0.03244052852773523
B,W2,8,12,152,15,0.8573274276707155,0.8573274276707155,0.9320593991316877,0.9203181281810323,0.015667074219619947
B,D3b,2,4,33,5,0.8799479253270104,0.8799479253270104,0.9799853626506675,0.8981172875551042,0.014396298373816332
B,D3b,4,6,52,6,0.8683969298484789,0.8683969298484789,0.9587701724632856,0.9051522779568766,0.015573386979644737
B,D3b,6,8,50,6,0.8613202698324771,0.8613202698324771,0.9493979407350415,0.9074560226318359,0.020202867657401043
B,D3b,8,12,12,2,0.817766595631417,0.817766595631417,0.9229453425656912,0.8860129217878532,0.029493800643956188
B,all,2,4,347,33,0.8274944555527363,0.8274944555527363,0.941437700383011,0.8793869073495545,0.026973630709168087
B,all,4,6,475,39,0.8318697082271006,0.8318697082271006,0.942585352482333,0.8830260492904373,0.027225753134711837
B,all,6,8,416,39,0.7811287503499552,0.7811287503499552,0.8592066240863788,0.9108774644140947,0.031224287931588185
B,all,8,12,164,17,0.8484667529042772,0.8484667529042772,0.9301368997458538,0.9126345871386308,0.017063030200244956
C,W2,2,4,219,27,0.7622735659737249,0.798241466363136,0.9574607642918609,0.7874766312442155,0.040278952155190284
C,W2,4,6,361,30,0.8439888445388611,0.8477681983951966,0.9617315861298281,0.8766710731510373,0.020511755906857772
C,W2,6,8,323,30,0.8579879355598978,0.8689338664673129,0.9555205142933767,0.8979834354164397,0.017183333559642553
C,W2,8,12,180,12,0.9359950799759362,0.9359853190045397,1.002163620810364,0.9344733595937362,0.017524298703718556
C,D3b,2,4,25,4,0.9198099556968286,0.9198105150305442,0.9393809995623847,0.9787111965956293,0.00585965657682612
C,D3b,4,6,67,5,0.7399013783392782,0.7423169439894572,0.7988599488335364,0.9127156242249072,0.022851878010659094
C,D3b,6,8,57,6,0.8450253189545338,0.8535871591269629,0.9491508888915541,0.8911113213379623,0.021135979762552395
C,all,2,4,244,31,0.7627237893314494,0.7986117701976952,0.9573854073992409,0.7880231606414986,0.038205799087314675
C,all,4,6,428,35,0.8398607788460583,0.8436118978413915,0.9547370461757355,0.8781005850810828,0.02089539238914476
C,all,6,8,380,36,0.8556196465165846,0.8661334381880406,0.9543788734065523,0.8967278901070367,0.017832171922317848
C,all,8,12,184,13,0.9338301306284467,0.9343051868239702,1.0001379337577425,0.9341982239198101,0.017557171181235454
D,W2,2,4,298,29,0.8365632919989306,0.751615521129939,0.94310355959378,0.869700315901534,0.05309617042904008
D,W2,4,6,335,30,0.9252874887287141,0.7883628762905474,0.9412219137228879,0.9798721219629147,0.019077176600321124
D,W2,6,8,343,28,0.9479262093441186,0.8425247781154059,0.9501472040739855,0.9978154643464595,0.01261521159581121
D,W2,8,12,139,9,0.9775247646099714,0.9215313922559384,0.9780131009191143,0.999538298488315,0.010925003025524476
D,all,2,4,298,29,0.8365632919989306,0.751615521129939,0.94310355959378,0.869700315901534,0.05309617042904008
D,all,4,6,335,30,0.9252874887287141,0.7883628762905474,0.9412219137228879,0.9798721219629147,0.019077176600321124
D,all,6,8,343,28,0.9479262093441186,0.8425247781154059,0.9501472040739855,0.9978154643464595,0.01261521159581121
D,all,8,12,139,9,0.9775247646099714,0.9215313922559384,0.9780131009191143,0.999538298488315,0.010925003025524476
