speed_lo,speed_hi,subset,n,runs,gain_c11,mean_abs_beta_deg,rmse_c11_deg,rmse_c1407_deg
2,4,active,1502,136,0.7042633409729402,0.4896148381457301,0.8518533161955397,0.8210018577164863
2,4,quasi_steady,261,73,0.8055989469248943,0.27213418851698257,0.2853760925999644,0.2669077153771877
4,6,active,1946,150,0.9006674138985157,1.1684548866844984,0.7455506741286625,0.7528258951617635
4,6,quasi_steady,369,92,0.9256072097677938,0.9162139000800273,0.5350040006419599,0.5575689757902346
6,8,active,1528,138,0.8956307925168144,1.9392959513033812,0.7275958834022133,0.7359977042292141
6,8,quasi_steady,295,81,0.9866569468225683,1.9629674241624429,0.47457055433627954,0.6700426026148855
8,12,active,757,65,0.7861551062396753,2.72993888433377,1.0321822955618256,0.6246171219355053
8,12,quasi_steady,281,46,0.8094564746462544,2.9224957748611393,0.8105700203704818,0.33373117471684627
