source,route,seed,arm,ticks,max_replay_diff
D3b,2084,0,B,538,nan
D3b,2084,0,C,411,7.271960811294775e-15
D3b,2084,0,E,636,nan
D3b,2084,0,F,3291,nan
D3b,2084,1,B,2955,nan
D3b,2084,1,C,471,1.4072076837123859e-14
D3b,2084,1,E,554,nan
D3b,2084,1,F,508,nan
D3b,2084,2,B,531,nan
D3b,2084,2,C,517,1.2212453270876722e-14
D3b,2084,2,E,4000,nan
D3b,2084,2,F,2398,nan
D3b,27529,0,B,546,nan
D3b,27529,0,C,465,4.318767565791859e-14
D3b,27529,0,E,699,nan
D3b,27529,0,F,1213,nan
D3b,27529,1,B,564,nan
D3b,27529,1,C,522,8.881784197001252e-16
D3b,27529,1,E,559,nan
D3b,27529,1,F,508,nan
D3b,27529,2,B,673,nan
D3b,27529,2,C,4000,2.2898349882893854e-15
D3b,27529,2,E,677,nan
D3b,27529,2,F,1263,nan
W2,17569,0,A,439,nan
W2,17569,0,A,444,nan
W2,17569,0,B,506,nan
W2,17569,0,C,435,4.440892098500626e-15
W2,17569,0,D,382,0.00043343215055197115
W2,17569,1,A,2341,nan
W2,17569,1,B,645,nan
W2,17569,1,C,411,2.2343238370581275e-15
W2,17569,1,D,390,0.0004580150922965376
W2,17569,2,A,558,nan
W2,17569,2,B,509,nan
W2,17569,2,C,425,3.3861802251067274e-15
W2,17569,2,D,419,0.00042090384650855794
W2,2050,0,A,256,nan
W2,2050,0,B,256,nan
W2,2050,0,C,299,1.27675647831893e-15
W2,2050,0,D,313,0.0006482833862743176
W2,2050,1,A,329,nan
W2,2050,1,B,258,nan
W2,2050,1,C,313,1.2212453270876722e-15
W2,2050,1,D,313,0.0005107161652763426
W2,2050,2,A,329,nan
W2,2050,2,B,266,nan
W2,2050,2,C,300,1.27675647831893e-15
W2,2050,2,D,343,0.000973388020916871
W2,2084,0,A,460,nan
W2,2084,0,B,580,nan
W2,2084,0,C,391,1.5692742244555191e-15
W2,2084,0,D,505,0.0006537315992287684
W2,2084,1,A,458,nan
W2,2084,1,B,636,nan
W2,2084,1,C,4000,7.299716386910404e-15
W2,2084,1,D,315,0.0006754662342846329
W2,2084,2,A,460,nan
W2,2084,2,B,557,nan
W2,2084,2,C,519,9.880984919163893e-15
W2,2084,2,D,518,0.0010642376092904193
W2,2091,0,A,383,nan
W2,2091,0,A,385,nan
W2,2091,0,B,747,nan
W2,2091,0,C,4000,9.015010959956271e-14
W2,2091,0,D,339,0.0006977783907256008
W2,2091,1,A,3914,nan
W2,2091,1,B,507,nan
W2,2091,1,C,643,3.0808688933348094e-15
W2,2091,1,D,366,0.000454430841761555
W2,2091,2,A,393,nan
W2,2091,2,B,4000,nan
W2,2091,2,C,1017,4.107825191113079e-15
W2,2091,2,D,2103,0.0003983960856875149
W2,25318,0,A,531,nan
W2,25318,0,B,554,nan
W2,25318,0,C,4000,2.375877272697835e-14
W2,25318,0,D,4000,0.0003386175361393968
W2,25318,1,A,568,nan
W2,25318,1,B,555,nan
W2,25318,1,C,478,3.6012859361278515e-15
W2,25318,1,D,4000,0.00035366659966645786
W2,25318,2,A,573,nan
W2,25318,2,B,558,nan
W2,25318,2,C,477,3.1502578323738817e-15
W2,25318,2,D,4000,0.0003384311094170069
W2,25378,0,A,244,nan
W2,25378,0,A,246,nan
W2,25378,0,B,262,nan
W2,25378,0,C,264,1.2576745200831851e-17
W2,25378,0,D,262,0.0003374783203883812
W2,25378,1,A,251,nan
W2,25378,1,B,253,nan
W2,25378,1,C,265,1.3877787807814457e-17
W2,25378,1,D,266,0.0003375534761151411
W2,25378,2,A,241,nan
W2,25378,2,B,249,nan
W2,25378,2,C,265,2.1250362580715887e-17
W2,25378,2,D,265,0.0003378058852256163
W2,25381,0,A,428,nan
W2,25381,0,A,420,nan
W2,25381,0,B,440,nan
W2,25381,0,C,412,9.853229343548264e-16
W2,25381,0,D,411,0.0017481776524225778
W2,25381,1,A,416,nan
W2,25381,1,B,440,nan
W2,25381,1,C,412,1.0824674490095276e-15
W2,25381,1,D,411,0.00149047007515965
W2,25381,2,A,415,nan
W2,25381,2,B,440,nan
W2,25381,2,C,412,1.27675647831893e-15
W2,25381,2,D,411,0.0015975727385438288
W2,25424,0,A,405,nan
W2,25424,0,A,388,nan
W2,25424,0,B,2255,nan
W2,25424,0,C,376,3.497202527569243e-15
W2,25424,0,D,2246,0.00035275865785489025
W2,25424,1,A,390,nan
W2,25424,1,B,2291,nan
W2,25424,1,C,415,3.941291737419306e-15
W2,25424,1,D,2301,0.0004010805392581501
W2,25424,2,A,406,nan
W2,25424,2,B,2279,nan
W2,25424,2,C,377,3.164135620181696e-15
W2,25424,2,D,430,0.0003379346903489224
W2,26405,0,A,383,nan
W2,26405,0,A,392,nan
W2,26405,0,B,1588,nan
W2,26405,0,C,418,1.9914625504213745e-15
W2,26405,0,D,443,0.00033658501814839113
W2,26405,1,A,390,nan
W2,26405,1,B,540,nan
W2,26405,1,C,411,2.130240428499519e-15
W2,26405,1,D,432,0.00033691408622692036
W2,26405,2,A,392,nan
W2,26405,2,B,1613,nan
W2,26405,2,C,443,1.6306400674181987e-15
W2,26405,2,D,437,0.0003365164810021984
W2,27494,0,A,488,nan
W2,27494,0,A,492,nan
W2,27494,0,B,1518,nan
W2,27494,0,C,506,1.1150802503578916e-14
W2,27494,0,D,532,0.0003521307484484551
W2,27494,1,A,493,nan
W2,27494,1,B,1518,nan
W2,27494,1,C,698,3.552713678800501e-14
W2,27494,1,D,534,0.00035397320448705277
W2,27494,2,A,489,nan
W2,27494,2,B,1516,nan
W2,27494,2,C,535,6.317169010117141e-14
W2,27494,2,D,504,0.0003493143277891672
W2,27529,0,A,542,nan
W2,27529,0,B,1239,nan
W2,27529,0,C,465,2.914335439641036e-16
W2,27529,0,D,470,0.0003402793736801661
W2,27529,1,A,453,nan
W2,27529,1,B,672,nan
W2,27529,1,C,1639,1.4432899320127035e-15
W2,27529,1,D,456,0.00034014031848818163
W2,27529,2,A,471,nan
