arm,predictor,lag_ticks,lag_s,n,corr_centered,corr_change
A,k_ack_right,0,0.0,1153,0.8330873395295215,0.07143184312234384
A,k_ack_right,1,0.05,1140,0.9249480010638917,0.6229210842579131
A,k_ack_right,2,0.1,1129,0.9496937505401192,0.5550144185359648
A,k_ack_right,3,0.15000000000000002,1117,0.9126899816861893,0.2658572742448881
A,k_ack_right,4,0.2,1109,0.8555710678853943,0.2713234356526858
A,k_ack_right,5,0.25,1102,0.7636509239958144,0.16902071484767953
A,k_ack_right,6,0.30000000000000004,1095,0.646730805397645,0.22875349540741052
A,k_ack_right,7,0.35000000000000003,1088,0.5017755670653583,0.1315287804918585
A,k_ack_right,8,0.4,1082,0.3492437075897089,0.13786260569216469
B,k_ack_right,0,0.0,1551,0.9221173794392497,-0.0010259746410063882
B,k_ack_right,1,0.05,1529,0.961509069286275,0.4219760883372439
B,k_ack_right,2,0.1,1508,0.9622769945050438,0.2696682643946585
B,k_ack_right,3,0.15000000000000002,1491,0.9431110166925358,0.11689776602514235
B,k_ack_right,4,0.2,1477,0.9154390809390233,0.12826277666637265
B,k_ack_right,5,0.25,1459,0.8760518669833248,0.06833076459651406
B,k_ack_right,6,0.30000000000000004,1441,0.8275469621860415,0.06850175686255992
B,k_ack_right,7,0.35000000000000003,1424,0.7712067131117722,0.053511093211605104
B,k_ack_right,8,0.4,1404,0.7047866093341079,0.03114782302249154
C,k_ack_right,0,0.0,1598,0.9365894553221596,0.2410609684621387
C,k_ack_right,1,0.05,1586,0.9672888735568772,0.5171973610427925
C,k_ack_right,2,0.1,1579,0.9653092316143972,0.38077827159028316
C,k_ack_right,3,0.15000000000000002,1568,0.9406483550600988,0.26592090075725217
C,k_ack_right,4,0.2,1556,0.9017433090683368,0.24673143296222064
C,k_ack_right,5,0.25,1542,0.8466544987254669,0.18187880384555816
C,k_ack_right,6,0.30000000000000004,1528,0.7835763401473422,0.14004156486421862
C,k_ack_right,7,0.35000000000000003,1514,0.7113141981914102,0.12068373626907467
C,k_ack_right,8,0.4,1500,0.6327285896268493,0.08676964485393483
C,k_cmd_right,0,0.0,1598,0.8962472157928884,0.13541475619721485
C,k_cmd_right,1,0.05,1586,0.9396412446200487,0.38729932069459855
C,k_cmd_right,2,0.1,1579,0.9513976009125231,0.30870553941430956
C,k_cmd_right,3,0.15000000000000002,1568,0.9399484469499398,0.22565449197487436
C,k_cmd_right,4,0.2,1556,0.9111597244714085,0.22579050700277647
C,k_cmd_right,5,0.25,1542,0.8631836194356223,0.15518080081628957
C,k_cmd_right,6,0.30000000000000004,1528,0.8043561773865316,0.11252479330851438
C,k_cmd_right,7,0.35000000000000003,1514,0.7367427252928889,0.1004060280418262
C,k_cmd_right,8,0.4,1500,0.6613150941125949,0.0755346398813769
D,k_ack_right,0,0.0,1413,0.9663375545147139,0.49479693887155096
D,k_ack_right,1,0.05,1398,0.9913956259051538,0.6989056199968109
D,k_ack_right,2,0.1,1385,0.9901164434754222,0.6412989815964529
D,k_ack_right,3,0.15000000000000002,1372,0.9686396229900673,0.4204767665255875
D,k_ack_right,4,0.2,1361,0.9298311745174338,0.44985149089850324
D,k_ack_right,5,0.25,1352,0.8732499458952481,0.24602447813744793
D,k_ack_right,6,0.30000000000000004,1342,0.8006023039395737,0.3042152915509979
D,k_ack_right,7,0.35000000000000003,1331,0.7132897396551895,0.19448478198761968
D,k_ack_right,8,0.4,1320,0.6147496960643143,0.22892621793302373
D,k_cmd_right,0,0.0,1413,0.8905644980692291,0.31991975543281753
D,k_cmd_right,1,0.05,1398,0.9358211182336291,0.5332410646501342
D,k_cmd_right,2,0.1,1385,0.9543503877973359,0.5415570033578657
D,k_cmd_right,3,0.15000000000000002,1372,0.9521861375065054,0.35632559012389736
D,k_cmd_right,4,0.2,1361,0.9318463808446469,0.40012805356625475
D,k_cmd_right,5,0.25,1352,0.89469681313883,0.20207587606359767
D,k_cmd_right,6,0.30000000000000004,1342,0.8415560169803727,0.2684964491796815
D,k_cmd_right,7,0.35000000000000003,1331,0.7710505583519464,0.1856281194595928
D,k_cmd_right,8,0.4,1320,0.6845475356429936,0.22805547139270946
E,k_ack_right,0,0.0,233,0.9157910201293494,0.07885461384755214
E,k_ack_right,1,0.05,229,0.981073893542416,0.7224580815879135
E,k_ack_right,2,0.1,223,0.9634062955721459,0.2970077394293293
E,k_ack_right,3,0.15000000000000002,218,0.9195821114785196,0.10540404968136877
E,k_ack_right,4,0.2,212,0.8635705279237169,0.06417797949160402
E,k_ack_right,5,0.25,205,0.818271758338079,0.0810673416639337
E,k_ack_right,6,0.30000000000000004,198,0.7995965932606547,0.01399728857305584
E,k_ack_right,7,0.35000000000000003,192,0.7920799345523502,0.13557322076282685
E,k_ack_right,8,0.4,186,0.7497463642992404,-0.016288182379267015
F,k_ack_right,0,0.0,178,0.8714132550531057,-0.07924714399375257
F,k_ack_right,1,0.05,173,0.8912185917634166,0.1206976126622781
F,k_ack_right,2,0.1,169,0.8909563942867691,0.08994270112483782
F,k_ack_right,3,0.15000000000000002,166,0.8823052109456838,0.10769386341804661
F,k_ack_right,4,0.2,164,0.8634071855861,0.05999832891760918
F,k_ack_right,5,0.25,161,0.8358203141167065,-0.055590436973698545
F,k_ack_right,6,0.30000000000000004,160,0.8189101550435581,-0.07858367476162727
F,k_ack_right,7,0.35000000000000003,158,0.8011145624226673,-0.14003713976444204
F,k_ack_right,8,0.4,157,0.8011271149582904,0.05991139227244594
