source,route,seed,arm,n,corr,bias,mae
D3b,2084,0,B,47,0.9428164565837422,0.0019172220117418498,0.01236605594586496
D3b,2084,0,C,86,0.9380832064678976,0.0004084673568133138,0.019298638569685514
D3b,2084,0,E,43,0.2764851418171327,-0.00793486985033146,0.027168973253186283
D3b,2084,0,F,70,0.9309902272229368,0.004584530919679789,0.0339866976752551
D3b,2084,1,B,56,0.1603870602483641,0.013969823512697918,0.039170598463151844
D3b,2084,1,C,22,0.6656317032549539,0.002688744118712992,0.017440666884762042
D3b,2084,1,E,28,0.4689030552128017,0.01139778901307577,0.028371928908438388
D3b,2084,1,F,60,0.9460486465401433,0.0019480155521251782,0.00977980229476788
D3b,2084,2,B,45,0.9397817549735646,0.002070494063878899,0.013247629796503839
D3b,2084,2,C,8,0.719354207354553,0.008138004573987754,0.011333625030662771
D3b,2084,2,E,23,0.6864367510581731,0.003660979472538925,0.028100312125616277
D3b,2084,2,F,69,0.9873609289545673,-0.0001301378608690417,0.011829942779717745
D3b,27529,0,B,49,0.9776805333886188,-0.0009181125705286049,0.00804248087547512
D3b,27529,0,C,55,0.5760478024758744,-0.00010632335450463264,0.021387745961524738
D3b,27529,0,E,59,0.47531095258299244,0.004764284606229314,0.037450022560882104
D3b,27529,0,F,81,0.8758497105361827,0.0004514196237476976,0.01944940116738436
D3b,27529,1,B,74,0.8889687933020306,-6.243033720846774e-05,0.01839065016816318
D3b,27529,1,C,54,0.9489217610623009,0.001548618649118235,0.012296203765418904
D3b,27529,1,E,76,0.9851409057176818,-0.00012859093415232249,0.011244727796805876
D3b,27529,1,F,60,0.8022007531008404,-0.00704668375186949,0.013565052724714342
D3b,27529,2,B,73,0.8668652456857565,0.0017020906024281797,0.020054876166051314
D3b,27529,2,C,46,0.316187845296144,-0.017469317934458984,0.024668964450785355
D3b,27529,2,E,70,0.9859169376014572,-0.00019295881514247952,0.011617164263961326
D3b,27529,2,F,45,0.9703241776858574,-0.0028781367136664427,0.012862069040856955
W2,17569,0,A,132,0.8398516003338055,0.006045896837648014,0.03313791284872272
W2,17569,0,B,114,0.9172093266246778,-0.000525829641698302,0.016567680408586968
W2,17569,0,C,132,0.9334213123948749,-0.0020207588444160368,0.020321159118621868
W2,17569,0,D,96,0.8618617583814147,-0.00640183854649901,0.02670321120014718
W2,17569,1,A,80,0.857804687612353,0.008156623324418763,0.037496370096289124
W2,17569,1,B,110,0.7688090440844487,0.004742696552700112,0.014571343872357641
W2,17569,1,C,113,0.941775371556575,-0.0006229350260403301,0.01776507008147496
W2,17569,1,D,129,0.9805815373177523,0.00028157632484734864,0.017039589639501383
W2,17569,2,A,65,0.7423773011759296,0.017906993190726757,0.05089514661477596
W2,17569,2,B,175,0.9413413358476418,0.0022001555126735612,0.01624681438177175
W2,17569,2,C,80,0.899409737859822,0.0010191887986772121,0.016103258328737206
W2,17569,2,D,102,0.9576196165335753,-0.0013130817728282112,0.0170561830723764
W2,2050,0,A,41,0.8645362250484463,-0.0038167161834491343,0.013995727086857722
W2,2050,0,B,45,0.9483328447536122,-0.003308695301391307,0.008024502617278077
W2,2050,0,C,56,0.961863123484088,-0.0019114983953460887,0.007014187609367258
W2,2050,0,D,97,0.9155918039185575,-0.0011598911747036347,0.016166307525912187
W2,2050,1,A,49,0.5695002895109667,-0.015485825094553561,0.022463332173071032
W2,2050,1,B,45,0.9461307721346749,-0.003148680200156453,0.0086003463999072
W2,2050,1,C,100,0.8964129991892895,-0.0007809942370863632,0.016640644024682082
W2,2050,1,D,57,0.8339069985361093,-0.007765815760042569,0.013094928389555713
W2,2050,2,A,52,0.42404170128049384,-0.016427189802284144,0.023002483045295525
W2,2050,2,B,50,0.9623816868286742,-0.0029882121232348096,0.00709168193493258
W2,2050,2,C,57,0.9688513529107399,-0.0020013257707153674,0.005923720762938418
W2,2050,2,D,79,0.8506274034105336,-0.004427955781089651,0.01790529910983063
W2,2084,0,A,28,0.8689000462933769,0.011012587718325957,0.02366597876515214
