speed_lo,speed_hi,subset,arm,n,runs,gain_nom,gain_ack,gain_unscaled,rmse_nom,rmse_ack,rmse_unscaled,mean_abs_ach
2,4,active,all,2368,150,0.7575636436441475,0.9555047717617081,0.6950153346344847,0.048191579280750144,0.020169305849501395,0.062415627739868515,0.1016744185745595
2,4,active,all_ex_B,1884,114,0.750918224244762,0.9581337523471859,0.6873056810799779,0.05245205235570415,0.020928165934049465,0.06816959350541486,0.10722455012118814
2,4,active,A,318,27,0.6924469763942128,0.9485077700617915,0.6197116446316883,0.07633960398843964,0.030656795743370917,0.09864059691664277,0.11830038306175727
2,4,active,B,484,36,0.8254317408846129,0.934104401429762,0.77799624868592,0.025560490490157427,0.016893864834059653,0.03115936622690811,0.08007018751288934
2,4,active,C,749,37,0.7696296248044115,0.9583151017435099,0.708984572389376,0.04378607132330165,0.01571255116594918,0.05793546883191398,0.10346151196489978
2,4,active,D,683,38,0.7554578295821947,0.953043981070201,0.6963218665827305,0.04950993285679759,0.01666882753603904,0.06468354618915727,0.10937391630017808
2,4,active,E,51,6,0.9016032737207456,0.950916580656775,0.851504596305474,0.009980260535829127,0.008806445122102357,0.011723250366684581,0.041588988607030045
2,4,active,F,83,6,0.8640396880797186,1.052114652180615,0.7997698029871798,0.05087243795250747,0.04217831218856969,0.05832062107700585,0.1213907819396334
2,4,quasi_steady,all,363,84,0.7601892683846941,0.9704990481645902,0.7002981778666306,0.04080171970501374,0.012806251652799059,0.05324483374032575,0.08352555886416371
2,4,quasi_steady,all_ex_B,293,67,0.7510810294073201,0.9724985529916492,0.690210374814042,0.04456977374160395,0.012970320967302778,0.05828057200523622,0.08623512024572437
2,4,quasi_steady,B,70,17,0.8608673975443869,0.9540881847157324,0.8195280069893756,0.017841001660747487,0.012095374753437744,0.022005949100908827,0.07218410908134557
2,4,quasi_steady,C,135,25,0.7487297571393176,0.9663440664871581,0.681746230600968,0.04296240707081826,0.010542012111996343,0.05818113564026514,0.08203156621153213
2,4,quasi_steady,D,125,27,0.7407634678735509,0.974766837962273,0.6847769757280244,0.04974452838347077,0.012163266995495014,0.063656292111294,0.09296476456585501
2,4,quasi_steady,F,19,6,0.9351302796937743,1.009133863895491,0.8901427021768663,0.02907282245913241,0.028618494538280925,0.0296273498392258,0.05135457849379888
4,6,active,all,3075,168,0.751979406936244,0.8996741000756917,0.6488863526772891,0.044754286856831964,0.029086317048072276,0.06287763736170596,0.08540500002312933
4,6,active,all_ex_B,2329,124,0.740965077411461,0.895094049493099,0.6361579842081906,0.04771569698498073,0.029396040990920084,0.06799999731926182,0.08853126995726093
4,6,active,A,585,34,0.6339609389749071,0.800800703977201,0.521464521500139,0.0747826954725685,0.04712496950077045,0.10553618101882195,0.09266049010403633
4,6,active,B,746,44,0.8120823420553027,0.9222385820673322,0.7219054959448871,0.03388240381418506,0.028097404472249794,0.04313481089695495,0.07564483557729483
4,6,active,C,854,42,0.8114898784391325,0.9469570972954203,0.7180476852752062,0.02840731587563641,0.016146610202729183,0.04206658925925252,0.080591640963651
4,6,active,D,690,36,0.8033960684675708,0.947453256566638,0.70823357459019,0.03212236717873716,0.014810732086851587,0.049621094527739,0.09339674148788088
4,6,active,E,63,6,0.8890082025159266,0.9559419728365738,0.7985214396975235,0.011863626564872392,0.008848469215904592,0.018458532290403496,0.05814583199160809
4,6,active,F,137,6,0.7247726074666616,0.8860474764975922,0.6320794005196477,0.06732947053617765,0.04941022220174779,0.0863694202275146,0.10985942039804697
4,6,quasi_steady,all,559,114,0.8124505405450597,0.9581643608304531,0.7138963917853145,0.02813715915712771,0.01822635564280176,0.040343938624581493,0.06863552550358154
4,6,quasi_steady,all_ex_B,428,87,0.8138256506095288,0.9672959244019513,0.7138922856600998,0.02640971951423698,0.012433797223521375,0.04076208544465141,0.07265956965233267
4,6,quasi_steady,A,48,14,0.7996209666168382,0.9166271714891463,0.702761444562261,0.022227524230536956,0.014770669943823918,0.030632056192265517,0.048715620617919314
4,6,quasi_steady,B,131,27,0.8034022708952118,0.9035221869527246,0.7139239734213445,0.033159524280202086,0.030206833592743974,0.038946497311344176,0.05548826675804349
4,6,quasi_steady,C,218,36,0.7917482793099271,0.9612646649125562,0.6886059946902429,0.028160831459285465,0.009286518583438345,0.04433656611561752,0.07204598663570119
4,6,quasi_steady,D,135,29,0.8379966533538026,0.9741916654264775,0.7441199784205484,0.02299820950010676,0.012136094618265423,0.036252249091509134,0.07617086205422516
4,6,quasi_steady,F,21,5,0.8570209228967877,1.0065281744174892,0.7557325354158358,0.037800995574316584,0.02819601695564991,0.052896603597748636,0.11745802550997
6,8,active,all,4361,180,0.7227223676322634,0.8282716972003059,0.6181482314217401,0.04028706609798882,0.03108478745877406,0.05406679019548639,0.06476292750756474
6,8,active,all_ex_B,3011,136,0.7234433404448769,0.8348105977605645,0.6159329788583708,0.04207190834382014,0.031308092047314356,0.05779044719925224,0.06998519299885739
6,8,active,A,773,38,0.5632591687764936,0.6831386631292831,0.46414276283875233,0.06573788534960145,0.04690643877752334,0.08901413665577937,0.06595351116843993
6,8,active,B,1350,44,0.7198209490441213,0.8034982397260092,0.6273937602521837,0.035988723354126485,0.030580861937022506,0.044656784798906016,0.053115341289577914
6,8,active,C,1005,47,0.8304173146188132,0.9098141681606919,0.7284443249651485,0.024384426876795987,0.021018693141683562,0.032579832713230714,0.06099694305469903
6,8,active,D,968,39,0.7988672482566466,0.9083277218726281,0.6899296989682817,0.030819564696125793,0.021642904555840833,0.0465280014051721,0.07920098263635131
6,8,active,E,138,6,0.8471439948100828,0.969331164596847,0.7350008702795627,0.022253799210754453,0.010518877638848217,0.0398552436305197,0.08927327858380392
6,8,active,F,127,6,0.6899847886489171,0.7594540298728367,0.6052711978542332,0.05638347290667395,0.051582588166824546,0.06577994313175334,0.07445008330574801
6,8,quasi_steady,all,1200,136,0.8209994654698195,0.9117058100690492,0.715661035942007,0.02240433877146048,0.018978602273481523,0.030083167417685793,0.048025002315541875
6,8,quasi_steady,all_ex_B,765,101,0.8270282243782296,0.9250139014124179,0.7192268342190618,0.022448820842590856,0.018125001629367216,0.03161961110925509,0.053079061770749815
6,8,quasi_steady,A,175,27,0.839949448418207,0.9274514258887236,0.7346701853441278,0.01579916869914109,0.012324804251096382,0.023138685164273642,0.04152938001514416
6,8,quasi_steady,B,435,35,0.7991577523632639,0.866377599680581,0.7024651993647996,0.022325896703271682,0.020393277842015077,0.027171211190189212,0.03913682879086584
6,8,quasi_steady,C,309,35,0.8594490091808071,0.9405294127708554,0.7531491701509011,0.018581324572561314,0.016233537337210318,0.025221258211757372,0.04959030155485234
6,8,quasi_steady,D,220,29,0.813173197092541,0.9272330789211035,0.701150964572204,0.024447068979913826,0.017391961821713736,0.037362350267515484,0.05991965852719999
6,8,quasi_steady,E,33,5,0.8540656751411052,0.9777714672439581,0.7422521451157317,0.018234077557264895,0.007965346448034313,0.03324950913047989,0.07365075457166934
6,8,quasi_steady,F,28,5,0.7191722696514723,0.7963411635837125,0.6294458000005135,0.05753726075993293,0.051638292792494385,0.06840088528120486,0.08577277838124744
