examinee,vs,scope,n,delta,lo,hi
CARLA M-C pair [cinque],ridge_late op-cinque temporal,pooled,1832,-0.11244541484716157,-0.13636363636363635,-0.08923550279173241
CARLA M-C pair [cinque],ridge_late op-cinque temporal,cutin,216,-0.2037037037037037,-0.29061488673139163,-0.12442396313364056
CARLA M-C pair [cinque],ridge_late op-cinque temporal,oncoming,657,-0.1019786910197869,-0.13575137867647058,-0.06885490023474179
CARLA M-C pair [cinque],ridge_late op-cinque temporal,static,959,-0.09906152241918666,-0.12695483630496943,-0.07247673759265859
CARLA M-C hard [cinque],ridge_late op-cinque temporal,pooled,1832,-0.05403930131004367,-0.0741624855813318,-0.03589526202538934
CARLA M-C hard [cinque],ridge_late op-cinque temporal,cutin,216,-0.032407407407407406,-0.07075471698113207,0.0
CARLA M-C hard [cinque],ridge_late op-cinque temporal,oncoming,657,-0.0030441400304414,-0.018867924528301886,0.013470168552999866
CARLA M-C hard [cinque],ridge_late op-cinque temporal,static,959,-0.09384775808133472,-0.1272558263614768,-0.06319974247545469
CARLA M-C uniform [cinque],ridge_late op-cinque temporal,pooled,1832,-0.002183406113537118,-0.007038440714672442,0.0027459710176499143
CARLA M-C uniform [cinque],ridge_late op-cinque temporal,cutin,216,0.0,-0.0136986301369863,0.013217320962145718
CARLA M-C uniform [cinque],ridge_late op-cinque temporal,oncoming,657,0.0060882800608828,0.0,0.013636880949096424
CARLA M-C uniform [cinque],ridge_late op-cinque temporal,static,959,-0.008342022940563087,-0.015577134410222996,-0.0020855057351407717
CARLA student A s0 [cinque],ridge_late op-cinque temporal,pooled,1832,-0.10207423580786026,-0.14894095210234368,-0.06161308328072089
CARLA student A s0 [cinque],ridge_late op-cinque temporal,cutin,216,-0.018518518518518517,-0.06482235142118863,0.0271555197421434
CARLA student A s0 [cinque],ridge_late op-cinque temporal,oncoming,657,-0.0730593607305936,-0.11180890176308386,-0.03576579091886606
CARLA student A s0 [cinque],ridge_late op-cinque temporal,static,959,-0.14077163712200208,-0.20913996487800712,-0.08138252393980856
CARLA student A s1 [cinque],ridge_late op-cinque temporal,pooled,1832,-0.07860262008733625,-0.11926130598075478,-0.04414950157618086
CARLA student A s1 [cinque],ridge_late op-cinque temporal,cutin,216,-0.009259259259259259,-0.04878646580583453,0.03153509844686313
CARLA student A s1 [cinque],ridge_late op-cinque temporal,oncoming,657,-0.0578386605783866,-0.09524175824175823,-0.023655194856330247
CARLA student A s1 [cinque],ridge_late op-cinque temporal,static,959,-0.10844629822732013,-0.1626449103703031,-0.05833181581685745
CARLA student A s2 [cinque],ridge_late op-cinque temporal,pooled,1832,-0.07096069868995633,-0.111047236575512,-0.03675673110504878
CARLA student A s2 [cinque],ridge_late op-cinque temporal,cutin,216,-0.004629629629629629,-0.042862269309637734,0.03500219298245613
