arm,metric,group,n,ref_score,arm_score,delta,lo,hi
G1c g3 x M-C lebowski,EPDMS,vehicle_approach,4726,79.36375892446382,79.05994793861205,-0.3038109858517745,-0.6576352399235426,0.06611993738094198
G1c g3 x M-C lebowski,EPDMS,ped_cyc_corridor,897,76.17873702715265,76.6851925611857,0.5064555340330592,-0.26528896693766785,1.334594152467801
G1c g3 x M-C lebowski,EPDMS,straight,4365,79.86521422847083,79.54304360614256,-0.3221706223282741,-0.6804147614840679,0.04025977661946134
G1c g3 x M-C lebowski,EPDMS,g3_open,943,84.40301244417915,83.52697520152822,-0.8760372426509365,-2.6908874413088424,0.9721243875405503
G1c g3 x const lebowski,PDMS,all,12146,72.4149628176169,72.83602084269974,0.4210580250828491,0.276985792830617,0.5707042270507663
G1c g3 x const lebowski,PDMS,vehicle_approach,4726,76.16800522598663,77.17667768081353,1.0086724548268997,0.6394125719032412,1.3965669486058891
G1c g3 x const lebowski,PDMS,ped_cyc_corridor,897,74.43533021702756,76.15185371503699,1.7165234980094206,0.9205544310361836,2.5984545408337487
G1c g3 x const lebowski,PDMS,straight,4365,76.44028268882495,77.27846417048092,0.8381814816559554,0.48131524129839465,1.2206875226042022
G1c g3 x const lebowski,PDMS,g3_open,943,78.28096017070129,83.70688895859956,5.425928787898262,3.6140173994072127,7.377853836700591
G1c g3 x const2d lebowski,PDMS,all,12146,72.4149628176169,72.83605841707542,0.4210955994585294,0.27291734431722053,0.5726190624506523
G1c g3 x const2d lebowski,PDMS,vehicle_approach,4726,76.16800522598663,77.17677694188949,1.00877171590286,0.6377777319353447,1.386581258110302
G1c g3 x const2d lebowski,PDMS,ped_cyc_corridor,897,74.43533021702756,76.15190839777034,1.7165781807427682,0.8999314979611339,2.6284162529742976
G1c g3 x const2d lebowski,PDMS,straight,4365,76.44028268882495,77.27867810423855,0.8383954154135975,0.48011258350767655,1.2098122742564519
G1c g3 x const2d lebowski,PDMS,g3_open,943,78.28096017070129,83.7073734332335,5.426413262532195,3.5616228976396704,7.322547035782874
G1c M-C - const lebowski,PDMS,all,12146,72.83602084269974,72.77643110735804,-0.059589735341710144,-0.0940003892114316,-0.029698526388843634
G1c M-C - const lebowski,PDMS,vehicle_approach,4726,77.17667768081353,77.02025441385886,-0.15642326695465805,-0.24296546043047593,-0.07826358213803264
G1c M-C - const lebowski,PDMS,ped_cyc_corridor,897,76.15185371503699,75.98083364080654,-0.171020074230461,-0.3408553382866599,-0.03878357444716659
G1c M-C - const lebowski,PDMS,straight,4365,77.27846417048092,77.12943655958819,-0.14902761089271732,-0.24128988365404191,-0.06699919848369328
G1c M-C - const lebowski,PDMS,g3_open,943,83.70688895859956,82.93905345839609,-0.7678355002034837,-1.1926460319391416,-0.3725175012317439
G1c M-C - const2d lebowski,PDMS,all,12146,72.83605841707542,72.77643110735804,-0.059627309717390435,-0.09349844881470487,-0.029331792665550187
G1c M-C - const2d lebowski,PDMS,vehicle_approach,4726,77.17677694188949,77.02025441385886,-0.15652252803061856,-0.24660460526810699,-0.07984348069570299
G1c M-C - const2d lebowski,PDMS,ped_cyc_corridor,897,76.15190839777034,75.98083364080654,-0.17107475696380847,-0.33600788610085597,-0.03576330705621599
G1c M-C - const2d lebowski,PDMS,straight,4365,77.27867810423855,77.12943655958819,-0.14924154465035935,-0.238665934253284,-0.06729295665815797
G1c M-C - const2d lebowski,PDMS,g3_open,943,83.7073734332335,82.93905345839609,-0.7683199748374157,-1.1908731432230468,-0.3758029623978015
G2 M-C pair s0 lebowski,PDMS,vehicle_approach,4726,76.16800522598663,47.38770440436579,-28.78030082162084,-29.977050467910615,-27.518284161632
G2 M-C pair s1 lebowski,PDMS,vehicle_approach,4726,76.16800522598663,45.802259250713384,-30.365745975273246,-31.5858536816568,-29.17533702684927
G2 M-C pair s2 lebowski,PDMS,vehicle_approach,4726,76.16800522598663,46.048191155223925,-30.119814070762708,-31.337323703446668,-28.871630268917325
G2 student A s0 lebowski,PDMS,vehicle_approach,4726,76.16800522598663,73.54894612096362,-2.6190591050230143,-3.55653573232628,-1.6897741218914937
G2 student A s1 lebowski,PDMS,vehicle_approach,4726,76.16800522598663,70.84785598193854,-5.3201492440481,-6.414975799054104,-4.244923110811047
G2 student A s2 lebowski,PDMS,vehicle_approach,4726,76.16800522598663,76.83023032987603,0.6622251038893923,-0.12107147406638094,1.460257145518394
G2 M-C hard s0 lebowski,PDMS,vehicle_approach,4726,76.16800522598663,5.21371484661074,-70.95429037937589,-72.05177865701012,-69.81743249457814
G2 M-C uniform s0 lebowski,PDMS,vehicle_approach,4726,76.16800522598663,8.095156520174053,-68.07284870581258,-69.22959565283655,-66.91539700079059
