scope,judge,n,delta,lo,hi,model,head,seed,stats,gate
all,RFS (rater),478,-3.346134292568715,-3.554651737701624,-3.1336126234963446,cinque,M-C pair,0,i3,none
all,ADE dec1-9,17389,10.05728530883789,9.786331059699824,10.330160628279877,cinque,M-C pair,0,i3,none
all,ADE pre_onset dec1-9,1245,8.749951362609863,8.095867956897623,9.439026702343334,cinque,M-C pair,0,i3,none
Pedestrians,RFS (rater),52,-3.447281361991938,-4.112109270510876,-2.7574109068106627,cinque,M-C pair,0,i3,none
Pedestrians,ADE dec1-9,1637,10.119084358215332,9.145607758913178,11.11957425469392,cinque,M-C pair,0,i3,none
Pedestrians,ADE pre_onset dec1-9,83,6.788611888885498,4.13851303517498,9.574193439528207,cinque,M-C pair,0,i3,none
Cyclists,RFS (rater),71,-3.285209572057931,-3.8226257767960052,-2.7327345287938845,cinque,M-C pair,0,i3,none
Cyclists,ADE dec1-9,2326,10.632857322692871,9.965468601249912,11.272490603470347,cinque,M-C pair,0,i3,none
Cyclists,ADE pre_onset dec1-9,206,10.067830085754395,8.31816061407145,11.956015060071755,cinque,M-C pair,0,i3,none
Cut_ins,RFS (rater),20,-3.4326411562839283,-4.420635769758577,-2.405039982130837,cinque,M-C pair,0,i3,none
Cut_ins,ADE dec1-9,724,10.91894245147705,9.506481576942473,12.192755278820878,cinque,M-C pair,0,i3,none
Cut_ins,ADE pre_onset dec1-9,16,8.874817848205566,3.547010898590088,12.07150239944458,cinque,M-C pair,0,i3,none
FOD,RFS (rater),78,-3.5979063906752993,-4.109801456029529,-3.076757012898675,cinque,M-C pair,0,i3,none
FOD,ADE dec1-9,3175,9.706391334533691,9.075447667145324,10.317393557433585,cinque,M-C pair,0,i3,none
FOD,ADE pre_onset dec1-9,252,8.403604507446289,7.251635748314677,9.66756521854797,cinque,M-C pair,0,i3,none
Intersections,RFS (rater),116,-3.4750310299503693,-3.8645197725344906,-3.064731202625601,cinque,M-C pair,0,i3,none
Intersections,ADE dec1-9,4299,10.070280075073242,9.537776933524848,10.583754894767376,cinque,M-C pair,0,i3,none
Intersections,ADE pre_onset dec1-9,301,7.935921669006348,6.827279348064993,9.110879496232643,cinque,M-C pair,0,i3,none
all,RFS (rater),478,-0.9278209702113651,-1.1193077025545721,-0.7456938264813611,cinque,M-C pair,0,i3,g2
all,ADE dec1-9,17389,1.0984426736831665,1.0152664478429905,1.1831649918130074,cinque,M-C pair,0,i3,g2
all,ADE pre_onset dec1-9,1245,0.7398284077644348,0.5407374841833565,0.9571041042855639,cinque,M-C pair,0,i3,g2
Pedestrians,RFS (rater),52,-1.1338889049271637,-1.682061025065041,-0.6163836585187953,cinque,M-C pair,0,i3,g2
Pedestrians,ADE dec1-9,1637,1.2307178974151611,0.9786442823242963,1.4971375018388713,cinque,M-C pair,0,i3,g2
Pedestrians,ADE pre_onset dec1-9,83,0.4216844439506531,-0.10634681937551196,1.0262814731060712,cinque,M-C pair,0,i3,g2
Cyclists,RFS (rater),71,-1.7101887871583223,-2.2915670911452746,-1.1337334813892457,cinque,M-C pair,0,i3,g2
Cyclists,ADE dec1-9,2326,1.4788126945495605,1.2181389077466294,1.760850720568682,cinque,M-C pair,0,i3,g2
Cyclists,ADE pre_onset dec1-9,206,1.1972010135650635,0.47262168710364316,2.037992321544068,cinque,M-C pair,0,i3,g2
Cut_ins,RFS (rater),20,-1.173693218522595,-2.0601607924896985,-0.38441434163848487,cinque,M-C pair,0,i3,g2
Cut_ins,ADE dec1-9,724,1.5504692792892456,1.113826610802284,1.9536577359988814,cinque,M-C pair,0,i3,g2
Cut_ins,ADE pre_onset dec1-9,16,0.9723866581916809,-0.512795139761532,2.486787515878677,cinque,M-C pair,0,i3,g2
FOD,RFS (rater),78,-0.653181813674401,-1.05152619124126,-0.2612076055584804,cinque,M-C pair,0,i3,g2
FOD,ADE dec1-9,3175,0.9895586371421814,0.8104527756539937,1.1781901928888787,cinque,M-C pair,0,i3,g2
FOD,ADE pre_onset dec1-9,252,0.7673810720443726,0.43276157059090836,1.1521870513450805,cinque,M-C pair,0,i3,g2
Intersections,RFS (rater),116,-0.7122789293153421,-1.0972677385866478,-0.33231117725452175,cinque,M-C pair,0,i3,g2
Intersections,ADE dec1-9,4299,0.9007190465927124,0.7520976290185788,1.054451277896894,cinque,M-C pair,0,i3,g2
Intersections,ADE pre_onset dec1-9,301,0.5539942383766174,0.15481046104934512,0.988314021109718,cinque,M-C pair,0,i3,g2
all,RFS (rater),478,-3.2029146412561857,-3.4289295716443275,-2.972587514860143,cinque,M-C hard,0,i3,none
all,ADE dec1-9,17389,11.124032020568848,10.918928199711708,11.330564542746,cinque,M-C hard,0,i3,none
all,ADE pre_onset dec1-9,1245,10.81503963470459,10.124113934945331,11.53623198562637,cinque,M-C hard,0,i3,none
Pedestrians,RFS (rater),52,-3.3686862813487606,-3.961868929960803,-2.7761855035533634,cinque,M-C hard,0,i3,none
Pedestrians,ADE dec1-9,1637,10.583538055419922,9.927944661399243,11.275422988631673,cinque,M-C hard,0,i3,none
Pedestrians,ADE pre_onset dec1-9,83,10.892833709716797,8.916518309138485,13.434698816447547,cinque,M-C hard,0,i3,none
Cyclists,RFS (rater),71,-2.7870227343850673,-3.419610534224682,-2.1214564519740553,cinque,M-C hard,0,i3,none
Cyclists,ADE dec1-9,2326,10.056195259094238,9.55841158263003,10.550172559299886,cinque,M-C hard,0,i3,none
Cyclists,ADE pre_onset dec1-9,206,10.799447059631348,9.110488771052575,12.42234289813207,cinque,M-C hard,0,i3,none
Cut_ins,RFS (rater),20,-2.94153512181745,-4.052406640864048,-1.7654117131052902,cinque,M-C hard,0,i3,none
Cut_ins,ADE dec1-9,724,11.297987937927246,10.543489122606962,12.033909423093391,cinque,M-C hard,0,i3,none
Cut_ins,ADE pre_onset dec1-9,16,9.422892570495605,6.445782899856567,12.141737034446315,cinque,M-C hard,0,i3,none
FOD,RFS (rater),78,-3.5422324138048404,-4.083068304749788,-2.9624718207581293,cinque,M-C hard,0,i3,none
FOD,ADE dec1-9,3175,11.832620620727539,11.26212088499614,12.37152667283048,cinque,M-C hard,0,i3,none
FOD,ADE pre_onset dec1-9,252,10.400134086608887,8.557659313025185,12.159646889484778,cinque,M-C hard,0,i3,none
Intersections,RFS (rater),116,-3.3175831076561617,-3.74675539226029,-2.8803844642344494,cinque,M-C hard,0,i3,none
Intersections,ADE dec1-9,4299,11.329453468322754,10.983563058598227,11.665009939159393,cinque,M-C hard,0,i3,none
Intersections,ADE pre_onset dec1-9,301,11.420262336730957,10.203108549345707,12.696221809006042,cinque,M-C hard,0,i3,none
all,RFS (rater),478,-3.239052443681064,-3.4622804031001064,-3.014107663006181,cinque,M-C uniform,0,i3,none
all,ADE dec1-9,17389,9.767204284667969,9.613216416811966,9.922406065124681,cinque,M-C uniform,0,i3,none
