identity,route_id,arm,attempt_path,harness_status,official_status,completion_pct,driving_score,telemetry_frames,desired_speed_frames,truth_frames,required_sensors_synced,prediction_missing,prediction_fault,reverse_motion,tiny_negative_raw_speed,speed_error_rms,accel_lon_abs_p95,jerk_lon_abs_p95,accel_lat_abs_p95,jerk_lat_abs_p95,target_change_abs_p95,low_speed_runs_ge_5s,steer_saturated_ticks,wall_s,infraction_collisions_layout,infraction_collisions_pedestrian,infraction_collisions_vehicle,infraction_red_light,infraction_stop_infraction,infraction_outside_route_lanes,infraction_min_speed_infractions,infraction_yield_emergency_vehicle_infractions,infraction_scenario_timeouts,infraction_route_dev,infraction_vehicle_blocked,infraction_route_timeout
24211:native_common,24211,native_common,/data/runs/b2d/tcp-controller/paired-v2/24211-native_common/attempts/24211/1,finished,Completed,100,100.0,393,392,393,393,1,0,5,4,2.167491840036301,5.611118427628583,67.70021934192843,2.6782066005195446,88.74794883109098,31.654990638469805,0,2,24.9,0,0,0,0,0,0,18,0,0,0,0,0
24211:pi_common,24211,pi_common,/data/runs/b2d/tcp-controller/paired-v2/24211-pi_common/attempts/24211/1,finished,Completed,100,100.0,401,400,401,401,1,0,0,1,2.1167759347324213,5.667563546017316,48.22154013923045,2.547578897383753,88.82335320254364,38.08259549613893,0,0,32.7,0,0,0,0,0,0,18,0,0,0,0,0
1711:native_common,1711,native_common,/data/runs/b2d/tcp-controller/paired-v2/1711-native_common/attempts/1711/1,finished,Completed,100,100.0,520,519,520,520,1,0,0,0,1.684746293284405,9.863905360868698,147.20354711283085,2.0576557922764946,71.63344366337184,30.542051178087018,0,0,78.0,0,0,0,0,0,0,20,0,0,0,0,0
1711:pi_common,1711,pi_common,/data/runs/b2d/tcp-controller/paired-v2/1711-pi_common/attempts/1711/1,finished,Completed,100,100.0,499,498,499,499,1,0,0,0,1.3867209103481846,4.620834730591844,72.90771495536836,2.436356829952151,83.3465420921248,34.3118331882581,0,0,78.4,0,0,0,0,0,0,20,0,0,0,0,0
1773:native_common,1773,native_common,/data/runs/b2d/tcp-controller/paired-v2/1773-native_common/attempts/1773/1,finished,Failed - TickRuntime,34.88,20.928,4000,3999,4000,4000,1,0,68,478,4.2257549895755675,2.6921126640219404,38.504049943001164,0.5231072250133929,18.50726024636769,19.80439647330248,2,70,504.9,0,0,1,0,0,0,5,0,0,0,0,0
