pair,readout,role,cluster,n,value,delta,lo,hi,halfwidth,base_value
cls_late cinque - cls ego,"ADE all val, s_ego deciles 1-9 (m, lower better)",primary,Cut_ins,3666,1.7097700834274292,-0.20818297564983368,-0.35550598016286067,-0.06509222948457515,0.14520687533914275,1.9179530143737793
cls_late cinque - cls ego,"ADE all val, s_ego deciles 1-9 (m, lower better)",primary,Pedestrian,10468,1.349058747291565,-0.09993421286344528,-0.19442800061636117,0.027008677480199108,0.11071833904828014,1.44899320602417
cls_late cinque - cls ego,"ADE all val, s_ego deciles 1-9 (m, lower better)",primary,Cyclist,13533,1.723432183265686,-0.09238077700138092,-0.17608246189295915,0.0037516288729662972,0.08991704538296272,1.8158129453659058
cls_late cinque - cls ego,"ADE all val, s_ego deciles 1-9 (m, lower better)",primary,Foreign Object Debris,15442,1.767653465270996,-0.008125612512230873,-0.13688912424510255,0.11836165773386689,0.12762539098948472,1.775779128074646
cls_late cinque - cls ego,"ADE all val, s_ego deciles 1-9 (m, lower better)",primary,Interections,23525,1.4854463338851929,-0.07446368783712387,-0.15177348204957852,0.02089886404185796,0.08633617304571824,1.5599100589752197
cls_late cinque - cls ego,"ADE all val, s_ego deciles 1-9 (m, lower better)",primary,all,95724,1.6322498321533203,-0.03612453490495682,-0.09287946020163737,0.029428114710458055,0.061153787456047715,1.6683741807937622
cls_late cinque - cls ego,"ADE pre-onset, s_ego deciles 1-9 (m)",side,Cut_ins,16,1.7450164556503296,-1.1675224304199219,-1.6768508979252406,-0.6164350369397331,0.5302079304927537,2.912539005279541
cls_late cinque - cls ego,"ADE pre-onset, s_ego deciles 1-9 (m)",side,Pedestrian,84,2.3351638317108154,0.2590196132659912,-0.46827949447666894,1.3356944166789955,0.9019869555778322,2.076144218444824
cls_late cinque - cls ego,"ADE pre-onset, s_ego deciles 1-9 (m)",side,Cyclist,206,1.9048488140106201,-0.24341966211795807,-0.4672660835609527,-0.002362284408045129,0.2324518995764538,2.148268461227417
cls_late cinque - cls ego,"ADE pre-onset, s_ego deciles 1-9 (m)",side,Foreign Object Debris,264,2.0742902755737305,-0.7967628836631775,-1.9046411593221417,-0.13171238769888877,0.8864643858116265,2.8710529804229736
cls_late cinque - cls ego,"ADE pre-onset, s_ego deciles 1-9 (m)",side,Interections,323,2.010946750640869,-0.10758630931377411,-0.3355803531316846,0.1298978693099046,0.2327391112207946,2.118533134460449
cls_late cinque - cls ego,"ADE pre-onset, s_ego deciles 1-9 (m)",side,all,1291,2.173590898513794,-0.13257913291454315,-0.4562902814723832,0.18571144170313286,0.32100086158775804,2.3061699867248535
cls_late cinque - cls ego,RFS rater frames (higher better),primary,Cut_ins,20,8.152437792382871,0.9379530840387738,-0.06239010362191312,2.161895034604583,1.112142569113248,7.214484708344097
cls_late cinque - cls ego,RFS rater frames (higher better),primary,Pedestrian,52,8.207952691743015,0.20268672543119073,-0.21920050216806325,0.58818228562759,0.4036913938978266,8.005265966311825
cls_late cinque - cls ego,RFS rater frames (higher better),primary,Cyclist,71,7.443902294462895,0.6130169054737753,0.14728157949774673,1.1053099700533557,0.47901419527780453,6.830885388989121
cls_late cinque - cls ego,RFS rater frames (higher better),primary,Foreign Object Debris,78,7.743975674980586,0.32214815919911516,-0.06614344984475806,0.6870988361472032,0.37662114299598065,7.421827515781471
cls_late cinque - cls ego,RFS rater frames (higher better),primary,Interections,116,7.728263385921989,0.38800611109921634,0.08980974942742552,0.6968986174582917,0.30354443401543313,7.340257274822773
cls_late cinque - cls ego,RFS rater frames (higher better),primary,all,479,7.6526077439992735,0.37526742276980213,0.2135662418152394,0.544103819199735,0.16526878869224781,7.277340321229472
native cinque - cv,RFS rater frames (higher better),primary,Cut_ins,20,8.782115002254866,0.36682348603261394,-0.5712121615384084,1.3698538499913193,0.9705330057648638,8.41529151622225
native cinque - cv,RFS rater frames (higher better),primary,Pedestrian,52,8.238098445264573,0.9194021089692119,0.34586072179623034,1.5149054009028284,0.584522339553299,7.3186963362953605
native cinque - cv,RFS rater frames (higher better),primary,Cyclist,71,8.226320710588059,1.459663860332058,0.8179452517503704,2.077278703452438,0.6296667258510338,6.766656850256002
native cinque - cv,RFS rater frames (higher better),primary,Foreign Object Debris,78,7.812102373284386,0.8528404865555053,0.25790456296714787,1.4281867487864857,0.5851410929096689,6.95926188672888
native cinque - cv,RFS rater frames (higher better),primary,Interections,116,7.74120691798335,0.6293523173034457,0.12571186537878873,1.111483424693407,0.4928857796573092,7.111854600679903
native cinque - cv,RFS rater frames (higher better),primary,all,479,7.941206200464859,0.895494160454415,0.6666789530075264,1.1256647546144654,0.22949290080346946,7.045712040010445
native cinque - cv,"ADE 20237 subset, s_ego deciles 1-9 (m)",primary,Cut_ins,742,1.7341625690460205,-0.7654622197151184,-1.1248632400535963,-0.47046083717419035,0.327201201439703,2.4996249675750732
native cinque - cv,"ADE 20237 subset, s_ego deciles 1-9 (m)",primary,Pedestrian,1698,1.7553318738937378,-1.0049792528152466,-1.3580310695437063,-0.6299686263069045,0.3640312216184009,2.7603111267089844
native cinque - cv,"ADE 20237 subset, s_ego deciles 1-9 (m)",primary,Cyclist,2405,2.200573444366455,-0.8482934832572937,-1.29213542385591,-0.3618988775500754,0.4651182731529173,3.0488669872283936
native cinque - cv,"ADE 20237 subset, s_ego deciles 1-9 (m)",primary,Foreign Object Debris,3265,2.2673110961914062,-0.5835176706314087,-1.0024905686382504,-0.16497234405637512,0.41875911229093765,2.8508288860321045
native cinque - cv,"ADE 20237 subset, s_ego deciles 1-9 (m)",primary,Interections,4445,2.060880422592163,-0.8687103390693665,-1.1696247619270348,-0.5542424340211858,0.3076911639529245,2.929590940475464
native cinque - cv,"ADE 20237 subset, s_ego deciles 1-9 (m)",primary,all,17928,2.07592511177063,-0.8393184542655945,-1.0055923317618998,-0.6645654528000449,0.17051343948092745,2.915243148803711
native cinque - cv,"ADE all val (trainval native), s_ego deciles 1-9 (m)",side,Cut_ins,3666,1.8230127096176147,-0.7643611431121826,-1.0552621469427543,-0.4749631695868986,0.2901494886779279,2.587373733520508
native cinque - cv,"ADE all val (trainval native), s_ego deciles 1-9 (m)",side,Pedestrian,10468,1.4455070495605469,-0.6800780892372131,-0.9254448052860563,-0.44483938098167103,0.24030271215219265,2.1255850791931152
native cinque - cv,"ADE all val (trainval native), s_ego deciles 1-9 (m)",side,Cyclist,13533,1.8972606658935547,-0.7062910795211792,-1.013636782803552,-0.34343766996599684,0.33509955641877753,2.6035518646240234
native cinque - cv,"ADE all val (trainval native), s_ego deciles 1-9 (m)",side,Foreign Object Debris,15442,2.128321647644043,-0.3500678241252899,-0.6845053948649021,-0.0262664206136584,0.3291194871256219,2.4783897399902344
native cinque - cv,"ADE all val (trainval native), s_ego deciles 1-9 (m)",side,Interections,23525,1.871631383895874,-0.5154229402542114,-0.7414262154864282,-0.2698041317073012,0.23581104188956348,2.387054443359375
native cinque - cv,"ADE all val (trainval native), s_ego deciles 1-9 (m)",side,all,95724,1.8533679246902466,-0.5732979774475098,-0.7006850916757917,-0.44291579094058914,0.1288846503676013,2.4266655445098877
cls_late lebowski - cls ego,"ADE all val, s_ego deciles 1-9 (m, lower better)",primary,Cut_ins,3666,1.669578194618225,-0.2483748197555542,-0.4396787268398768,-0.06397182327423818,0.18785345178281931,1.9179530143737793
cls_late lebowski - cls ego,"ADE all val, s_ego deciles 1-9 (m, lower better)",primary,Pedestrian,10468,1.3601337671279907,-0.08885928988456726,-0.16443324192064915,-0.00033631559431845654,0.08204846316316534,1.44899320602417
cls_late lebowski - cls ego,"ADE all val, s_ego deciles 1-9 (m, lower better)",primary,Cyclist,13533,1.721016764640808,-0.09479615092277527,-0.19756533266227705,0.024084095927679027,0.11082471429497803,1.8158129453659058
