base_id,scenario,seed,mode_x10,mode_x11,t_lat_x10,t_lat_x11,v_x10_at_tlat,v_x11_at_tlat,lat_delay_s
25857,AccidentTwoWays,1,bypass_L,stop,110.0,,12.348,8.669,
25857,AccidentTwoWays,2,bypass_L,stop,115.0,,12.146,8.047,
25865,ParkedObstacleTwoWays,0,bypass_L,bypass_L,137.0,197.0,10.751,0.85,3.0
25865,ParkedObstacleTwoWays,1,bypass_L,wait_then_bypass_L,140.0,341.0,10.718,3.532,10.05
25865,ParkedObstacleTwoWays,2,bypass_L,wait_then_bypass_L,149.0,228.0,10.462,3.093,3.95
25896,ParkedObstacleTwoWays,0,bypass_L,bypass_L,128.0,153.0,11.604,4.971,1.25
25896,ParkedObstacleTwoWays,1,bypass_L,bypass_L,134.0,164.0,11.645,11.689,1.5
25896,ParkedObstacleTwoWays,2,bypass_L,bypass_L,130.0,173.0,12.453,5.52,2.15
25928,VehicleOpensDoorTwoWays,0,bypass_L,bypass_L,156.0,170.0,10.871,3.29,0.7
25928,VehicleOpensDoorTwoWays,1,bypass_L,bypass_L,170.0,228.0,11.33,1.961,2.9
25928,VehicleOpensDoorTwoWays,2,bypass_L,bypass_L,166.0,204.0,10.852,4.985,1.9
25951,HazardAtSideLaneTwoWays,0,bypass_L,bypass_L,147.0,546.0,6.872,7.661,19.95
25951,HazardAtSideLaneTwoWays,1,bypass_L,bypass_L,151.0,594.0,6.818,3.608,22.15
25951,HazardAtSideLaneTwoWays,2,bypass_L,wait_then_bypass_L,151.0,555.0,7.21,7.002,20.2
25955,HazardAtSideLaneTwoWays,0,bypass_L,wait_then_bypass_L,110.0,224.0,8.13,6.824,5.7
25955,HazardAtSideLaneTwoWays,1,bypass_L,wait_then_bypass_L,112.0,567.0,7.391,6.735,22.75
25955,HazardAtSideLaneTwoWays,2,bypass_L,wait_then_bypass_L,120.0,338.0,7.42,5.289,10.9
