head,pairs,n_edit,n_placebo,median_edit_m,median_placebo_m,ratio,lo,hi,pass_2x
E1 M-C pair [cinque],all,1127,356,0.3691646456718445,0.22282269597053528,1.6567641496658325,1.4748985648155213,1.8064088881015776,False
E1 M-C pair [cinque],1-3 actors,978,356,0.3526441156864166,0.22282269597053528,1.5826220512390137,1.4117183417081833,1.7335649281740186,False
E1 M-C pair [cinque],>=4 actors,149,356,0.4392024576663971,0.22282269597053528,1.9710849523544312,1.6836937636137008,2.394227623939514,False
E2 pair (a) [cinque],all,1127,356,0.4682145289846272,0.2786382350530977,1.680367121530911,1.5034946780605118,1.8765652634282992,False
E2 pair (a) [cinque],1-3 actors,978,356,0.4592277565470473,0.2786382350530977,1.6481146475089328,1.4705936547595075,1.832235154507753,False
E2 pair (a) [cinque],>=4 actors,149,356,0.5561005841603004,0.2786382350530977,1.9957798830240547,1.6887128950673365,2.30455131552558,False
E2 hard (a) [cinque],all,1127,356,0.0590868682518829,0.036878708077946264,1.6021946356417316,1.4649387276756203,1.783128886226734,False
E2 hard (a) [cinque],1-3 actors,978,356,0.05598337556937855,0.036878708077946264,1.5180405845848222,1.383422487810267,1.6897771711895724,False
E2 hard (a) [cinque],>=4 actors,149,356,0.08774147880197732,0.036878708077946264,2.3791906868464126,2.091300949957864,2.870349780798348,True
E2 uniform (a) [cinque],all,1127,356,0.045456879816108305,0.024800042495225688,1.8329355614958849,1.6625256467837086,1.9841435210251477,False
E2 uniform (a) [cinque],1-3 actors,978,356,0.043249282220233526,0.024800042495225688,1.7439196819343976,1.5663642390209271,1.9004997963327637,False
E2 uniform (a) [cinque],>=4 actors,149,356,0.07421093771947976,0.024800042495225688,2.992371393467018,2.6064082022061754,3.4153991987300434,True
E2 pair qwen (a) [cinque],all,1127,356,0.45435273118845443,0.28441882832570414,1.5974776841009601,1.4646257902234132,1.8240701561998058,False
E2 pair qwen (a) [cinque],1-3 actors,978,356,0.44263529037050264,0.28441882832570414,1.5562798460853509,1.4203591664268032,1.7662294168724075,False
E2 pair qwen (a) [cinque],>=4 actors,149,356,0.5358187375275241,0.28441882832570414,1.8839074075431026,1.6752646431420688,2.1782168745602757,False
E2 pair op (a) [cinque],all,1127,356,0.0849995108568542,0.0,inf,3.9969020867536402,47.78653735374547,True
E2 pair op (a) [cinque],1-3 actors,978,356,0.07572813885854895,0.0,inf,3.5016535933370836,39.2976637326217,True
E2 pair op (a) [cinque],>=4 actors,149,356,0.3079840356154831,0.0,inf,13.607628525611378,138.01457600275435,True
E1 M-C pair [lebowski],all,1127,356,0.37103354930877686,0.23140943050384521,1.6033639907836914,1.4463909327983857,1.7715130925178528,False
E1 M-C pair [lebowski],1-3 actors,978,356,0.3517606854438782,0.23140943050384521,1.520079255104065,1.3627375334501266,1.6574728161096572,False
E1 M-C pair [lebowski],>=4 actors,149,356,0.49516063928604126,0.23140943050384521,2.1397600173950195,1.835316187143326,2.579878807067871,True
E2 pair (a) [lebowski],all,1127,356,0.46983756627731943,0.2711928280314427,1.7324852197892395,1.5165566152295902,1.9217509585036663,False
E2 pair (a) [lebowski],1-3 actors,978,356,0.4557781077466574,0.2711928280314427,1.6806421875353337,1.4624726325305448,1.86126596124171,False
E2 pair (a) [lebowski],>=4 actors,149,356,0.5984636712541871,0.2711928280314427,2.2067828105867164,1.7783963837595915,2.5420427233916763,True
E2 hard (a) [lebowski],all,1127,356,0.025563536384403684,0.011456268959891897,2.2314015561175253,1.9070839087777811,2.4838277461372,True
E2 hard (a) [lebowski],1-3 actors,978,356,0.02366971431630968,0.011456268959891897,2.0660927566537364,1.777462756615181,2.334960836009081,True
E2 hard (a) [lebowski],>=4 actors,149,356,0.0429705848643505,0.011456268959891897,3.7508358973405227,2.995100785271168,4.454654627434211,True
E2 uniform (a) [lebowski],all,1127,356,0.04848273581128659,0.026524633003105966,1.827838138443212,1.626175923190568,2.040217922002448,False
E2 uniform (a) [lebowski],1-3 actors,978,356,0.04474032313171253,0.026524633003105966,1.6867461701156639,1.5295554552438015,1.8823826924014833,False
E2 uniform (a) [lebowski],>=4 actors,149,356,0.08464904438560032,0.026524633003105966,3.1913370630118854,2.5061854821778016,3.840476417402106,True
E2 pair qwen (a) [lebowski],all,1127,356,0.4557541529999116,0.2760005727131859,1.6512797365588148,1.4461789824185052,1.8687079959421145,False
E2 pair qwen (a) [lebowski],1-3 actors,978,356,0.4444167428930529,0.2760005727131859,1.6102022489456267,1.4130781890081663,1.8187849430688827,False
E2 pair qwen (a) [lebowski],>=4 actors,149,356,0.5220596279843,0.2760005727131859,1.891516466260429,1.5832402700377723,2.1774264707261706,False
E2 pair op (a) [lebowski],all,1127,356,0.0935991427869162,0.0,inf,4.707958386798455,31.065380557927288,True
E2 pair op (a) [lebowski],1-3 actors,978,356,0.0695115312118933,0.0,inf,3.7335752370029813,24.069491876029268,True
E2 pair op (a) [lebowski],>=4 actors,149,356,0.3398360491934719,0.0,inf,15.12053092601725,105.81601310213561,True
