frame_name,sequence,cluster,intent,speed,max_rater,rfs_native,rfs_cls_late,loss_native,loss_cls_late,loss,judged_model,category,native_dlon2,native_dlon5,native_dlat5,native_dhead,native_both,native_direction,native_lateral_class,cls_late_dlon2,cls_late_dlon5,cls_late_dlat5,cls_late_dhead,cls_late_both,cls_late_direction,cls_late_lateral_class,log_dlon2,log_dlon5,log_dlat5,log_dhead,log_direction,log_lateral_class,q2b_cause_object,q2b_cause_class,q2b_probe_op,q2b_probe_qwen,q2b_category
09dce07c16adc23fd7ea2c4282587489-149,09dce07c16adc23fd7ea2c4282587489,Pedestrian,GO_STRAIGHT,4.4773726,8.0,8.0,6.1501807058128986,False,True,True,cls_late,none,-0.5569796230623588,-2.4552599616177306,0.2790148783189856,2.1508333646675055,False,none,,0.14751086566149849,-2.8037969223782446,1.5089064883228713,8.740805503072352,False,none,,0.9272685456764983,1.1691853955324647,-0.08581703987186619,0.33446205025711606,none,,,,,,
09e7f15270ce9c3ea038d36c67f8ecc9-148,09e7f15270ce9c3ea038d36c67f8ecc9,Multi-Lane Maneuvers,GO_STRAIGHT,2.312914,10.0,6.628162626291096,4.0,True,True,True,native,lateral: route ambiguity,-1.3019579337195297,-8.106985960020209,1.98733071666493,19.12345962238669,True,lateral,route ambiguity,-2.3561818954602924,-11.997157441687877,3.621892810581363,,True,lateral,route ambiguity,-0.27659603470794497,-0.2138001129628471,0.4211733818709742,5.464820340152983,none,,,,,,
0aa96f6f7fbe3f29c65db92b52fa17ef-150,0aa96f6f7fbe3f29c65db92b52fa17ef,Interections,GO_LEFT,0.33879867,10.0,5.067665022136451,4.0,True,True,True,native,lateral: decision error (intent explains),0.6378634937985306,-1.609687354488153,-3.9718301616992955,50.50415579641424,False,lateral,decision error (intent explains),2.015037044261304,6.253036783634313,-2.5057275317829215,7.091257411593574,True,lateral,lateral other,0.4864100347665824,1.695721689262872,1.6264529700654402,17.53135903512873,lateral,lateral other,,,,,
0c1bdcfac7be564a0c75d3bb4234e47d-148,0c1bdcfac7be564a0c75d3bb4234e47d,Foreign Object Debris,GO_STRAIGHT,7.490637,10.0,10.0,10.0,False,False,False,,,-1.5476820226313928,-2.357542143363448,0.04028002004504825,0.0166423934453519,False,none,,-0.7902213262568243,-2.3844197235396902,-0.000518877032583135,0.4686709064000638,False,none,,-8.201894477704828,-13.838260004852776,-0.017314169467940482,0.08578103957114536,longitudinal go,,,,,,
0c8bd5520f4262ef6c37e79913c82e8d-149,0c8bd5520f4262ef6c37e79913c82e8d,Pedestrian,GO_STRAIGHT,8.133284,10.0,10.0,10.0,False,False,False,,,-0.4289151204272594,-0.9663662893906342,0.18762741709690292,0.9497597090553995,False,none,,0.48229026832687866,0.40856718378158724,0.29375351278380424,0.36871506053688563,False,none,,0.5845851833385359,0.5905074118823403,-0.25565359347121563,0.04600356739280187,none,,,,,,
0cdf4bedea5f52bfb54edea6cbdbb15e-149,0cdf4bedea5f52bfb54edea6cbdbb15e,Interections,GO_STRAIGHT,9.911485,9.0,9.0,9.0,False,False,False,,,-1.7819868253713353,-3.2733385014201812,0.29114430956284826,6.567297987436405,False,longitudinal go,,0.8573102565684968,-2.175413015613775,1.0559124759599197,4.382495693658939,False,none,,-1.3477299460778045,-4.036876947311957,0.3611739119653106,3.185852579568973,longitudinal go,,,,,,
0d94d2a36405c21b1fc19601c41e8d23-149,0d94d2a36405c21b1fc19601c41e8d23,Cut_ins,GO_STRAIGHT,8.435351,10.0,5.669858834453577,5.353457097201098,True,True,True,native,longitudinal go,-2.3623520668112437,-11.812526512900602,0.20630039621027144,0.14212526592015706,False,longitudinal go,,-2.539703931998158,-11.709394935592453,-0.0434238106219495,0.33743034092188395,False,longitudinal go,,-2.1393273354507722,-23.133299134547396,0.1142768511218259,,longitudinal go,,,,,,
0e871c9836cb94ce7adaf502567b2b35-148,0e871c9836cb94ce7adaf502567b2b35,Cut_ins,GO_STRAIGHT,8.353619,10.0,9.5,9.5,False,False,False,,,-0.173494281692405,-4.5885502068793524,1.689368981332918,4.862430023385457,False,longitudinal go,,-1.3138456411607686,-7.934442131057905,1.3742700636969185,4.366277909262351,False,longitudinal go,,-6.341022323338846,-15.755470749898771,0.7022907634407216,4.564124202711753,longitudinal go,,,,,,
0ee52c24789d5aec6f730fd4287c4a12-148,0ee52c24789d5aec6f730fd4287c4a12,Pedestrian,GO_STRAIGHT,8.658764,8.0,8.0,8.0,False,False,False,,,2.7321515423353353,3.1630379635641597,0.12433143747969568,0.32451745104407337,False,longitudinal stop,,3.086722516579824,3.5099038509164218,-0.5660011488336767,0.8886952774562928,False,longitudinal stop,,2.6625864032493927,2.8123491110593766,-0.07249102215723488,0.13894418645287487,none,,,,,,
0f09faf7f1cd29a7478b2c034c9045d2-148,0f09faf7f1cd29a7478b2c034c9045d2,Interections,GO_STRAIGHT,8.572797,10.0,10.0,10.0,False,False,False,,,0.47173373700029914,2.0960704323084385,0.35531686956047664,0.25710173818319504,False,none,,1.2979152700746779,6.039385773178531,-1.1841245542417795,3.357629615990078,False,longitudinal stop,,0.7096281496828543,5.46263985691387,2.504867387895446,4.881303751198942,lateral,route ambiguity,,,,,
