t,kind,fold,arm,model,group,n,slope_fit,slope_prior
1.79e+09,q9b_insample,1,Q9b pair grid s2,lebowski,cut-in,474,0.4954,0.2188
1.79e+09,q9b_insample,1,Q9b hard grid,lebowski,pedestrian,353,0.1268,0.02908
1.79e+09,q9b_insample,1,Q9b hard grid,lebowski,cut-in,474,0.3662,0.2188
1.79e+09,q9b_insample,1,Q9b pair pooled-linear,lebowski,pedestrian,353,0.1016,0.02908
1.79e+09,q9b_insample,1,Q9b pair pooled-linear,lebowski,cut-in,474,0.2477,0.2188
1.79e+09,q9b_insample,2,Q9b pair grid s0,lebowski,pedestrian,300,0.6766,0.02189
1.79e+09,q9b_insample,2,Q9b pair grid s0,lebowski,cut-in,570,0.6807,0.1934
1.79e+09,q9b_insample,2,Q9b pair grid s1,lebowski,pedestrian,300,0.6875,0.02189
1.79e+09,q9b_insample,2,Q9b pair grid s1,lebowski,cut-in,570,0.6798,0.1934
1.79e+09,q9b_insample,2,Q9b pair grid s2,lebowski,pedestrian,300,0.697,0.02189
1.79e+09,q9b_insample,2,Q9b pair grid s2,lebowski,cut-in,570,0.668,0.1934
1.79e+09,q9b_insample,2,Q9b hard grid,lebowski,pedestrian,300,0.1896,0.02189
1.79e+09,q9b_insample,2,Q9b hard grid,lebowski,cut-in,570,0.3448,0.1934
1.79e+09,q9b_insample,2,Q9b pair pooled-linear,lebowski,pedestrian,300,0.0417,0.02189
1.79e+09,q9b_insample,2,Q9b pair pooled-linear,lebowski,cut-in,570,0.2154,0.1934
1.79e+09,q9b_insample,3,Q9b pair grid s0,lebowski,pedestrian,362,0.7231,0.02368
1.79e+09,q9b_insample,3,Q9b pair grid s0,lebowski,cut-in,490,0.6225,0.2254
1.79e+09,q9b_insample,3,Q9b pair grid s1,lebowski,pedestrian,362,0.7393,0.02368
1.79e+09,q9b_insample,3,Q9b pair grid s1,lebowski,cut-in,490,0.6239,0.2254
1.79e+09,q9b_insample,3,Q9b pair grid s2,lebowski,pedestrian,362,0.74,0.02368
1.79e+09,q9b_insample,3,Q9b pair grid s2,lebowski,cut-in,490,0.6021,0.2254
1.79e+09,q9b_insample,3,Q9b hard grid,lebowski,pedestrian,362,0.2552,0.02368
1.79e+09,q9b_insample,3,Q9b hard grid,lebowski,cut-in,490,0.2807,0.2254
1.79e+09,q9b_insample,3,Q9b pair pooled-linear,lebowski,pedestrian,362,0.0958,0.02368
1.79e+09,q9b_insample,3,Q9b pair pooled-linear,lebowski,cut-in,490,0.2421,0.2254
1.79e+09,q9b_insample,4,Q9b pair grid s0,lebowski,pedestrian,295,0.7508,0.01043
1.79e+09,q9b_insample,4,Q9b pair grid s0,lebowski,cut-in,623,0.656,0.2044
1.79e+09,q9b_insample,4,Q9b pair grid s1,lebowski,pedestrian,295,0.7511,0.01043
1.79e+09,q9b_insample,4,Q9b pair grid s1,lebowski,cut-in,623,0.6698,0.2044
1.79e+09,q9b_insample,4,Q9b pair grid s2,lebowski,pedestrian,295,0.7461,0.01043
1.79e+09,q9b_insample,4,Q9b pair grid s2,lebowski,cut-in,623,0.646,0.2044
1.79e+09,q9b_insample,4,Q9b hard grid,lebowski,pedestrian,295,0.2015,0.01043
1.79e+09,q9b_insample,4,Q9b hard grid,lebowski,cut-in,623,0.4452,0.2044
1.79e+09,q9b_insample,4,Q9b pair pooled-linear,lebowski,pedestrian,295,0.1799,0.01043
1.79e+09,q9b_insample,4,Q9b pair pooled-linear,lebowski,cut-in,623,0.3493,0.2044
