examinee,n_reactive,routes_reactive,flip_rate,flip_lo,flip_hi,wrong_direction_rate,false_flip_nonreactive,false_flip_null_oos
TFv6 target speed,458,22,0.021834061135371178,0.0,0.06993006993006994,0.0,0.013690105787181083,0.08408493643310781
TFv6 waypoint speed 2 s,458,22,0.38427947598253276,0.2737714671379318,0.48998982176249184,0.0,0.13254511512134412,0.07123108265424913
ridge_late L18_last,458,22,0.0,0.0,0.0,0.0,0.0,0.052850424739796446
ridge_late L18_mean,458,22,0.0,0.0,0.0,0.0,0.0,0.055577087103355266
