scope,judge,n,delta,lo,hi,model,arm
all,RFS (rater),478,0.006523475997211836,-0.013254063044899336,0.026772503642962946,cinque,E2 pair (a)
all,ADE dec1-9,17389,0.004944854215673859,0.002069951128103399,0.007835046824697297,cinque,E2 pair (a)
all,ADE pre_onset dec1-9,1245,0.008414412922747316,-0.003356591120979941,0.019856304381356382,cinque,E2 pair (a)
Pedestrians,RFS (rater),52,-0.008518515202388487,-0.08147694734342373,0.06460724696624846,cinque,E2 pair (a)
Pedestrians,ADE dec1-9,1637,0.009179391328501351,0.000972248109280154,0.017639999832655517,cinque,E2 pair (a)
Pedestrians,ADE pre_onset dec1-9,83,-0.011612585898656979,-0.045698040475581306,0.03116214802650573,cinque,E2 pair (a)
Cyclists,RFS (rater),71,-0.01149566073200369,-0.06163768139792692,0.034758292517595074,cinque,E2 pair (a)
Cyclists,ADE dec1-9,2326,0.0013597086001011778,-0.006561972496205721,0.009221672889663576,cinque,E2 pair (a)
Cyclists,ADE pre_onset dec1-9,206,0.008510003385693238,-0.015670788971508608,0.034374553940381664,cinque,E2 pair (a)
Cut_ins,RFS (rater),20,0.19061156061616225,0.03903644241853655,0.3861265914859481,cinque,E2 pair (a)
Cut_ins,ADE dec1-9,724,0.013334548770587446,0.0017983162427777685,0.024827530682962912,cinque,E2 pair (a)
Cut_ins,ADE pre_onset dec1-9,16,0.02099419661125735,-0.006190282574352735,0.06630166192060749,cinque,E2 pair (a)
FOD,RFS (rater),78,-0.008328124467327532,-0.05324978039253233,0.03257141189047444,cinque,E2 pair (a)
FOD,ADE dec1-9,3175,0.003097161497229646,-0.0032691180077431075,0.009315494136522783,cinque,E2 pair (a)
FOD,ADE pre_onset dec1-9,252,0.007295213296543838,-0.014754249942003413,0.02929724572848894,cinque,E2 pair (a)
Intersections,RFS (rater),116,0.02536440442731257,-0.01617984112804063,0.07066900542561044,cinque,E2 pair (a)
Intersections,ADE dec1-9,4299,0.006399564332430905,0.0011492523579841765,0.011704835256269187,cinque,E2 pair (a)
Intersections,ADE pre_onset dec1-9,301,0.024188826632773275,0.006300642454060652,0.04330612346218715,cinque,E2 pair (a)
all,RFS (rater),478,-0.23376389865112518,-0.3608464619664083,-0.10716003149977171,cinque,E2 hard (a)
all,ADE dec1-9,17389,0.4854839712802819,0.4529887322711216,0.5175531081361772,cinque,E2 hard (a)
all,ADE pre_onset dec1-9,1245,0.31110548400339766,0.2035721184799454,0.4195334219176058,cinque,E2 hard (a)
Pedestrians,RFS (rater),52,-0.18389311842268563,-0.5517725300032587,0.14532485561994243,cinque,E2 hard (a)
Pedestrians,ADE dec1-9,1637,0.47609064835794773,0.36808010003358177,0.598374082553867,cinque,E2 hard (a)
Pedestrians,ADE pre_onset dec1-9,83,0.546584371838324,0.1839258694966337,0.9588564312826153,cinque,E2 hard (a)
Cyclists,RFS (rater),71,-0.45517242960863186,-0.8849760684155672,-0.03948426517551054,cinque,E2 hard (a)
Cyclists,ADE dec1-9,2326,0.4121288019004976,0.33682066095320806,0.48584722946124675,cinque,E2 hard (a)
Cyclists,ADE pre_onset dec1-9,206,0.3897443362170776,0.17048439500941334,0.5796458336673078,cinque,E2 hard (a)
Cut_ins,RFS (rater),20,0.68474321250896,0.17967831138657323,1.3143541189466164,cinque,E2 hard (a)
Cut_ins,ADE dec1-9,724,0.5603019628443356,0.4114294463936225,0.7054008555199067,cinque,E2 hard (a)
Cut_ins,ADE pre_onset dec1-9,16,0.15572430655579336,-0.4049972632547027,0.5811727466746798,cinque,E2 hard (a)
FOD,RFS (rater),78,-0.31228053799523936,-0.556054165037332,-0.09286402156407388,cinque,E2 hard (a)
FOD,ADE dec1-9,3175,0.479526167922689,0.3920265878252375,0.5641709156539967,cinque,E2 hard (a)
FOD,ADE pre_onset dec1-9,252,0.25777623573331987,0.024384598635461125,0.4868864304338508,cinque,E2 hard (a)
Intersections,RFS (rater),116,-0.3103349397514888,-0.5909867963198514,-0.03807874285204962,cinque,E2 hard (a)
Intersections,ADE dec1-9,4299,0.5140487568251282,0.4496375429942946,0.5775220538157694,cinque,E2 hard (a)
Intersections,ADE pre_onset dec1-9,301,0.27032750579776627,0.09449832864110126,0.4575835565065854,cinque,E2 hard (a)
all,RFS (rater),478,-0.13421097446706307,-0.2522455969272841,-0.022428629673249097,cinque,E2 uniform (a)
all,ADE dec1-9,17389,0.25872903930603025,0.23729946240843247,0.2799436218255805,cinque,E2 uniform (a)
all,ADE pre_onset dec1-9,1245,0.16860554908772027,0.09754441403440953,0.24081255174455476,cinque,E2 uniform (a)
Pedestrians,RFS (rater),52,0.08175837175991327,-0.25473786819828803,0.41108388212218067,cinque,E2 uniform (a)
Pedestrians,ADE dec1-9,1637,0.269923798989579,0.19653239628920954,0.3485553597466742,cinque,E2 uniform (a)
Pedestrians,ADE pre_onset dec1-9,83,0.25113880805156885,0.011149788937613547,0.5414614238210432,cinque,E2 uniform (a)
Cyclists,RFS (rater),71,-0.45350796574401053,-0.7929772588390074,-0.13288720758965775,cinque,E2 uniform (a)
Cyclists,ADE dec1-9,2326,0.2350589460282902,0.17611827046919848,0.29467704645665754,cinque,E2 uniform (a)
Cyclists,ADE pre_onset dec1-9,206,0.2406081232214356,0.07699930933948428,0.38064322457187877,cinque,E2 uniform (a)
Cut_ins,RFS (rater),20,0.3579529530792061,-0.12766439486538192,0.9208301299887905,cinque,E2 uniform (a)
Cut_ins,ADE dec1-9,724,0.317336854888815,0.19294593887914901,0.43729076303029396,cinque,E2 uniform (a)
Cut_ins,ADE pre_onset dec1-9,16,0.01862248700446209,-0.3880705868082105,0.3349393221920963,cinque,E2 uniform (a)
FOD,RFS (rater),78,-0.25633221061662137,-0.5077467598248953,-0.04284938445397943,cinque,E2 uniform (a)
FOD,ADE dec1-9,3175,0.2504053827499642,0.19585751224487,0.3033923364949843,cinque,E2 uniform (a)
