level,route,seed,arm,repeat,original_ds,repeat_ds,delta_ds,ds_exact,original_rc,repeat_rc,original_status,repeat_status,status_exact,original_first,repeat_first,first_type_exact,original_first_s,repeat_first_s,first_time_within_1s,first_outcome_reproduced,original_first_any,repeat_first_any,first_any_type_exact,original_first_any_s,repeat_first_any_s,first_any_time_within_1s,nearest_at_first,recorder,recorder_bytes,frames,actor_ticks,actor_errors,run_dir
2,27529,0,B,1,100.0,100.0,0.0,True,100.0,100.0,Completed,Completed,True,,,True,,,True,True,MIN_SPEED_INFRACTION,MIN_SPEED_INFRACTION,True,1.95,1.9,True,null,/data/runs/b2d/tfv6-w2/d2/repeat-1/cases/2/route-27529/seed-0/B/attempt-1/run/attempts/27529/1/recorder/RouteScenario_27529_rep0.log,886961,623,623,0,/data/runs/b2d/tfv6-w2/d2/repeat-1/cases/2/route-27529/seed-0/B/attempt-1/run
2,27529,0,B,2,100.0,100.0,0.0,True,100.0,100.0,Completed,Completed,True,,,True,,,True,True,MIN_SPEED_INFRACTION,MIN_SPEED_INFRACTION,True,1.95,1.9,True,null,/data/runs/b2d/tfv6-w2/d2/repeat-2/cases/2/route-27529/seed-0/B/attempt-1/run/attempts/27529/1/recorder/RouteScenario_27529_rep0.log,781284,549,549,0,/data/runs/b2d/tfv6-w2/d2/repeat-2/cases/2/route-27529/seed-0/B/attempt-1/run
2,27529,0,C,1,24.0096,24.0096,0.0,True,50.02,50.02,Failed - Agent deviated from the route,Failed - Agent deviated from the route,True,STOP_INFRACTION,STOP_INFRACTION,True,17.35,17.25,True,True,MIN_SPEED_INFRACTION,MIN_SPEED_INFRACTION,True,2.85,2.85,True,"[{""id"": 36, ""type"": ""traffic.stop"", ""relative_xy_m"": [-2.22295821608942, 0.3393366686054301], ""relative_velocity_xy_mps"": [-2.926360919275426, -0.13857536430437514], ""distance_m"": 2.2487090974912003}, {""id"": 171, ""type"": ""vehicle.lincoln.mkz_2017"", ""relative_xy_m"": [-9.482937540683423, -3.7242356369440532], ""relative_velocity_xy_mps"": [-10.98223843208584, -0.37409457466230267], ""distance_m"": 10.188033935945985}, {""id"": 26, ""type"": ""traffic.unknown"", ""relative_xy_m"": [10.38311276353623, -1.0101819893768509], ""relative_velocity_xy_mps"": [-2.926360919275426, -0.13857536430437514], ""distance_m"": 10.432137763276057}]",/data/runs/b2d/tfv6-w2/d2/repeat-1/cases/2/route-27529/seed-0/C/attempt-1/run/attempts/27529/1/recorder/RouteScenario_27529_rep0.log,687892,465,465,0,/data/runs/b2d/tfv6-w2/d2/repeat-1/cases/2/route-27529/seed-0/C/attempt-1/run
2,27529,0,C,2,24.0096,24.0096,0.0,True,50.02,50.02,Failed - Agent deviated from the route,Failed - Agent deviated from the route,True,STOP_INFRACTION,STOP_INFRACTION,True,17.35,17.15,True,True,MIN_SPEED_INFRACTION,MIN_SPEED_INFRACTION,True,2.85,2.85,True,"[{""id"": 36, ""type"": ""traffic.stop"", ""relative_xy_m"": [-2.188303983478683, 0.31539939572468745], ""relative_velocity_xy_mps"": [-3.0837190317863006, -0.12157764708943618], ""distance_m"": 2.2109163491485084}, {""id"": 171, ""type"": ""vehicle.lincoln.mkz_2017"", ""relative_xy_m"": [-8.580377984819334, -3.8258196347521767], ""relative_velocity_xy_mps"": [-11.1517355381076, -0.38990531062651423], ""distance_m"": 9.394667755702038}, {""id"": 26, ""type"": ""traffic.unknown"", ""relative_xy_m"": [10.436584666990619, -0.8449508595231525], ""relative_velocity_xy_mps"": [-3.0837190317863006, -0.12157764708943618], ""distance_m"": 10.470732613636574}]",/data/runs/b2d/tfv6-w2/d2/repeat-2/cases/2/route-27529/seed-0/C/attempt-1/run/attempts/27529/1/recorder/RouteScenario_27529_rep0.log,691240,467,467,0,/data/runs/b2d/tfv6-w2/d2/repeat-2/cases/2/route-27529/seed-0/C/attempt-1/run
2,28154,0,B,1,100.0,100.0,0.0,True,100.0,100.0,Completed,Completed,True,,,True,,,True,True,MIN_SPEED_INFRACTION,MIN_SPEED_INFRACTION,True,2.4,2.4,True,null,/data/runs/b2d/tfv6-w2/d2/repeat-1/cases/2/route-28154/seed-0/B/attempt-1/run/attempts/28154/1/recorder/RouteScenario_28154_rep0.log,1159356,647,647,0,/data/runs/b2d/tfv6-w2/d2/repeat-1/cases/2/route-28154/seed-0/B/attempt-1/run
2,28154,0,B,2,100.0,100.0,0.0,True,100.0,100.0,Completed,Completed,True,,,True,,,True,True,MIN_SPEED_INFRACTION,MIN_SPEED_INFRACTION,True,2.4,2.4,True,null,/data/runs/b2d/tfv6-w2/d2/repeat-2/cases/2/route-28154/seed-0/B/attempt-1/run/attempts/28154/1/recorder/RouteScenario_28154_rep0.log,1178044,656,656,0,/data/runs/b2d/tfv6-w2/d2/repeat-2/cases/2/route-28154/seed-0/B/attempt-1/run
2,28154,0,C,1,36.0,36.0,0.0,True,100.0,100.0,Completed,Completed,True,COLLISION_VEHICLE,COLLISION_VEHICLE,True,11.75,11.25,True,True,MIN_SPEED_INFRACTION,MIN_SPEED_INFRACTION,True,3.35,3.35,True,"[{""id"": 65, ""type"": ""vehicle.lincoln.mkz_2020"", ""relative_xy_m"": [4.470353300972201, 0.4138906616403748], ""relative_velocity_xy_mps"": [-0.24776094024973355, -0.9780617919341064], ""distance_m"": 4.489472587655053}, {""id"": 60, ""type"": ""vehicle.lincoln.mkz_2017"", ""relative_xy_m"": [5.682490900591399, -4.136681351201481], ""relative_velocity_xy_mps"": [-2.778107924215634, -0.09010535888439541], ""distance_m"": 7.028715062988551}, {""id"": 70, ""type"": ""vehicle.chevrolet.impala"", ""relative_xy_m"": [-9.74247093506474, -0.45593410560890213], ""relative_velocity_xy_mps"": [-9.92778200256015, 3.4874191752283275], ""distance_m"": 9.753133641514331}]",/data/runs/b2d/tfv6-w2/d2/repeat-1/cases/2/route-28154/seed-0/C/attempt-1/run/attempts/28154/1/recorder/RouteScenario_28154_rep0.log,1290109,629,629,0,/data/runs/b2d/tfv6-w2/d2/repeat-1/cases/2/route-28154/seed-0/C/attempt-1/run
2,28154,0,C,2,36.0,36.0,0.0,True,100.0,100.0,Completed,Completed,True,COLLISION_VEHICLE,COLLISION_VEHICLE,True,11.75,11.35,True,True,MIN_SPEED_INFRACTION,MIN_SPEED_INFRACTION,True,3.35,3.35,True,"[{""id"": 65, ""type"": ""vehicle.lincoln.mkz_2020"", ""relative_xy_m"": [4.538563021594896, 0.1512605555117832], ""relative_velocity_xy_mps"": [-0.07501375650135661, -1.2173555890383032], ""distance_m"": 4.541082916732784}, {""id"": 60, ""type"": ""vehicle.lincoln.mkz_2017"", ""relative_xy_m"": [5.3808373247127, -4.302592812182581], ""relative_velocity_xy_mps"": [-2.84642430608569, -0.010092431908639066], ""distance_m"": 6.889536647878908}, {""id"": 70, ""type"": ""vehicle.chevrolet.impala"", ""relative_xy_m"": [-10.650689448454841, 0.15599679313367787], ""relative_velocity_xy_mps"": [-9.916608969547019, 3.756577044047927], ""distance_m"": 10.651831801474115}]",/data/runs/b2d/tfv6-w2/d2/repeat-2/cases/2/route-28154/seed-0/C/attempt-1/run/attempts/28154/1/recorder/RouteScenario_28154_rep0.log,1263318,613,613,0,/data/runs/b2d/tfv6-w2/d2/repeat-2/cases/2/route-28154/seed-0/C/attempt-1/run
1,26405,1,A,1,100.0,100.0,0.0,True,100.0,100.0,Completed,Completed,True,,,True,,,True,True,MIN_SPEED_INFRACTION,MIN_SPEED_INFRACTION,True,2.35,2.35,True,null,/data/runs/b2d/tfv6-w2/d2/repeat-1/cases/1/route-26405/seed-1/A/attempt-1/run/attempts/26405/1/recorder/RouteScenario_26405_rep0.log,834054,393,393,0,/data/runs/b2d/tfv6-w2/d2/repeat-1/cases/1/route-26405/seed-1/A/attempt-1/run
1,26405,1,A,2,100.0,100.0,0.0,True,100.0,100.0,Completed,Completed,True,,,True,,,True,True,MIN_SPEED_INFRACTION,MIN_SPEED_INFRACTION,True,2.35,2.35,True,null,/data/runs/b2d/tfv6-w2/d2/repeat-2/cases/1/route-26405/seed-1/A/attempt-1/run/attempts/26405/1/recorder/RouteScenario_26405_rep0.log,810621,382,382,0,/data/runs/b2d/tfv6-w2/d2/repeat-2/cases/1/route-26405/seed-1/A/attempt-1/run
