scope,judge,n,delta,lo,hi,model,arm
all,RFS (rater),478,-2.163298768940195,-2.381327914943025,-1.9462570149650296,cinque,E2 pair (a)
all,ADE dec1-9,17389,1.7140537282811328,1.6444473318774884,1.7855666884423544,cinque,E2 pair (a)
all,ADE pre_onset dec1-9,1245,1.4007600328492333,1.166821259939607,1.641301681877252,cinque,E2 pair (a)
Pedestrians,RFS (rater),52,-2.39318498097431,-3.0107955940778055,-1.765504224462573,cinque,E2 pair (a)
Pedestrians,ADE dec1-9,1637,1.8581040050700697,1.6094907468514963,2.1196890440822522,cinque,E2 pair (a)
Pedestrians,ADE pre_onset dec1-9,83,1.3114645499942106,0.8328096465039605,1.922767892852219,cinque,E2 pair (a)
Cyclists,RFS (rater),71,-2.2719838279198976,-2.8270635438167973,-1.7163354159831594,cinque,E2 pair (a)
Cyclists,ADE dec1-9,2326,1.5185118201025836,1.3599301402615738,1.689858662005154,cinque,E2 pair (a)
Cyclists,ADE pre_onset dec1-9,206,1.4046460494937434,0.91123981474039,2.0000186543932896,cinque,E2 pair (a)
Cut_ins,RFS (rater),20,-2.4563059117708623,-3.5127477093122765,-1.4467229573651526,cinque,E2 pair (a)
Cut_ins,ADE dec1-9,724,2.0793617496497503,1.6493667107205647,2.539394342341494,cinque,E2 pair (a)
Cut_ins,ADE pre_onset dec1-9,16,1.279400750619602,0.6990906934296586,1.9688098980995135,cinque,E2 pair (a)
FOD,RFS (rater),78,-2.1073733354964927,-2.6359317379319136,-1.5915079191660921,cinque,E2 pair (a)
FOD,ADE dec1-9,3175,1.761915717433938,1.6034557034526293,1.9280888004241878,cinque,E2 pair (a)
FOD,ADE pre_onset dec1-9,252,1.5297209669136893,0.9594878065027932,2.1738993760743304,cinque,E2 pair (a)
Intersections,RFS (rater),116,-2.107303394056099,-2.5689625609491094,-1.6213105196039543,cinque,E2 pair (a)
Intersections,ADE dec1-9,4299,1.705954193892892,1.5644898572434962,1.8571258453017538,cinque,E2 pair (a)
Intersections,ADE pre_onset dec1-9,301,1.583914813284384,1.0743001818335427,2.060078417066739,cinque,E2 pair (a)
all,RFS (rater),478,-1.5103916187271234,-1.7286476563409783,-1.2887409722734893,cinque,E2 pair (b)
all,ADE dec1-9,17389,1.9341641051588352,1.8529131390477585,2.0142786922780815,cinque,E2 pair (b)
all,ADE pre_onset dec1-9,1245,1.986741725843065,1.7103459459615076,2.2813388919335154,cinque,E2 pair (b)
Pedestrians,RFS (rater),52,-1.1179772702249573,-1.8237596324658625,-0.4127837217239589,cinque,E2 pair (b)
Pedestrians,ADE dec1-9,1637,1.8203798387436914,1.62612057743491,2.0258175529363873,cinque,E2 pair (b)
Pedestrians,ADE pre_onset dec1-9,83,1.9173834266371002,1.283880028157321,2.5255970811647024,cinque,E2 pair (b)
Cyclists,RFS (rater),71,-1.5074552443513665,-2.120091951127571,-0.8825277425804654,cinque,E2 pair (b)
Cyclists,ADE dec1-9,2326,1.8737871899687348,1.6385067504930912,2.1240375058072387,cinque,E2 pair (b)
Cyclists,ADE pre_onset dec1-9,206,2.035334183985391,1.2484654652011402,2.913869995687724,cinque,E2 pair (b)
Cut_ins,RFS (rater),20,-1.2535122111274042,-2.2631371290960836,-0.1666739357308678,cinque,E2 pair (b)
Cut_ins,ADE dec1-9,724,1.8534505986882286,1.5119557770232344,2.2177700350999503,cinque,E2 pair (b)
Cut_ins,ADE pre_onset dec1-9,16,2.024138651764449,0.7910836489748002,3.4254101676123367,cinque,E2 pair (b)
FOD,RFS (rater),78,-1.8637340368220339,-2.397092177296332,-1.3404181182542312,cinque,E2 pair (b)
FOD,ADE dec1-9,3175,1.9525751457900342,1.7724527855010515,2.1444622844934984,cinque,E2 pair (b)
FOD,ADE pre_onset dec1-9,252,1.9216416774610738,1.3288651422134288,2.6064306872130603,cinque,E2 pair (b)
Intersections,RFS (rater),116,-1.7045638943415224,-2.1078094142116837,-1.2958803687442795,cinque,E2 pair (b)
Intersections,ADE dec1-9,4299,2.0418802562498555,1.8857654126958003,2.2095331869505737,cinque,E2 pair (b)
Intersections,ADE pre_onset dec1-9,301,2.273661645690227,1.7542152647743265,2.855726193242009,cinque,E2 pair (b)
all,RFS (rater),478,-2.975577021127827,-3.2051562007941308,-2.7493032542512035,cinque,E2 pair (c)
all,ADE dec1-9,17389,8.311714937108587,7.933060748106564,8.687759721419784,cinque,E2 pair (c)
all,ADE pre_onset dec1-9,1245,8.50468990890208,7.597152738892251,9.411927122939895,cinque,E2 pair (c)
Pedestrians,RFS (rater),52,-3.1215961404570343,-3.8004261825336836,-2.4186577901219573,cinque,E2 pair (c)
Pedestrians,ADE dec1-9,1637,9.047064398468976,7.852400213029436,10.230990261991199,cinque,E2 pair (c)
Pedestrians,ADE pre_onset dec1-9,83,9.987344233130983,6.1218992151950795,14.200448304365771,cinque,E2 pair (c)
Cyclists,RFS (rater),71,-2.990368063176626,-3.570225511555907,-2.3762129565281622,cinque,E2 pair (c)
Cyclists,ADE dec1-9,2326,7.1839974358079175,6.254304913125038,8.192087396723826,cinque,E2 pair (c)
Cyclists,ADE pre_onset dec1-9,206,8.045262300341559,6.134630100458929,9.941631967421063,cinque,E2 pair (c)
Cut_ins,RFS (rater),20,-2.20559574420941,-3.4163366774913726,-0.9530550159582963,cinque,E2 pair (c)
Cut_ins,ADE dec1-9,724,8.88988011945239,6.846989391883831,11.047560923115649,cinque,E2 pair (c)
Cut_ins,ADE pre_onset dec1-9,16,10.986695154895553,7.877658225960532,14.98402834924058,cinque,E2 pair (c)
FOD,RFS (rater),78,-2.93403494175232,-3.492706693364286,-2.3784999110414207,cinque,E2 pair (c)
FOD,ADE dec1-9,3175,8.233342337655424,7.406285242691498,9.075879686491158,cinque,E2 pair (c)
FOD,ADE pre_onset dec1-9,252,7.985142406575037,5.915434414207548,10.026857385842787,cinque,E2 pair (c)
Intersections,RFS (rater),116,-3.1542752813288373,-3.5822640128609478,-2.714232015144645,cinque,E2 pair (c)
Intersections,ADE dec1-9,4299,8.695413918882542,7.92751987138203,9.506929327263517,cinque,E2 pair (c)
Intersections,ADE pre_onset dec1-9,301,9.36625651370977,7.490322653043359,11.125270809085842,cinque,E2 pair (c)
all,RFS (rater),478,-0.5957952301473378,-0.7651421320001603,-0.4224407004911874,cinque,E2 hard (a)
all,ADE dec1-9,17389,0.5829949239872777,0.5471826827020426,0.6198624686355172,cinque,E2 hard (a)
all,ADE pre_onset dec1-9,1245,0.4856495999217266,0.34710944246697617,0.6194654603974615,cinque,E2 hard (a)
Pedestrians,RFS (rater),52,-0.48450723542564444,-0.9777610379179064,-0.01891419658294908,cinque,E2 hard (a)
Pedestrians,ADE dec1-9,1637,0.45209483461678485,0.356193799926918,0.5477417038455592,cinque,E2 hard (a)
Pedestrians,ADE pre_onset dec1-9,83,0.26902231772588364,-0.08765740655936806,0.6537145320200031,cinque,E2 hard (a)
Cyclists,RFS (rater),71,-1.0231158503863682,-1.474270171603875,-0.5877073683862323,cinque,E2 hard (a)
Cyclists,ADE dec1-9,2326,0.46775637164074346,0.3708096839491711,0.5664896812835365,cinque,E2 hard (a)
Cyclists,ADE pre_onset dec1-9,206,0.2097559656706828,-0.059138726779934876,0.5230598983765713,cinque,E2 hard (a)
Cut_ins,RFS (rater),20,-0.45315791199151095,-1.1050635117575454,0.27732155834035394,cinque,E2 hard (a)
Cut_ins,ADE dec1-9,724,0.4647130599746684,0.3140243991627653,0.6195767935293195,cinque,E2 hard (a)
Cut_ins,ADE pre_onset dec1-9,16,0.2755999575598985,-0.6434384931370095,1.2257482937371098,cinque,E2 hard (a)
FOD,RFS (rater),78,-0.4079392554800263,-0.8195792695757568,0.0054871592250835075,cinque,E2 hard (a)
FOD,ADE dec1-9,3175,0.6898812938098335,0.605501238995358,0.7755980497667957,cinque,E2 hard (a)
FOD,ADE pre_onset dec1-9,252,0.8312415176769504,0.5757906105980871,1.0826492872032167,cinque,E2 hard (a)
Intersections,RFS (rater),116,-0.5333238950231012,-0.9141407198106861,-0.14776983047125103,cinque,E2 hard (a)
Intersections,ADE dec1-9,4299,0.6128848976013157,0.5385489711308769,0.6881151160020147,cinque,E2 hard (a)
Intersections,ADE pre_onset dec1-9,301,0.3192042944089077,0.05424059166162429,0.5867744402530023,cinque,E2 hard (a)
all,RFS (rater),478,-1.5045789913437075,-1.7145583800907769,-1.290731364114085,cinque,E2 uniform (a)
all,ADE dec1-9,17389,1.5326450336625617,1.4700338557986168,1.5965906919959303,cinque,E2 uniform (a)
all,ADE pre_onset dec1-9,1245,1.373084328650448,1.1573669683185435,1.5824477113049544,cinque,E2 uniform (a)
Pedestrians,RFS (rater),52,-1.4719104077177194,-2.1194678821560964,-0.8308165254304738,cinque,E2 uniform (a)
Pedestrians,ADE dec1-9,1637,1.2365447753645455,1.0524059967971682,1.425579754424994,cinque,E2 uniform (a)
Pedestrians,ADE pre_onset dec1-9,83,1.0306864078651743,0.2894472256798661,1.57579981634733,cinque,E2 uniform (a)
Cyclists,RFS (rater),71,-1.8178009955502625,-2.4056831046698295,-1.2139620781963925,cinque,E2 uniform (a)
Cyclists,ADE dec1-9,2326,1.3175836324563646,1.1550964146922935,1.4854538397595403,cinque,E2 uniform (a)
Cyclists,ADE pre_onset dec1-9,206,0.9516880794653229,0.5331572001883109,1.3994963219663759,cinque,E2 uniform (a)
Cut_ins,RFS (rater),20,-1.2489004432695976,-1.9495738854540658,-0.5549516239138986,cinque,E2 uniform (a)
Cut_ins,ADE dec1-9,724,1.2865228818456333,1.02395081017652,1.559146418482313,cinque,E2 uniform (a)
Cut_ins,ADE pre_onset dec1-9,16,1.1864678965081719,0.4434512673262028,2.1417749911707036,cinque,E2 uniform (a)
FOD,RFS (rater),78,-1.3217304338665723,-1.801719162930734,-0.84002475898426,cinque,E2 uniform (a)
FOD,ADE dec1-9,3175,1.7022228594384223,1.5541172616254781,1.8566141162427447,cinque,E2 uniform (a)
FOD,ADE pre_onset dec1-9,252,1.833888084933705,1.3640147040381327,2.2922688739769606,cinque,E2 uniform (a)
Intersections,RFS (rater),116,-1.574132193568709,-2.006590853323868,-1.1358225101612636,cinque,E2 uniform (a)
Intersections,ADE dec1-9,4299,1.659570432015174,1.5341004255393254,1.7889518776254392,cinque,E2 uniform (a)
Intersections,ADE pre_onset dec1-9,301,1.1971792268356798,0.7890585474533253,1.6118799733210576,cinque,E2 uniform (a)
all,RFS (rater),478,-2.088500382453051,-2.3094286778609274,-1.86821532493152,cinque,E2 pair qwen (a)
all,ADE dec1-9,17389,1.950083892145256,1.8559006653971173,2.047591187938255,cinque,E2 pair qwen (a)
all,ADE pre_onset dec1-9,1245,1.6931459077275095,1.432236138350265,1.9540715223091494,cinque,E2 pair qwen (a)
Pedestrians,RFS (rater),52,-2.529238202336305,-3.1473696927064267,-1.8957659803884772,cinque,E2 pair qwen (a)
Pedestrians,ADE dec1-9,1637,2.45402291662348,2.1140377647019264,2.8030874385150986,cinque,E2 pair qwen (a)
Pedestrians,ADE pre_onset dec1-9,83,2.5870631609536643,1.7592723676387167,3.507475785156014,cinque,E2 pair qwen (a)
Cyclists,RFS (rater),71,-1.9871297156374381,-2.557011050167597,-1.4113729600111455,cinque,E2 pair qwen (a)
Cyclists,ADE dec1-9,2326,1.9111514206582607,1.6872558254269214,2.1480753005125965,cinque,E2 pair qwen (a)
Cyclists,ADE pre_onset dec1-9,206,1.8538826098631616,1.3848200375216428,2.363215472565196,cinque,E2 pair qwen (a)
Cut_ins,RFS (rater),20,-2.1095411347251742,-3.381616762101275,-0.8252776243459204,cinque,E2 pair qwen (a)
Cut_ins,ADE dec1-9,724,2.820666765161494,2.1901134611842386,3.478162566429212,cinque,E2 pair qwen (a)
Cut_ins,ADE pre_onset dec1-9,16,2.952544747933967,2.235561727187669,3.5101982085144208,cinque,E2 pair qwen (a)
FOD,RFS (rater),78,-1.975729573633747,-2.575426087619557,-1.388744126969309,cinque,E2 pair qwen (a)
FOD,ADE dec1-9,3175,1.8399238141595478,1.651031058422083,2.0399282216158983,cinque,E2 pair qwen (a)
FOD,ADE pre_onset dec1-9,252,1.6255170593715902,0.9493492729600264,2.2853923974508685,cinque,E2 pair qwen (a)
Intersections,RFS (rater),116,-2.052971152433449,-2.48005268549655,-1.616414534225956,cinque,E2 pair qwen (a)
Intersections,ADE dec1-9,4299,1.8502569196925407,1.668349755368553,2.04855082689572,cinque,E2 pair qwen (a)
Intersections,ADE pre_onset dec1-9,301,1.8126281216892,1.2520754721842262,2.3901676627856703,cinque,E2 pair qwen (a)
all,RFS (rater),478,-1.431062663655475,-1.6319869759579864,-1.2261507976932189,cinque,E2 pair op (a)
all,ADE dec1-9,17389,1.8219608538867549,1.7494581963520939,1.8970330332771341,cinque,E2 pair op (a)
all,ADE pre_onset dec1-9,1245,2.469282773006977,2.1509003362393675,2.78685939392974,cinque,E2 pair op (a)
Pedestrians,RFS (rater),52,-1.4671418091138766,-2.1796793332764928,-0.7444550035953272,cinque,E2 pair op (a)
Pedestrians,ADE dec1-9,1637,1.8062012220507302,1.5716950264836451,2.0312180931043504,cinque,E2 pair op (a)
Pedestrians,ADE pre_onset dec1-9,83,1.8104725081531203,1.002818564336106,2.660580493598535,cinque,E2 pair op (a)
Cyclists,RFS (rater),71,-1.8160978068330305,-2.3940220128098537,-1.2508188286670532,cinque,E2 pair op (a)
Cyclists,ADE dec1-9,2326,1.7260439083245342,1.5450973573217537,1.9049663087547988,cinque,E2 pair op (a)
Cyclists,ADE pre_onset dec1-9,206,2.1246049888777767,1.3627390095212248,2.9644819977133907,cinque,E2 pair op (a)
Cut_ins,RFS (rater),20,-1.9834876896067235,-2.912615166604754,-1.1333645379929254,cinque,E2 pair op (a)
Cut_ins,ADE dec1-9,724,1.7251551890550163,1.4498965052868928,2.000248001483568,cinque,E2 pair op (a)
Cut_ins,ADE pre_onset dec1-9,16,1.5274067815629375,0.2585659756169834,2.693147138625968,cinque,E2 pair op (a)
FOD,RFS (rater),78,-1.3371672270022705,-1.8239072312308142,-0.846477032774314,cinque,E2 pair op (a)
FOD,ADE dec1-9,3175,1.9315652127716547,1.7696752204023454,2.097705870234897,cinque,E2 pair op (a)
FOD,ADE pre_onset dec1-9,252,3.0227531276009714,2.375865471054793,3.714475552048891,cinque,E2 pair op (a)
Intersections,RFS (rater),116,-1.3816601464685778,-1.7975401264975135,-0.9750928795999276,cinque,E2 pair op (a)
Intersections,ADE dec1-9,4299,1.8309201266153328,1.6802263887807214,1.982013024065864,cinque,E2 pair op (a)
Intersections,ADE pre_onset dec1-9,301,2.5395281311467945,1.9335829466068677,3.187141171001089,cinque,E2 pair op (a)
all,RFS (rater),478,-2.125580583766622,-2.358630229611993,-1.8936025383349644,lebowski,E2 pair (a)
all,ADE dec1-9,17389,2.065775956358002,1.9661888804197498,2.166920982207857,lebowski,E2 pair (a)
all,ADE pre_onset dec1-9,1245,1.5629322001601749,1.296261624697301,1.8357847050176412,lebowski,E2 pair (a)
Pedestrians,RFS (rater),52,-2.5734181379517405,-3.21713990933491,-1.9198906867797942,lebowski,E2 pair (a)
Pedestrians,ADE dec1-9,1637,2.578869879005447,2.2540976182134758,2.9026067351657416,lebowski,E2 pair (a)
Pedestrians,ADE pre_onset dec1-9,83,2.1456122476805346,1.1755049152453556,3.055515697659924,lebowski,E2 pair (a)
Cyclists,RFS (rater),71,-1.986356185295263,-2.5783519860761692,-1.38882095271607,lebowski,E2 pair (a)
Cyclists,ADE dec1-9,2326,2.0123443498768485,1.7914162555885451,2.2510312631907192,lebowski,E2 pair (a)
Cyclists,ADE pre_onset dec1-9,206,1.4535557868901023,0.8587557576986908,2.1140898188860553,lebowski,E2 pair (a)
Cut_ins,RFS (rater),20,-2.3912798175177192,-3.8025702687360474,-0.8946684548716827,lebowski,E2 pair (a)
Cut_ins,ADE dec1-9,724,3.000960349903612,2.3539377506155326,3.688085141626092,lebowski,E2 pair (a)
Cut_ins,ADE pre_onset dec1-9,16,3.001503485363699,2.3119329246335734,3.7608518850305863,lebowski,E2 pair (a)
FOD,RFS (rater),78,-2.052094239373893,-2.623262943916848,-1.4923623026391712,lebowski,E2 pair (a)
FOD,ADE dec1-9,3175,2.0128056429385914,1.808937596877464,2.2259813127332326,lebowski,E2 pair (a)
FOD,ADE pre_onset dec1-9,252,1.3533124962566816,0.7536523521616874,1.9522718327508046,lebowski,E2 pair (a)
Intersections,RFS (rater),116,-1.915231224466363,-2.36425484030153,-1.4563190757500395,lebowski,E2 pair (a)
Intersections,ADE dec1-9,4299,1.8975636939467195,1.6984799681380323,2.113327285394942,lebowski,E2 pair (a)
Intersections,ADE pre_onset dec1-9,301,1.6542169819573622,1.0171114786811488,2.3164271847443882,lebowski,E2 pair (a)
all,RFS (rater),478,-1.5879450761963194,-1.8265965953103296,-1.3514099579086338,lebowski,E2 pair (b)
all,ADE dec1-9,17389,2.5554716589228286,2.4901675627182054,2.619828316898429,lebowski,E2 pair (b)
all,ADE pre_onset dec1-9,1245,2.1761550425511653,1.9407422012932174,2.414875198868537,lebowski,E2 pair (b)
Pedestrians,RFS (rater),52,-1.7105251616369779,-2.363869946369193,-1.0641059569367932,lebowski,E2 pair (b)
Pedestrians,ADE dec1-9,1637,2.4139260116929044,2.187645574849614,2.642006554996146,lebowski,E2 pair (b)
Pedestrians,ADE pre_onset dec1-9,83,2.395724876302847,1.3482499761887603,3.2746792276994374,lebowski,E2 pair (b)
Cyclists,RFS (rater),71,-0.5651077762708197,-1.1697752533915375,0.03956514769120517,lebowski,E2 pair (b)
Cyclists,ADE dec1-9,2326,2.272277405493643,2.093693091585861,2.448388366459539,lebowski,E2 pair (b)
Cyclists,ADE pre_onset dec1-9,206,2.1987652738208423,1.7677802894667447,2.637111176795805,lebowski,E2 pair (b)
Cut_ins,RFS (rater),20,-0.7894008357531372,-1.9748931138057884,0.34326461635029226,lebowski,E2 pair (b)
Cut_ins,ADE dec1-9,724,2.4984888739475495,2.1432790733365534,2.8408928824823882,lebowski,E2 pair (b)
Cut_ins,ADE pre_onset dec1-9,16,2.5253973135673657,1.308520394352458,3.8745803248950255,lebowski,E2 pair (b)
FOD,RFS (rater),78,-1.89787452478543,-2.526088711013324,-1.2751378073865018,lebowski,E2 pair (b)
FOD,ADE dec1-9,3175,2.666689968125289,2.498171786432066,2.8357096685368424,lebowski,E2 pair (b)
FOD,ADE pre_onset dec1-9,252,2.0938448242051995,1.517467725939774,2.685704017724596,lebowski,E2 pair (b)
Intersections,RFS (rater),116,-1.7779878656821644,-2.2175882494983123,-1.3180714852548017,lebowski,E2 pair (b)
